#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001m28
#time = 2015-03-13 07:14:51.800000
#location = 13km NE of Edmond, Oklahoma
#latitude = 35.7459
#longitude = -97.3817
#depth = 5.8
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001m28
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.0781247,310.381,Pg,2015-03-13 07:14:53.970,manual,0.3,4.04
GS.OK030.HHZ.00,0.518623,69.3384,Pg,2015-03-13 07:15:02.020,manual,0.2,2.23
OK.OKCFA.HHZ.--,0.334735,189.793,Pg,2015-03-13 07:14:58.670,manual,0.4,2.75
GS.OK031.HHZ.00,0.486894,64.7129,Pg,2015-03-13 07:15:01.520,manual,0.3,2.31
OK.FNO.HHZ.01,0.487682,181.875,Pg,2015-03-13 07:15:01.840,manual,0.6,2.31
GS.KAN09.HHZ.01,1.40048,352.24,Pn,2015-03-13 07:15:17.910,manual,0.0,1.22
N4.T35B.BHZ.--,1.36284,30.7646,Pn,2015-03-13 07:15:16.970,manual,-0.5,1.22
OK.OKCSW.EHZ.--,0.342743,187.712,Pg,2015-03-13 07:14:58.850,manual,0.4,2.72
GS.OK025.HHZ.00,0.168265,167.75,Pg,2015-03-13 07:14:55.550,manual,0.4,3.47
GS.OK009.HNZ.01,0.167635,191.556,Pg,2015-03-13 07:14:55.650,manual,0.5,3.47
GS.OK025.HH2.00,0.168265,167.75,Sg,2015-03-13 07:14:58.370,manual,0.9,1.34
GS.OK009.HNE.01,0.167635,191.556,Sg,2015-03-13 07:14:58.490,manual,1.0,1.34
OK.OKCFA.HHE.--,0.334735,189.793,Sg,2015-03-13 07:15:03.710,manual,1.0,1.25
OK.OKCSW.EHE.--,0.342743,187.712,Sg,2015-03-13 07:15:03.910,manual,0.9,1.25
GS.OK029.HH1.00,0.0781247,310.381,Sg,2015-03-13 07:14:55.580,manual,0.7,1.39
OK.BCOK.HHZ.--,0.205522,244.403,Pg,2015-03-13 07:14:56.140,manual,0.3,3.28
OK.BCOK.HHE.--,0.205522,244.403,Sg,2015-03-13 07:14:59.470,manual,0.8,1.32
OK.FNO.HHE.01,0.487682,181.875,Sg,2015-03-13 07:15:08.910,manual,1.3,1.18
GS.OK031.HH2.00,0.486894,64.7129,Sg,2015-03-13 07:15:08.170,manual,0.6,1.18
GS.OK030.HH2.00,0.518623,69.3384,Sg,2015-03-13 07:15:09.060,manual,0.5,1.17
OK.QUOK.HHZ.--,0.692121,51.9609,Pg,2015-03-13 07:15:05.270,manual,0.2,1.9
OK.CROK.HHZ.--,0.900388,327.423,Pg,2015-03-13 07:15:09.150,manual,0.1,1.61
GS.KAN13.HHZ.01,1.26683,356.519,Pn,2015-03-13 07:15:15.140,manual,-1.0,1.24
GS.OK032.HHZ.00,1.2502,327.858,Pg,2015-03-13 07:15:15.150,manual,-0.6,1.28
OK.GC02.EHZ.--,1.16895,340.856,Pg,2015-03-13 07:15:13.760,manual,-0.5,1.35
GS.OK001.HNZ.01,0.199101,157.816,Pg,2015-03-13 07:14:56.170,manual,0.4,3.31
GS.OK001.HNE.01,0.199101,157.816,Sg,2015-03-13 07:14:59.450,manual,1.0,1.32
OK.QUOK.HHN.--,0.692121,51.9609,Sg,2015-03-13 07:15:14.610,manual,0.5,1.1
OK.CROK.HHE.--,0.900388,327.423,Sg,2015-03-13 07:15:21.000,manual,0.2,1.02
OK.KAY1.HHZ.--,1.02394,7.63941,Pg,2015-03-13 07:15:11.530,manual,0.1,1.48
OK.GC02.EHE.--,1.16895,340.856,Sg,2015-03-13 07:15:29.470,manual,0.1,0.94
GS.OK032.HH1.00,1.2502,327.858,Sg,2015-03-13 07:15:32.190,manual,0.2,0.92
GS.KAN13.HHE.01,1.26683,356.519,Sg,2015-03-13 07:15:32.460,manual,-0.1,0.92
US.WMOK.BHZ.10,1.52405,229.114,Pn,2015-03-13 07:15:19.300,manual,-0.3,1.2
GS.KAN10.HHZ.01,1.49035,337.504,Pn,2015-03-13 07:15:19.130,manual,0.0,1.2
GS.KAN08.HHZ.01,1.55226,342.362,Pn,2015-03-13 07:15:20.150,manual,0.1,1.2
GS.KAN11.HHZ.01,1.51888,343.772,Pn,2015-03-13 07:15:19.400,manual,-0.2,1.2
GS.KAN12.HHZ.01,1.62606,342.406,Pn,2015-03-13 07:15:20.870,manual,-0.2,1.19
OK.U32A.BHZ.--,1.45671,296.2,Pn,2015-03-13 07:15:18.330,manual,-0.4,1.21
N4.U38B.BHZ.--,2.52322,73.2028,Pn,2015-03-13 07:15:34.450,manual,1.1,1.07
OK.X37A.BHZ.--,2.01108,124.436,Pn,2015-03-13 07:15:26.880,manual,0.6,1.14
N4.Z35B.BHZ.--,2.41151,177.438,Pn,2015-03-13 07:15:32.960,manual,1.1,1.09
