#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001msf
#time = 2015-03-16 08:02:02.100000
#location = 8km S of Caldwell, Kansas
#latitude = 36.9533
#longitude = -97.6203
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001msf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN05.HHZ.01,0.254354,307.624,Pg,2015-03-16 08:02:07.540,manual,0.5,3.05
GS.KAN10.HHZ.01,0.416173,294.235,Pg,2015-03-16 08:02:10.600,manual,0.5,2.49
OK.KAY1.HHZ.--,0.378588,120.043,Pg,2015-03-16 08:02:09.740,manual,0.3,2.6
GS.KAN11.HHZ.01,0.34428,317.196,Pg,2015-03-16 08:02:09.240,manual,0.5,2.72
GS.OK032.HHZ.00,0.496137,252.674,Pg,2015-03-16 08:02:11.250,manual,-0.4,2.29
GS.KAN08.HHZ.01,0.391238,314.333,Pg,2015-03-16 08:02:10.200,manual,0.5,2.57
OK.CROK.HHZ.--,0.534378,213.194,Pg,2015-03-16 08:02:12.540,manual,0.2,2.2
GS.OK030.HHZ.00,1.22573,146.363,Pg,2015-03-16 08:02:25.110,manual,-0.5,1.3
OK.QUOK.HHZ.--,1.07165,136.461,Pg,2015-03-16 08:02:22.370,manual,-0.3,1.43
GS.OK031.HHZ.00,1.18029,147.517,Pg,2015-03-16 08:02:24.320,manual,-0.4,1.34
OK.BCOK.HHZ.--,1.294,179.603,Pn,2015-03-16 08:02:26.230,manual,-0.6,1.23
GS.OK029.HHZ.00,1.16207,173.355,Pg,2015-03-16 08:02:23.870,manual,-0.5,1.35
OK.OKCFA.HHZ.--,1.54091,174.863,Pn,2015-03-16 08:02:30.410,manual,0.2,1.2
GS.OK025.HHZ.00,1.38829,170.454,Pn,2015-03-16 08:02:27.960,manual,-0.2,1.22
