#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001nle
#time = 2015-03-18 19:07:24.600000
#location = 16km ESE of Medford, Oklahoma
#latitude = 36.7530
#longitude = -97.5563
#depth = 8.0
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001nle
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.KAY1.HHZ.--,0.276515,87.8904,Pg,2015-03-18 19:07:29.740,manual,-0.3,2.96
GS.KAN13.HHZ.01,0.266936,13.6143,Pg,2015-03-18 19:07:29.700,manual,-0.2,3.0
OK.GC02.EHZ.--,0.26254,292.083,Pg,2015-03-18 19:07:29.440,manual,-0.4,3.02
GS.KAN09.HHZ.01,0.385594,352.617,Pg,2015-03-18 19:07:31.830,manual,-0.3,2.58
GS.KAN01.HHZ.01,0.431377,337.949,Pg,2015-03-18 19:07:32.560,manual,-0.4,2.45
GS.KAN05.HHZ.01,0.435995,324.591,Pg,2015-03-18 19:07:32.780,manual,-0.3,2.44
GS.OK032.HHZ.00,0.527609,275.71,Pg,2015-03-18 19:07:34.300,manual,-0.5,2.21
OK.CROK.HHZ.--,0.423619,234.325,Pg,2015-03-18 19:07:32.460,manual,-0.4,2.47
GS.KAN10.HHZ.01,0.568433,310.746,Pg,2015-03-18 19:07:35.070,manual,-0.5,2.13
GS.KAN11.HHZ.01,0.534949,327.803,Pg,2015-03-18 19:07:34.640,manual,-0.3,2.2
GS.KAN08.HHZ.01,0.577713,325.052,Pg,2015-03-18 19:07:35.410,manual,-0.4,2.11
GS.KAN12.HHZ.01,0.648251,327.087,Pg,2015-03-18 19:07:36.450,manual,-0.7,1.98
GS.OK031.HHZ.00,0.986132,143.835,Pg,2015-03-18 19:07:42.710,manual,-0.8,1.52
OK.QUOK.HHZ.--,0.896972,130.071,Pg,2015-03-18 19:07:41.130,manual,-0.7,1.61
GS.OK029.HHZ.00,0.957964,175.063,Pg,2015-03-18 19:07:42.110,manual,-0.9,1.55
GS.OK030.HHZ.00,1.03306,142.631,Pg,2015-03-18 19:07:43.470,manual,-1.0,1.47
GS.OK025.HHZ.00,1.18276,171.342,Pn,2015-03-18 19:07:46.180,manual,-1.3,1.25
OK.BCOK.HHZ.--,1.09489,182.259,Pg,2015-03-18 19:07:44.590,manual,-1.0,1.41
OK.OKCFA.HHZ.--,1.33763,176.327,Pn,2015-03-18 19:07:48.760,manual,-0.8,1.22
OK.OKCSW.EHZ.--,1.34811,175.889,Pn,2015-03-18 19:07:49.190,manual,-0.5,1.22
OK.FNO.HHZ.01,1.49776,175.138,Pn,2015-03-18 19:07:52.020,manual,0.2,1.2
US.WMOK.BHZ.10,2.24387,206.711,Pn,2015-03-18 19:08:02.140,manual,0.1,1.1
US.KSU1.BHZ.10,2.46065,17.4266,Pn,2015-03-18 19:08:04.800,manual,-0.2,1.08
N4.T35B.BHZ.--,0.853595,78.6862,Pg,2015-03-18 19:07:40.140,manual,-0.9,1.67
US.CBKS.BHZ.00,2.68677,320.636,Pg,2015-03-18 19:08:14.080,manual,1.1,0.65
