#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001r54
#time = 2015-03-27 10:32:16.100000
#location = 9km NNE of Stillwater, Oklahoma
#latitude = 36.1940
#longitude = -97.0065
#depth = 5.2
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001r54
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.276015,150.523,Pg,2015-03-27 10:32:21.910,manual,0.4,2.96
GS.OK030.HHZ.00,0.321138,145.747,Pg,2015-03-27 10:32:22.770,manual,0.4,2.79
GS.OK029.HHZ.00,0.538041,222.651,Pg,2015-03-27 10:32:26.620,manual,0.2,2.19
OK.KAY1.HHZ.--,0.591286,343.778,Pg,2015-03-27 10:32:27.670,manual,0.2,2.08
GS.OK025.HHZ.00,0.668186,203.847,Pg,2015-03-27 10:32:29.180,manual,0.2,1.94
OK.CROK.HHZ.--,0.847422,291.752,Pg,2015-03-27 10:32:32.230,manual,-0.1,1.68
OK.GC02.EHZ.--,0.950166,313.932,Pg,2015-03-27 10:32:34.170,manual,-0.2,1.55
GS.OK032.HHZ.00,1.14516,302.46,Pg,2015-03-27 10:32:37.640,manual,-0.4,1.37
US.MIAR.BHZ.00,3.24987,119.403,Pn,2015-03-27 10:33:08.680,manual,1.0,1.0
N4.T35B.BHZ.--,0.823476,28.7747,Pg,2015-03-27 10:32:31.930,manual,0.0,1.71
OK.X37A.BHZ.--,2.08532,139.683,Pn,2015-03-27 10:32:53.330,manual,1.6,1.13
TA.U40A.BHZ.--,3.35958,86.0091,Pn,2015-03-27 10:33:08.690,manual,-0.5,0.99
GS.KAN14.HHZ.01,1.08277,314.96,Pg,2015-03-27 10:32:36.530,manual,-0.3,1.42
GS.KAN01.HHZ.01,1.13263,327.939,Pg,2015-03-27 10:32:37.470,manual,-0.4,1.38
