#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001rg3
#time = 2015-03-28 10:43:18.400000
#location = 3km W of Boley, Oklahoma
#latitude = 35.4916
#longitude = -96.5233
#depth = 5.0
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001rg3
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.527349,330.93,Pg,2015-03-28 10:43:28.890,manual,0.3,2.22
GS.OK030.HHZ.00,0.484143,334.107,Pg,2015-03-28 10:43:28.120,manual,0.4,2.32
OK.FNO.HHZ.01,0.754526,252.213,Pg,2015-03-28 10:43:33.290,manual,0.4,1.8
OK.OKCSW.EHZ.--,0.751751,263.703,Pg,2015-03-28 10:43:32.550,manual,-0.3,1.81
OK.GC02.EHZ.--,1.73513,321.847,Pn,2015-03-28 10:43:49.880,manual,0.6,1.17
N4.Z35B.BHZ.--,2.23824,195.844,Pn,2015-03-28 10:43:56.870,manual,0.7,1.11
GS.OK025.HHZ.00,0.670349,277.892,Pg,2015-03-28 10:43:30.930,manual,-0.3,1.94
OK.QUOK.HHZ.--,0.694754,347.578,Pg,2015-03-28 10:43:31.840,manual,0.1,1.9
GS.OK029.HHZ.00,0.817543,292.126,Pg,2015-03-28 10:43:34.110,manual,0.0,1.71
OK.OKCFA.HHZ.--,0.761534,264.532,Pg,2015-03-28 10:43:32.690,manual,-0.3,1.79
OK.CROK.HHZ.--,1.55686,310.92,Pn,2015-03-28 10:43:46.830,manual,0.0,1.2
GS.KAN13.HHZ.01,1.70297,333.342,Pn,2015-03-28 10:43:49.280,manual,0.5,1.18
GS.KAN14.HHZ.01,1.86897,321.898,Pn,2015-03-28 10:43:51.190,manual,0.1,1.15
GS.KAN08.HHZ.01,2.08892,326.415,Pn,2015-03-28 10:43:54.910,manual,0.8,1.13
US.MIAR.BHZ.00,2.59621,110.471,Pn,2015-03-28 10:44:01.920,manual,0.9,1.07
OK.X37A.BHZ.--,1.3054,133.273,Pn,2015-03-28 10:43:42.950,manual,-0.3,1.23
TA.W39A.BHZ.--,2.25871,96.709,Pn,2015-03-28 10:43:57.000,manual,0.6,1.11
N4.T35B.BHZ.--,1.42171,0.368175,Pn,2015-03-28 10:43:44.150,manual,-0.8,1.22
ZW.AZDA.EHZ.01,2.65399,199.086,Pn,2015-03-28 10:44:00.870,manual,-1.0,1.06
OK.KAY1.HHZ.--,1.38566,336.468,Pn,2015-03-28 10:43:44.140,manual,-0.3,1.22
OK.U32A.BHZ.--,2.19753,294.501,Pn,2015-03-28 10:43:55.720,manual,0.1,1.11
US.KSU1.BHZ.10,3.60345,358.934,Pn,2015-03-28 10:44:14.320,manual,-0.6,0.97
AG.WHAR.HHZ.00,3.46522,92.0995,Pn,2015-03-28 10:44:13.990,manual,1.0,0.98
AG.FCAR.HHZ.00,3.60284,82.385,Pn,2015-03-28 10:44:15.330,manual,0.4,0.97
US.AMTX.BHZ.00,4.26724,263.322,Pn,2015-03-28 10:44:23.600,manual,-0.5,0.91
TA.U40A.BHZ.--,3.10087,72.7729,Pn,2015-03-28 10:44:08.120,manual,0.1,1.01
