#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001rqh
#time = 2015-03-29 04:48:08.500000
#location = 17km N of Crescent, Oklahoma
#latitude = 36.1125
#longitude = -97.5675
#depth = 4.8
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001rqh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.456098,184.28,Pg,2015-03-29 04:48:17.650,manual,0.4,2.39
GS.OK025.HHZ.00,0.562121,160.552,Pg,2015-03-29 04:48:19.760,manual,0.5,2.14
OK.OKCSW.EHZ.--,0.713301,171.471,Pg,2015-03-29 04:48:22.350,manual,0.2,1.87
GS.KAN12.HHZ.01,1.23217,343.822,Pg,2015-03-29 04:48:31.780,manual,-0.4,1.3
US.WMOK.BHZ.10,1.69197,216.198,Pn,2015-03-29 04:48:39.150,manual,0.4,1.18
OK.U32A.BHZ.--,1.18935,283.369,Pg,2015-03-29 04:48:30.970,manual,-0.3,1.33
N4.T35B.BHZ.--,1.16898,46.3608,Pg,2015-03-29 04:48:30.350,manual,-0.6,1.35
US.CBKS.BHZ.00,3.20186,328.025,LR,2015-03-29 04:49:51.170,automatic,0.0,0.0
US.MIAR.BHZ.00,3.61815,114.437,Sn,2015-03-29 04:49:50.050,automatic,1.7,0.46
US.AMTX.BHZ.00,3.5729,251.135,Sg,2015-03-29 04:49:58.400,automatic,2.4,1.68
N4.Z38B.BHZ.--,3.55308,142.47,Lg,2015-03-29 04:50:06.920,automatic,2.2,0.0
TA.ABTX.BHZ.--,3.88033,206.851,Lg,2015-03-29 04:50:13.590,automatic,-1.8,0.0
N4.P38B.BHZ.--,4.74172,41.1041,LR,2015-03-29 04:50:36.670,automatic,0.0,0.0
OK.QUOK.HHZ.--,0.698187,84.9174,Pg,2015-03-29 04:48:21.920,manual,0.0,1.89
