#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001s1c
#time = 2015-03-26 23:34:43.100000
#location = 15km S of Perry, Oklahoma
#latitude = 36.1501
#longitude = -97.2848
#depth = 5.4
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001s1c
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.55841,208.246,Pg,2015-03-26 23:34:54.070,manual,0.2,2.15
OK.QUOK.HHZ.--,0.467254,87.2228,Pg,2015-03-26 23:34:52.510,manual,0.4,2.36
GS.OK025.HHZ.00,0.569428,184.36,Pg,2015-03-26 23:34:54.410,manual,0.4,2.13
GS.OK029.HHZ.00,0.378784,201.413,Pg,2015-03-26 23:34:50.750,manual,0.3,2.6
GS.OK031.HHZ.00,0.411211,118.429,Pg,2015-03-26 23:34:51.440,manual,0.4,2.51
GS.OK030.HHZ.00,0.462701,118.501,Pg,2015-03-26 23:34:52.650,manual,0.6,2.37
OK.OKCSW.EHZ.--,0.753378,189.563,Pg,2015-03-26 23:34:57.740,manual,0.2,1.8
GS.KAN13.HHZ.01,0.875006,349.831,Pg,2015-03-26 23:34:59.820,manual,-0.1,1.64
OK.OKCFA.HHZ.--,0.745636,190.516,Pg,2015-03-26 23:34:57.480,manual,0.1,1.82
OK.CROK.HHZ.--,0.665951,302.306,Pg,2015-03-26 23:34:55.900,manual,0.0,1.94
GS.KAN09.HHZ.01,1.01998,344.853,Pg,2015-03-26 23:35:02.490,manual,-0.2,1.48
OK.FNO.HHZ.01,0.895796,186.105,Pg,2015-03-26 23:35:00.870,manual,0.6,1.62
GS.KAN10.HHZ.01,1.16986,326.384,Pg,2015-03-26 23:35:04.990,manual,-0.6,1.35
OK.GC02.EHZ.--,0.839351,326.681,Pg,2015-03-26 23:34:59.100,manual,-0.1,1.69
