#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001s2h
#time = 2015-03-27 08:04:44.100000
#location = 17km S of Perry, Oklahoma
#latitude = 36.1357
#longitude = -97.2728
#depth = 5.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001s2h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.550563,209.851,Pg,2015-03-27 08:04:54.850,manual,0.2,2.16
GS.OK025.HHZ.00,0.555942,185.478,Pg,2015-03-27 08:04:55.090,manual,0.3,2.15
GS.OK030.HHZ.00,0.447378,117.485,Pg,2015-03-27 08:04:53.060,manual,0.3,2.41
GS.OK029.HHZ.00,0.369229,203.638,Pg,2015-03-27 08:04:51.580,manual,0.3,2.63
GS.OK031.HHZ.00,0.395907,117.276,Pg,2015-03-27 08:04:52.130,manual,0.4,2.55
OK.QUOK.HHZ.--,0.458487,85.377,Pg,2015-03-27 08:04:53.300,manual,0.4,2.38
OK.CROK.HHZ.--,0.681877,302.898,Pg,2015-03-27 08:04:57.240,manual,0.0,1.92
OK.FNO.HHZ.01,0.882611,186.838,Pg,2015-03-27 08:05:01.480,manual,0.4,1.63
OK.GC02.EHZ.--,0.856696,326.673,Pg,2015-03-27 08:05:00.460,manual,-0.1,1.66
GS.OK032.HHZ.00,1.00785,311.698,Pg,2015-03-27 08:05:03.080,manual,-0.4,1.49
N4.T35B.BHZ.--,0.991159,37.9703,Pg,2015-03-27 08:05:02.950,manual,-0.2,1.51
OK.OKCSW.EHZ.--,0.740918,190.495,Pg,2015-03-27 08:04:58.380,manual,0.1,1.82
OK.KAY1.HHZ.--,0.627653,4.44683,Pg,2015-03-27 08:04:56.270,manual,0.1,2.01
OK.OKCFA.HHZ.--,0.733382,191.474,Pg,2015-03-27 08:04:58.300,manual,0.1,1.84
GS.KAN01.HHZ.01,1.08838,339.089,Pg,2015-03-27 08:05:04.630,manual,-0.3,1.42
OK.U32A.BHZ.--,1.41816,280.389,Pn,2015-03-27 08:05:10.320,manual,-0.3,1.22
