#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001txk
#time = 2015-04-04 13:21:17
#location = 18km N of Crescent, Oklahoma
#latitude = 36.1176
#longitude = -97.5717
#depth = 5.0
#magnitude = 4.1
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001txk
#us_Mwr_mrr = -1710600000000000
#us_Mwr_mtt = 1820200000000000
#us_Mwr_mpp = -109500000000000
#us_Mwr_mrt = -571600000000000
#us_Mwr_mrp = -71000000000000
#us_Mwr_mtp = 129700000000000
#us_Mwr_np1_strike = 85.09
#us_Mwr_np1_dip = 54.01
#us_Mwr_np1_rake = -91.31
#us_Mwr_np2_strike = 267.32
#us_Mwr_np2_dip = 36.01
#us_Mwr_np2_rake = -88.2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.334047,163.486,Pg,2015-04-04 13:21:24.070,manual,0.6,2.75
OK.BCOK.HHZ.--,0.460935,183.809,Pg,2015-04-04 13:21:26.380,manual,0.5,2.37
OK.CROK.HHZ.--,0.509721,319.401,Pg,2015-04-04 13:21:27.420,manual,0.6,2.26
GS.OK030.HHZ.00,0.666208,106.285,Pg,2015-04-04 13:21:30.280,manual,0.5,1.94
OK.OKCFA.HHZ.--,0.70759,172.017,Pg,2015-04-04 13:21:30.900,manual,0.3,1.88
OK.QUOK.HHZ.--,0.701147,85.3538,Pg,2015-04-04 13:21:30.910,manual,0.4,1.89
OK.KAY1.HHZ.--,0.706068,24.1345,Pg,2015-04-04 13:21:31.040,manual,0.5,1.88
OK.GC02.EHZ.--,0.768314,342.509,Pg,2015-04-04 13:21:32.030,manual,0.3,1.78
OK.OKCSW.EHZ.--,0.718844,171.261,Pg,2015-04-04 13:21:31.150,manual,0.3,1.86
GS.KAN14.HHZ.01,0.894867,339.497,Pg,2015-04-04 13:21:34.340,manual,0.2,1.62
GS.KAN13.HHZ.01,0.896732,4.80816,Pg,2015-04-04 13:21:34.430,manual,0.2,1.62
GS.KAN01.HHZ.01,1.0447,351.764,Pg,2015-04-04 13:21:37.040,manual,0.0,1.46
GS.KAN05.HHZ.01,1.0182,346.348,Pg,2015-04-04 13:21:36.620,manual,0.1,1.48
GS.KAN09.HHZ.01,1.0172,357.902,Pg,2015-04-04 13:21:36.590,manual,0.1,1.48
GS.KAN08.HHZ.01,1.15253,343.95,Pg,2015-04-04 13:21:39.030,manual,-0.1,1.36
GS.KAN10.HHZ.01,1.08866,337.401,Pg,2015-04-04 13:21:37.640,manual,-0.2,1.42
OK.FNO.HHZ.01,0.869488,170.765,Pg,2015-04-04 13:21:34.390,manual,0.7,1.65
GS.KAN11.HHZ.01,1.12047,345.912,Pg,2015-04-04 13:21:38.500,manual,0.0,1.39
GS.KAN12.HHZ.01,1.22634,343.906,Pg,2015-04-04 13:21:40.340,manual,-0.2,1.3
GS.OK025.HHZ.00,0.568055,160.397,Pg,2015-04-04 13:21:28.510,manual,0.6,2.13
US.WMOK.BHZ.10,1.69407,216.001,Pn,2015-04-04 13:21:47.620,manual,0.4,1.18
OK.U32A.BHZ.--,1.18487,283.166,Pg,2015-04-04 13:21:39.300,manual,-0.4,1.33
N4.T35B.BHZ.--,1.16795,46.6542,Pg,2015-04-04 13:21:39.270,manual,-0.1,1.35
US.KSU1.BHZ.10,3.07456,14.1004,Pn,2015-04-04 13:22:06.980,manual,0.7,1.02
AG.HHAR.HHZ.00,2.94189,85.7316,Pn,2015-04-04 13:22:05.040,manual,0.6,1.03
US.CBKS.BHZ.00,3.19574,328.026,Pn,2015-04-04 13:22:09.040,manual,1.1,1.0
US.AMTX.BHZ.00,3.57133,251.038,Pn,2015-04-04 13:22:14.080,manual,0.9,0.97
US.MIAR.BHZ.00,3.62336,114.485,Pn,2015-04-04 13:22:14.670,manual,0.9,0.96
N4.U38B.BHZ.--,2.59425,81.9484,Pn,2015-04-04 13:22:00.260,manual,0.6,1.07
AG.WLAR.HHZ.00,4.39367,122.184,Pn,2015-04-04 13:22:25.510,manual,1.2,0.9
NM.MGMO.BHZ.--,4.38846,74.7956,Pn,2015-04-04 13:22:25.010,manual,0.7,0.9
OK.X37A.BHZ.--,2.358,129.652,Pn,2015-04-04 13:21:57.250,manual,0.9,1.09
N4.R32B.BHZ.--,2.47371,338.786,Pn,2015-04-04 13:21:58.570,manual,0.6,1.08
N4.S39B.BHZ.--,3.75001,63.9822,Pn,2015-04-04 13:22:16.260,manual,0.7,0.95
AG.WHAR.HHZ.00,4.37756,99.3224,Pn,2015-04-04 13:22:24.550,manual,0.4,0.9
N4.P38B.BHZ.--,4.74013,41.1729,Pn,2015-04-04 13:22:29.820,manual,0.7,0.87
TA.MSTX.BHZ.--,4.77421,244.845,Pn,2015-04-04 13:22:29.950,manual,0.2,0.87
US.JCT.BHZ.00,5.92472,198.999,Pn,2015-04-04 13:22:45.160,manual,-0.3,0.82
US.OGNE.BHZ.00,5.95428,325.393,Pn,2015-04-04 13:22:47.360,manual,1.5,0.82
NM.FVM.BHZ.--,6.00906,69.8419,Pn,2015-04-04 13:22:47.180,manual,0.6,0.82
TA.W39A.BHZ.--,3.2185,105.491,Pn,2015-04-04 13:22:08.770,manual,0.6,1.0
N4.Z35B.BHZ.--,2.79245,174.514,Pn,2015-04-04 13:22:03.340,manual,1.0,1.05
US.SCIA.BHZ.00,6.70142,29.0654,Pn,2015-04-04 13:22:56.430,manual,0.4,0.85
N4.Z38B.BHZ.--,3.55919,142.474,Pn,2015-04-04 13:22:13.650,manual,0.8,0.97
US.OXF.BHZ.00,6.86264,101.112,Pn,2015-04-04 13:22:57.150,manual,-1.1,0.86
N4.237B.BHZ.--,4.35865,159.877,Pn,2015-04-04 13:22:24.060,manual,0.2,0.9
NQ.KAN02.HNZ.01,1.1059,347.193,Pg,2015-04-04 13:21:38.260,manual,0.0,1.4
TA.U40A.BHZ.--,3.82156,85.0335,Pn,2015-04-04 13:22:16.420,manual,-0.1,0.95
US.ISCO.BHZ.00,7.3386,302.473,Pn,2015-04-04 13:23:05.140,manual,0.0,0.88
N4.R40B.BHZ.--,4.75659,61.2867,Pn,2015-04-04 13:22:29.850,manual,0.5,0.87
US.ECSD.BHZ.10,7.64235,5.22541,Pn,2015-04-04 13:23:07.690,manual,-1.3,0.89
IU.ANMO.BHZ.10,7.33829,263.44,Pn,2015-04-04 13:23:06.220,manual,1.2,0.88
SC.BAR.EHZ.--,7.67447,257.826,Pn,2015-04-04 13:23:09.540,manual,-0.1,0.89
TA.435B.BHZ.--,5.32079,180.123,Pn,2015-04-04 13:22:37.470,manual,0.4,0.83
US.HDIL.BHZ.00,7.86908,53.2365,Pn,2015-04-04 13:23:11.900,manual,-0.2,0.9
US.MNTX.BHZ.00,7.84555,238.07,Pn,2015-04-04 13:23:11.730,manual,-0.1,0.0
TA.WHTX.BHZ.--,4.11702,178.632,Pn,2015-04-04 13:22:21.390,manual,0.8,0.92
TA.X40A.BHZ.--,4.20191,111.39,Pn,2015-04-04 13:22:22.490,manual,0.8,0.91
TA.BGNE.BHZ.--,5.30221,355.286,Pn,2015-04-04 13:22:36.480,manual,-0.4,0.83
