#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10001u7p
#time = 2015-04-05 23:46:33.800000
#location = 7km N of Jones, Oklahoma
#latitude = 35.6353
#longitude = -97.2777
#depth = 5.0
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10001u7p
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.OKCSW.EHZ.--,0.263962,209.742,Pg,2015-04-05 23:46:39.160,automatic,0.2,3.01
OK.BCOK.HHZ.--,0.270922,274.617,Pg,2015-04-05 23:46:39.200,automatic,0.1,2.99
OK.OKCFA.HHZ.--,0.261271,212.89,Pg,2015-04-05 23:46:39.100,manual,0.2,3.02
OK.FNO.HHZ.01,0.390311,195.008,Pg,2015-04-05 23:46:42.030,automatic,0.7,2.57
GS.OK031.HHZ.00,0.477187,48.2234,Pg,2015-04-05 23:46:43.170,manual,0.2,2.33
GS.OK025.HHZ.00,0.0730123,222.225,Pg,2015-04-05 23:46:35.640,manual,0.2,4.08
US.WMOK.BHZ.10,1.52223,234.407,Pn,2015-04-05 23:47:01.200,automatic,-0.5,1.2
OK.CROK.HHZ.--,1.03903,326.823,Pg,2015-04-05 23:46:53.530,manual,-0.2,1.46
OK.X34A.HHZ.--,1.12774,203.949,Pn,2015-04-05 23:46:55.270,manual,-1.0,1.26
OK.GC02.EHZ.--,1.30168,338.987,Pn,2015-04-05 23:46:58.800,automatic,0.1,1.23
OK.U32A.BHZ.--,1.58262,298.49,Pn,2015-04-05 23:47:02.420,automatic,-0.1,1.19
N4.U38B.BHZ.--,2.47741,70.2553,Pn,2015-04-05 23:47:16.500,automatic,1.7,1.08
OK.X37A.BHZ.--,1.87933,123.183,Pn,2015-04-05 23:47:07.540,automatic,1.0,1.15
N4.T35B.BHZ.--,1.42019,25.6056,Pn,2015-04-05 23:46:59.800,automatic,-0.5,1.22
