#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us1000297b
#time = 2015-05-15 07:21:55.500000
#location = 19km ENE of Mooreland, Oklahoma
#latitude = 36.5157
#longitude = -99.0039
#depth = 7.7
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us1000297b
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.822242,90.4615,Pg,2015-05-15 07:22:10.960,manual,-0.4,1.71
GS.OK032.HHZ.00,0.69985,65.505,Pg,2015-05-15 07:22:08.420,manual,-0.6,1.89
GS.KAN14.HHZ.01,0.94498,61.9224,Pg,2015-05-15 07:22:12.890,manual,-0.8,1.56
OK.GC02.EHZ.--,0.979007,69.6397,Pg,2015-05-15 07:22:13.630,manual,-0.7,1.52
GS.KAN12.HHZ.01,1.12196,45.6396,Pg,2015-05-15 07:22:16.670,manual,-0.4,1.39
GS.KAN09.HHZ.01,1.27257,60.47,Pn,2015-05-15 07:22:18.990,manual,-0.6,1.23
GS.KAN13.HHZ.01,1.32214,67.4998,Pn,2015-05-15 07:22:19.730,manual,-0.5,1.23
GS.KAN10.HHZ.01,0.94859,49.973,Pg,2015-05-15 07:22:13.240,manual,-0.5,1.56
GS.OK029.HHZ.00,1.44443,119.33,Pn,2015-05-15 07:22:21.980,manual,0.0,1.21
OK.BCOK.HHZ.--,1.41804,126.781,Pn,2015-05-15 07:22:21.680,manual,0.1,1.21
OK.OKCFA.HHZ.--,1.67088,130.627,Pn,2015-05-15 07:22:24.870,manual,-0.2,1.18
GS.OK025.HHZ.00,1.64089,124.144,Pn,2015-05-15 07:22:24.860,manual,0.2,1.18
OK.OKCSW.EHZ.--,1.68556,130.629,Pn,2015-05-15 07:22:25.990,manual,0.7,1.17
OK.U32A.BHZ.--,0.135943,179.151,Pg,2015-05-15 07:21:58.740,manual,0.3,3.65
OK.CHOK.HHZ.--,1.84016,120.601,Pn,2015-05-15 07:22:28.290,manual,0.9,1.15
GS.KAN01.HHZ.01,1.18432,57.12,Pn,2015-05-15 07:22:17.530,manual,-0.8,1.25
US.CBKS.BHZ.00,2.36701,345.987,Pn,2015-05-15 07:22:35.750,manual,1.1,1.09
OK.X34A.HHZ.--,2.13586,153.098,Pn,2015-05-15 07:22:32.870,manual,1.4,1.12
N4.T35B.BHZ.--,2.04183,77.9676,Pn,2015-05-15 07:22:30.900,manual,0.8,1.13
GS.KAN16.HHZ.01,1.03406,46.4671,Pg,2015-05-15 07:22:14.740,manual,-0.6,1.47
N4.R32B.BHZ.--,1.91763,6.88911,Pn,2015-05-15 07:22:29.340,manual,0.9,1.14
