#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100029j5
#time = 2015-05-15 18:02:08.900000
#location = 27km SSE of Medford, Oklahoma
#latitude = 36.5813
#longitude = -97.6010
#depth = 3.9
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100029j5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.340446,322.463,Pg,2015-05-15 18:02:15.950,manual,0.5,2.73
GS.OK032.HHZ.00,0.537809,294.57,Pg,2015-05-15 18:02:19.460,manual,0.2,2.19
OK.CHOK.HHZ.--,1.10799,156.598,Pg,2015-05-15 18:02:29.950,manual,-0.2,1.4
N4.T35B.BHZ.--,0.936428,68.7621,Pg,2015-05-15 18:02:26.880,manual,0.0,1.86
GS.OK025.HHZ.00,1.02062,167.869,Pg,2015-05-15 18:02:28.460,manual,0.0,1.48
OK.CROK.HHZ.--,0.317301,256.172,Pg,2015-05-15 18:02:15.410,manual,0.4,2.81
GS.KAN14.HHZ.01,0.47429,322.311,Pg,2015-05-15 18:02:18.360,manual,0.3,2.34
GS.KAN08.HHZ.01,0.709141,335.395,Pg,2015-05-15 18:02:22.800,manual,0.3,1.87
OK.QUOK.HHZ.--,0.828682,119.315,Pg,2015-05-15 18:02:24.540,manual,-0.3,1.7
GS.OK031.HHZ.00,0.878717,135.29,Pg,2015-05-15 18:02:25.590,manual,-0.2,1.89
GS.OK029.HHZ.00,0.791956,171.374,Pg,2015-05-15 18:02:24.160,manual,0.1,1.75
OK.X34A.HHZ.--,1.98497,185.525,Pn,2015-05-15 18:02:44.530,manual,1.2,1.14
US.MIAR.BHZ.00,3.85861,120.579,Pn,2015-05-15 18:03:10.370,manual,1.3,0.94
N4.S39B.BHZ.--,3.59358,70.7672,Pn,2015-05-15 18:03:05.930,manual,0.5,0.97
OK.X37A.BHZ.--,2.69317,136.909,Pn,2015-05-15 18:02:52.630,manual,-0.4,1.06
N4.P38B.BHZ.--,4.4191,45.3306,Pn,2015-05-15 18:03:16.340,manual,-0.4,0.9
TA.U40A.BHZ.--,3.83307,91.9447,Pn,2015-05-15 18:03:07.900,manual,-0.8,0.95
TA.W39A.BHZ.--,3.39343,112.909,Pn,2015-05-15 18:03:02.350,manual,-0.3,0.99
OK.CROK.HHN.--,0.317301,256.172,Sg,2015-05-15 18:02:19.980,manual,0.8,1.26
OK.GC02.EHN.--,0.340446,322.463,Sg,2015-05-15 18:02:20.930,manual,1.0,1.25
GS.KAN13.HHE.01,0.44198,12.8921,Sg,2015-05-15 18:02:24.140,manual,1.0,1.2
GS.KAN13.HHZ.01,0.44198,12.8921,Pg,2015-05-15 18:02:17.810,manual,0.4,2.42
GS.KAN14.HHN.01,0.47429,322.311,Sg,2015-05-15 18:02:24.980,manual,0.8,1.19
GS.KAN09.HNE.01,0.553921,358.57,Sg,2015-05-15 18:02:27.620,manual,0.9,1.15
GS.KAN09.HHZ.01,0.553921,358.57,Pg,2015-05-15 18:02:19.910,manual,0.4,2.16
GS.KAN01.HHN.01,0.584904,347.536,Sg,2015-05-15 18:02:28.600,manual,0.9,1.14
GS.KAN01.HHZ.01,0.584904,347.536,Pg,2015-05-15 18:02:20.290,manual,0.2,2.09
GS.KAN10.HHE.01,0.670772,323.931,Sg,2015-05-15 18:02:31.380,manual,0.9,1.11
GS.KAN10.HHZ.01,0.670772,323.931,Pg,2015-05-15 18:02:22.160,manual,0.4,1.94
GS.KAN11.HHE.01,0.671906,338.216,Sg,2015-05-15 18:02:31.790,manual,1.3,1.11
GS.KAN11.HHZ.01,0.671906,338.216,Pg,2015-05-15 18:02:21.870,manual,0.1,1.93
GS.KAN08.HNE.01,0.709141,335.395,Sg,2015-05-15 18:02:32.660,manual,0.9,1.09
GS.KAN16.HHE.01,0.74277,330.112,Sg,2015-05-15 18:02:33.660,manual,0.9,1.08
GS.KAN16.HHZ.01,0.74277,330.112,Pg,2015-05-15 18:02:23.510,manual,0.4,1.82
GS.KAN12.HHZ.01,0.782333,336.129,Pg,2015-05-15 18:02:24.860,manual,0.9,1.76
GS.KAN12.HHE.01,0.782333,336.129,Sg,2015-05-15 18:02:34.940,manual,0.9,1.06
GS.OK029.HH2.00,0.791956,171.374,Sg,2015-05-15 18:02:34.900,manual,0.5,1.06
OK.QUOK.HHN.--,0.828682,119.315,Sg,2015-05-15 18:02:34.800,manual,-0.8,1.05
OK.BCOK.HHE.--,0.922712,180.42,Sg,2015-05-15 18:02:39.210,manual,0.6,1.02
OK.BCOK.HHZ.--,0.922712,180.42,Pg,2015-05-15 18:02:25.860,manual,-0.7,1.87
N4.T35B.BHN.--,0.936428,68.7621,Sg,2015-05-15 18:02:39.660,manual,0.6,1.01
GS.OK025.HH1.00,1.02062,167.869,Sg,2015-05-15 18:02:42.280,manual,0.6,0.99
OK.CHOK.HHE.--,1.10799,156.598,Sg,2015-05-15 18:02:44.990,manual,0.5,0.96
