#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002bup
#time = 2015-05-23 18:44:28.360000
#location = 30km SW of Pratt, Kansas
#latitude = 37.4294
#longitude = -98.9535
#depth = 5.0
#magnitude = 4.0
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002bup
#us_Mwr_mrr = -1138800000000000
#us_Mwr_mtt = 1269000000000000
#us_Mwr_mpp = -130200000000000
#us_Mwr_mrt = -395200000000000
#us_Mwr_mrp = 242600000000000
#us_Mwr_mtp = -109000000000000
#us_Mwr_np1_strike = 263.39
#us_Mwr_np1_dip = 36.58
#us_Mwr_np1_rake = -107.45
#us_Mwr_np2_strike = 104.76
#us_Mwr_np2_dip = 55.35
#us_Mwr_np2_rake = -77.45
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN16.HHZ.01,0.737124,105.751,Pg,2015-05-23 18:44:42.980,manual,0.5,1.83
GS.KAN10.HHZ.01,0.749719,113.774,Pg,2015-05-23 18:44:43.250,manual,0.5,1.81
GS.KAN11.HHZ.01,0.858746,104.735,Pg,2015-05-23 18:44:45.180,manual,0.3,1.66
GS.OK032.HHZ.00,0.861833,136.207,Pg,2015-05-23 18:44:45.310,manual,0.4,1.66
GS.KAN01.HHZ.01,0.991664,105.768,Pg,2015-05-23 18:44:47.530,manual,0.2,1.51
GS.KAN09.HHZ.01,1.10447,104.966,Pg,2015-05-23 18:44:49.600,manual,0.1,1.4
GS.KAN05.HHZ.01,0.920049,110.04,Pg,2015-05-23 18:44:46.450,manual,0.4,1.59
GS.KAN17.HHZ.01,1.02368,111.707,Pg,2015-05-23 18:44:48.240,manual,0.2,1.48
OK.CROK.HHZ.--,1.20644,139.616,Pg,2015-05-23 18:44:51.490,manual,0.0,1.32
GS.KAN13.HHZ.01,1.24918,108.992,Pg,2015-05-23 18:44:52.210,manual,-0.1,1.28
US.CBKS.BHZ.00,1.5143,336.144,Pn,2015-05-23 18:44:56.870,manual,0.8,1.2
OK.KAY1.HHZ.--,1.54312,115.019,Pn,2015-05-23 18:44:57.260,manual,0.8,1.2
GS.OK029.HHZ.00,2.02711,143.053,Pn,2015-05-23 18:45:04.730,manual,1.6,1.13
GS.OK025.HHZ.00,2.25759,144.307,Pn,2015-05-23 18:45:07.740,manual,1.5,1.11
N4.T35B.BHZ.--,2.01635,103.977,Pn,2015-05-23 18:45:04.240,manual,1.3,1.14
OK.U32A.BHZ.--,1.04862,182.113,Pg,2015-05-23 18:44:48.730,manual,0.3,1.45
N4.R32B.BHZ.--,1.00981,10.8684,Pg,2015-05-23 18:44:47.810,manual,0.1,1.49
US.ECSD.BHZ.10,6.54408,15.0449,Pn,2015-05-23 18:46:04.720,manual,-0.3,0.84
IW.PHWY.BHZ.00,6.35108,309.517,Pn,2015-05-23 18:46:03.490,manual,0.8,0.83
TA.X40A.BHZ.--,5.7659,118.773,Pn,2015-05-23 18:45:55.030,manual,0.7,0.81
TA.BGNE.BHZ.--,4.02201,8.64648,Pn,2015-05-23 18:45:31.280,manual,0.8,0.93
N4.P40B.BHZ.--,5.80923,66.7198,Pn,2015-05-23 18:45:55.330,manual,0.3,0.81
N4.R40B.BHZ.--,5.35947,78.7252,Pn,2015-05-23 18:45:49.820,manual,1.0,0.83
IW.SMCO.BHZ.00,6.5445,287.926,Pn,2015-05-23 18:46:07.530,manual,2.1,0.84
US.HDIL.BHZ.00,8.1435,64.48,Pn,2015-05-23 18:46:27.300,manual,0.4,0.92
TA.U40A.BHZ.--,5.00523,100.51,Pn,2015-05-23 18:45:44.740,manual,0.8,0.85
N4.342B.BHZ.--,8.15127,135.856,Pn,2015-05-23 18:46:29.190,manual,2.2,0.92
N4.O44A.BHZ.--,8.62794,68.4018,Pn,2015-05-23 18:46:33.720,manual,0.1,0.94
N4.N41A.BHZ.--,7.09941,60.0443,Pn,2015-05-23 18:46:12.790,manual,0.1,0.87
IM.TX31.BHZ.--,8.9823,207.371,Pn,2015-05-23 18:46:38.730,manual,0.2,0.96
IM.TX32.BHZ.--,8.98237,207.366,Pn,2015-05-23 18:46:38.740,manual,0.2,0.96
N4.V48A.BHZ.--,9.90179,96.1359,Pn,2015-05-23 18:46:50.540,manual,-0.5,0.91
AU.MAW.BHZ.--,148.086,166.783,PKPbc,2015-05-23 19:04:14.940,manual,1.9,1.0
GS.KAN12.HHZ.01,0.77262,99.5292,Pg,2015-05-23 18:44:43.710,manual,0.5,1.78
GS.KAN16.HHE.01,0.737124,105.751,Sg,2015-05-23 18:44:52.880,manual,0.8,1.08
GS.KAN10.HHN.01,0.749719,113.774,Sg,2015-05-23 18:44:53.470,manual,1.0,1.08
GS.KAN12.HHE.01,0.77262,99.5292,Sg,2015-05-23 18:44:53.390,manual,0.2,1.07
GS.KAN08.HHE.01,0.80897,104.186,Sg,2015-05-23 18:44:55.100,manual,0.7,1.06
GS.KAN11.HHE.01,0.858746,104.735,Sg,2015-05-23 18:44:56.760,manual,0.8,1.04
GS.OK032.HH2.00,0.861833,136.207,Sg,2015-05-23 18:44:57.090,manual,1.0,1.04
GS.KAN05.HHE.01,0.920049,110.04,Sg,2015-05-23 18:44:58.820,manual,0.9,1.02
GS.KAN01.HHE.01,0.991664,105.768,Sg,2015-05-23 18:45:00.820,manual,0.6,0.99
GS.KAN17.HHE.01,1.02368,111.707,Sg,2015-05-23 18:45:01.850,manual,0.6,0.98
IM.ASAR.SHZ.F0,133.022,271.783,PKPdf,2015-05-23 19:03:45.600,manual,2.2,0.0
N4.N38B.BHZ.--,5.57249,51.1681,Pn,2015-05-23 18:45:52.290,manual,0.6,0.82
OK.W35A.HHZ.--,2.82533,142.906,Pn,2015-05-23 18:45:15.320,manual,1.3,1.04
TA.KSCO.BHZ.--,3.29619,299.752,Pn,2015-05-23 18:45:22.400,manual,1.8,0.99
OK.GC02.EHZ.--,1.0473,123.089,Pg,2015-05-23 18:44:48.660,manual,0.2,1.45
