#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002c0h
#time = 2015-05-25 12:38:00.800000
#location = 13km ESE of Luther, Oklahoma
#latitude = 35.5970
#longitude = -97.0650
#depth = 5.9
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002c0h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.0359484,175.186,Pg,2015-05-25 12:38:02.250,manual,0.2,4.38
GS.OK025.HHZ.00,0.22299,266.0,Pg,2015-05-25 12:38:05.420,manual,0.2,3.19
GS.OK031.HHZ.00,0.400008,27.2712,Pg,2015-05-25 12:38:08.980,manual,0.4,2.54
OK.OKCFA.HHZ.--,0.363673,240.21,Pg,2015-05-25 12:38:08.160,manual,0.3,2.65
OK.FNO.HHZ.01,0.436122,219.115,Pg,2015-05-25 12:38:09.580,manual,0.3,2.44
GS.OK029.HHZ.00,0.374685,302.225,Pg,2015-05-25 12:38:08.330,manual,0.3,2.62
OK.QUOK.HHZ.--,0.642325,26.7253,Pg,2015-05-25 12:38:13.320,manual,0.2,1.99
OK.X34A.HHZ.--,1.17627,212.571,Pn,2015-05-25 12:38:23.440,manual,-0.4,1.25
GS.OK032.HHZ.00,1.51941,322.767,Pn,2015-05-25 12:38:28.620,manual,0.1,1.2
GS.KAN05.HHZ.01,1.64329,336.874,Pn,2015-05-25 12:38:31.130,manual,0.9,1.18
N4.T35B.BHZ.--,1.39034,18.593,Pn,2015-05-25 12:38:26.170,manual,-0.6,1.22
OK.LOV1.HHZ.--,1.54088,185.436,Pn,2015-05-25 12:38:29.200,manual,0.4,1.2
OK.LOV7.HHZ.--,1.60278,186.047,Pn,2015-05-25 12:38:30.370,manual,0.7,1.19
OK.LOOK.HHZ.--,1.60361,183.416,Pn,2015-05-25 12:38:30.240,manual,0.5,1.19
OK.X37A.BHZ.--,1.7146,125.414,Pn,2015-05-25 12:38:32.110,manual,0.9,1.17
AG.FCAR.HHZ.00,4.02967,84.3986,Pn,2015-05-25 12:39:03.490,manual,0.4,0.93
N4.Z35B.BHZ.--,2.26592,183.984,Pn,2015-05-25 12:38:39.820,manual,1.0,1.1
N4.U38B.BHZ.--,2.32901,68.0586,Pn,2015-05-25 12:38:41.060,manual,1.4,1.1
N4.S39B.BHZ.--,3.66376,54.1211,Pn,2015-05-25 12:38:58.520,manual,0.5,0.96
TA.U40A.BHZ.--,3.49876,76.262,Pn,2015-05-25 12:38:56.660,manual,0.9,0.98
N4.R40B.BHZ.--,4.689,53.5953,Pn,2015-05-25 12:39:13.050,manual,0.9,0.88
GS.OK001.HNZ.01,0.186472,258.99,Pg,2015-05-25 12:38:04.920,manual,0.4,3.37
OK.OKCSW.EHZ.--,0.359358,237.986,Pg,2015-05-25 12:38:07.950,manual,0.2,2.67
GS.OK005.HNZ.01,0.117861,299.389,Pg,2015-05-25 12:38:03.500,manual,0.2,3.77
OK.BCOK.HHZ.--,0.447407,277.81,Pg,2015-05-25 12:38:09.550,manual,0.1,2.41
OK.CROK.HHZ.--,1.17233,320.862,Pn,2015-05-25 12:38:22.700,manual,-1.1,1.25
US.WMOK.BHZ.10,1.64633,239.122,Pn,2015-05-25 12:38:30.310,manual,0.0,1.18
OK.GC02.EHZ.--,1.40717,333.067,Pn,2015-05-25 12:38:26.580,manual,-0.4,1.22
GS.KAN13.HHZ.01,1.45184,346.844,Pn,2015-05-25 12:38:27.590,manual,0.0,1.21
GS.KAN17.HHZ.01,1.55081,338.834,Pn,2015-05-25 12:38:29.160,manual,0.2,1.2
GS.KAN09.HHZ.01,1.5996,343.952,Pn,2015-05-25 12:38:29.870,manual,0.2,1.19
OK.U32A.BHZ.--,1.75381,297.004,Pn,2015-05-25 12:38:32.120,manual,0.3,1.17
GS.KAN01.HHZ.01,1.65115,340.376,Pn,2015-05-25 12:38:30.600,manual,0.2,1.18
OK.CHOK.HHN.--,0.0359484,175.186,Sg,2015-05-25 12:38:03.370,manual,0.4,1.42
GS.OK005.HNN.01,0.117861,299.389,Sg,2015-05-25 12:38:05.350,manual,0.4,1.37
GS.OK001.HNN.01,0.186472,258.99,Sg,2015-05-25 12:38:07.750,manual,0.7,1.33
OK.OKCSW.EHN.--,0.359358,237.986,Sg,2015-05-25 12:38:13.420,manual,0.9,1.24
OK.OKCFA.HHN.--,0.363673,240.21,Sg,2015-05-25 12:38:13.560,manual,0.9,1.24
OK.FNO.HHE.01,0.436122,219.115,Sg,2015-05-25 12:38:15.440,manual,0.5,1.2
GS.OK031.HH2.00,0.400008,27.2712,Sg,2015-05-25 12:38:14.730,manual,0.9,1.22
OK.QUOK.HHN.--,0.642325,26.7253,Sg,2015-05-25 12:38:22.230,manual,0.7,1.12
OK.X34A.HHN.--,1.17627,212.571,Sg,2015-05-25 12:38:38.700,manual,0.1,0.94
OK.KAY1.HHN.--,1.16938,354.198,Sg,2015-05-25 12:38:38.740,manual,0.3,0.94
US.JCT.BHZ.00,5.59685,205.01,Pn,2015-05-25 12:39:24.660,manual,0.0,0.81
US.SDCO.BHZ.00,7.11047,290.037,Pn,2015-05-25 12:39:45.990,manual,0.3,0.87
TA.T25A.BHZ.--,6.12354,286.709,Pn,2015-05-25 12:39:32.370,manual,0.3,0.82
OK.CROK.HHN.--,1.17233,320.862,Sg,2015-05-25 12:38:38.460,manual,0.0,0.94
N4.P38B.BHZ.--,4.90192,33.8416,Pn,2015-05-25 12:39:15.390,manual,0.4,0.86
TA.MSTX.BHZ.--,4.96947,252.579,Pn,2015-05-25 12:39:16.380,manual,0.3,0.86
N4.N33B.BHZ.--,5.14085,356.724,Pn,2015-05-25 12:39:17.790,manual,-0.6,0.84
GS.OK012.HNZ.01,0.163308,124.878,Pg,2015-05-25 12:38:04.760,manual,0.7,3.49
GS.OK012.HNE.01,0.163308,124.878,Sg,2015-05-25 12:38:07.430,manual,1.1,1.34
GS.KAN11.HHZ.01,1.74551,337.167,Pn,2015-05-25 12:38:32.260,manual,0.6,1.17
GS.OK025.HH1.00,0.22299,266.0,Sg,2015-05-25 12:38:08.820,manual,0.6,1.31
GS.OK029.HH1.00,0.374685,302.225,Sg,2015-05-25 12:38:13.510,manual,0.5,1.23
OK.BCOK.HHN.--,0.447407,277.81,Sg,2015-05-25 12:38:15.970,manual,0.7,1.2
AG.HHAR.HHZ.00,2.62632,74.001,Pn,2015-05-25 12:38:44.710,manual,0.9,1.06
US.MIAR.BHZ.00,3.04749,109.128,Pn,2015-05-25 12:38:50.780,manual,1.2,1.02
AG.WHAR.HHZ.00,3.91133,93.1034,Pn,2015-05-25 12:39:01.960,manual,0.5,0.94
TA.W39A.BHZ.--,2.71012,97.5368,Pn,2015-05-25 12:38:45.530,manual,0.6,1.05
GS.KAN10.HHZ.01,1.73554,331.678,Pn,2015-05-25 12:38:31.940,manual,0.4,1.17
