#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002kf3
#time = 2015-06-20 05:10:54.900000
#location = 12km NE of Edmond, Oklahoma
#latitude = 35.7392
#longitude = -97.3865
#depth = 3.0
#magnitude = 4.0
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002kf3
#us_Mwr_mrr = -340600000000000
#us_Mwr_mtt = 1156400000000000
#us_Mwr_mpp = -815800000000000
#us_Mwr_mrt = -541700000000000
#us_Mwr_mrp = 448300000000000
#us_Mwr_mtp = 198600000000000
#us_Mwr_np1_strike = 124.09
#us_Mwr_np1_dip = 79.48
#us_Mwr_np1_rake = -38.29
#us_Mwr_np2_strike = 222.29
#us_Mwr_np2_dip = 52.46
#us_Mwr_np2_rake = -166.69
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.19916,245.65,Pg,2015-06-20 05:10:58.950,manual,0.2,3.31
OK.OKCSW.EHZ.--,0.335609,187.202,Pg,2015-06-20 05:11:01.690,manual,0.3,2.74
OK.OKCFA.HHZ.--,0.327495,189.316,Pg,2015-06-20 05:11:01.550,manual,0.3,2.77
OK.CCOK.HHZ.--,0.440367,210.028,Pg,2015-06-20 05:11:03.570,manual,0.2,2.52
GS.OK031.HHZ.00,0.493298,64.2018,Pg,2015-06-20 05:11:04.550,manual,0.2,2.48
OK.CHOK.HHZ.--,0.318949,123.767,Pg,2015-06-20 05:11:01.500,manual,0.5,2.8
GS.OK029.HHZ.00,0.0798457,315.856,Pg,2015-06-20 05:10:56.790,manual,0.3,4.03
GS.OK030.HHZ.00,0.524657,68.8031,Pg,2015-06-20 05:11:05.170,manual,0.2,2.44
OK.QUOK.HHZ.--,0.69932,51.7239,Pg,2015-06-20 05:11:08.220,manual,-0.1,1.89
OK.CROK.HHZ.--,0.903945,327.857,Pg,2015-06-20 05:11:11.970,manual,-0.3,1.61
OK.BLOK.HHZ.--,1.0287,7.69423,Pg,2015-06-20 05:11:14.090,manual,-0.5,1.47
GS.KAN14.HHZ.01,1.30122,339.213,Pg,2015-06-20 05:11:18.890,manual,-1.0,1.25
OK.GC02.EHZ.--,1.174,341.141,Pg,2015-06-20 05:11:16.610,manual,-0.8,1.34
GS.KAN13.HHZ.01,1.27327,356.71,Pg,2015-06-20 05:11:18.650,manual,-0.7,1.27
GS.KAN05.HHZ.01,1.42171,344.146,Pn,2015-06-20 05:11:20.990,manual,-0.6,1.22
GS.KAN17.HHZ.01,1.33757,346.92,Pn,2015-06-20 05:11:19.630,manual,-0.8,1.23
GS.KAN10.HHZ.01,1.49505,337.738,Pn,2015-06-20 05:11:22.070,manual,-0.5,1.21
GS.OK032.HHZ.00,1.25381,328.168,Pg,2015-06-20 05:11:17.940,manual,-1.0,1.28
GS.KS20.HHZ.00,1.49367,354.855,Pn,2015-06-20 05:11:22.270,manual,-0.3,1.21
GS.OK025.HHZ.00,0.162646,165.903,Pg,2015-06-20 05:10:58.570,manual,0.5,3.5
GS.KAN09.HHZ.01,1.40659,352.432,Pn,2015-06-20 05:11:20.820,manual,-0.6,1.22
GS.KAN08.HHZ.01,1.55746,342.571,Pn,2015-06-20 05:11:23.250,manual,-0.2,1.2
GS.KAN16.HHZ.01,1.58093,339.974,Pn,2015-06-20 05:11:23.460,manual,-0.3,1.2
OK.X34A.HHZ.--,1.19297,197.969,Pg,2015-06-20 05:11:17.510,manual,-0.3,1.33
OK.LOOK.HHZ.--,1.75096,174.376,Pn,2015-06-20 05:11:26.240,manual,0.1,1.17
GS.KS21.HNZ.20,1.56022,351.874,Pn,2015-06-20 05:11:23.390,manual,-0.1,1.2
US.MIAR.BHZ.00,3.34159,109.775,Pn,2015-06-20 05:11:48.550,manual,0.6,0.99
AG.WHAR.HHZ.00,4.18217,94.6663,Pn,2015-06-20 05:11:59.540,manual,0.1,0.92
ZW.AZDA.EHZ.01,2.76314,182.945,Pn,2015-06-20 05:11:40.920,manual,0.9,1.05
N4.R32B.BHZ.--,2.88011,338.817,Pn,2015-06-20 05:11:42.450,manual,0.8,1.04
N4.U38B.BHZ.--,2.5289,73.0806,Pn,2015-06-20 05:11:37.350,manual,0.6,1.08
N4.Z35B.BHZ.--,2.40501,177.335,Pn,2015-06-20 05:11:35.830,manual,0.8,1.09
N4.Z38B.BHZ.--,3.16997,140.589,Pn,2015-06-20 05:11:45.610,manual,0.1,1.01
AG.LCAR.HHZ.00,5.0698,84.4424,Pn,2015-06-20 05:12:10.990,manual,-0.6,0.85
N4.R40B.BHZ.--,4.82261,56.6075,Pn,2015-06-20 05:12:08.340,manual,0.1,0.87
OK.U32A.BHZ.--,1.45618,296.501,Pn,2015-06-20 05:11:21.650,manual,-0.4,1.21
TA.X40A.BHZ.--,3.93509,107.185,Pn,2015-06-20 05:11:56.190,manual,0.1,0.94
US.SCIA.BHZ.00,6.96522,26.5931,Pn,2015-06-20 05:12:36.880,manual,-0.7,0.86
TA.ABTX.BHZ.--,3.62697,211.688,Pn,2015-06-20 05:11:51.120,manual,-0.7,0.97
SC.BAR.EHZ.--,7.75237,260.88,Pn,2015-06-20 05:12:48.330,manual,-0.3,0.9
US.MNTX.BHZ.00,7.78395,241.106,Pn,2015-06-20 05:12:48.840,manual,0.0,0.9
N4.N35B.BHZ.--,5.2945,14.4853,Pn,2015-06-20 05:12:14.270,manual,-0.4,0.84
US.ECSD.BHZ.10,8.00663,4.02196,Pn,2015-06-20 05:12:50.260,manual,-1.6,0.91
TA.W39A.BHZ.--,2.98999,99.3944,Pn,2015-06-20 05:11:43.210,manual,0.1,1.03
N4.P38B.BHZ.--,4.93828,37.0882,Pn,2015-06-20 05:12:09.680,manual,-0.1,0.86
TA.WHTX.BHZ.--,3.73875,180.907,Pn,2015-06-20 05:11:53.500,manual,0.1,0.96
GS.OK029.HH2.00,0.0798457,315.856,Sg,2015-06-20 05:10:58.340,manual,0.7,1.39
TA.BGNE.BHZ.--,5.69202,354.199,Pn,2015-06-20 05:12:20.100,manual,-0.1,0.81
