#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002lp2
#time = 2015-06-25 16:59:20.100000
#location = 4km WSW of Perkins, Oklahoma
#latitude = 35.9653
#longitude = -97.0844
#depth = 4.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002lp2
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.34478,240.882,Pg,2015-06-25 16:59:27.070,manual,0.3,2.71
GS.OK025.HHZ.00,0.435286,208.341,Pg,2015-06-25 16:59:28.880,manual,0.4,2.44
GS.KAN10.HHZ.01,1.4137,325.149,Pn,2015-06-25 16:59:46.290,manual,-0.3,1.22
US.WMOK.BHZ.10,1.84995,229.043,Pn,2015-06-25 16:59:53.370,manual,0.8,1.16
GS.OK031.HHZ.00,0.199379,93.4296,Pg,2015-06-25 16:59:24.400,manual,0.4,3.31
GS.OK030.HHZ.00,0.246769,98.6345,Pg,2015-06-25 16:59:25.250,manual,0.4,3.09
OK.QUOK.HHZ.--,0.367825,55.8924,Pg,2015-06-25 16:59:27.450,manual,0.3,2.64
OK.CHOK.HHZ.--,0.403771,177.327,Pg,2015-06-25 16:59:28.220,manual,0.3,2.53
OK.BCOK.HHZ.--,0.526169,234.333,Pg,2015-06-25 16:59:30.400,manual,0.2,2.22
OK.OKCFA.HHZ.--,0.624859,208.669,Pg,2015-06-25 16:59:32.280,manual,0.2,2.17
OK.FNO.HHZ.01,0.752048,200.167,Pg,2015-06-25 16:59:34.530,manual,0.0,1.81
OK.BLOK.HHZ.--,0.800668,352.473,Pg,2015-06-25 16:59:35.340,manual,-0.1,1.74
OK.CROK.HHZ.--,0.904452,306.789,Pg,2015-06-25 16:59:37.360,manual,-0.1,1.61
N4.T35B.BHZ.--,1.05532,25.771,Pg,2015-06-25 16:59:39.940,manual,-0.4,1.45
GS.OK031.HH1.00,0.199379,93.4296,Sg,2015-06-25 16:59:27.580,manual,1.0,1.32
GS.OK030.HH1.00,0.246769,98.6345,Sg,2015-06-25 16:59:29.000,manual,0.9,1.3
GS.OK029.HH1.00,0.34478,240.882,Sg,2015-06-25 16:59:32.180,manual,0.9,1.25
OK.QUOK.HHE.--,0.367825,55.8924,Sg,2015-06-25 16:59:32.630,manual,0.6,1.24
OK.CHOK.HHE.--,0.403771,177.327,Sg,2015-06-25 16:59:34.150,manual,1.0,1.22
GS.OK025.HH1.00,0.435286,208.341,Sg,2015-06-25 16:59:35.270,manual,1.1,1.21
OK.BCOK.HHE.--,0.526169,234.333,Sg,2015-06-25 16:59:37.830,manual,0.8,1.17
OK.OKCFA.HHE.--,0.624859,208.669,Sg,2015-06-25 16:59:41.310,manual,1.1,1.12
OK.FNO.HHN.01,0.752048,200.167,Sg,2015-06-25 16:59:45.100,manual,0.8,1.08
OK.BLOK.HHE.--,0.800668,352.473,Sg,2015-06-25 16:59:46.220,manual,0.4,1.06
OK.GORE.HHZ.--,1.07467,319.875,Pg,2015-06-25 16:59:40.330,manual,-0.4,1.43
GS.KAN13.HHZ.01,1.09253,343.248,Pg,2015-06-25 16:59:40.700,manual,-0.3,1.41
GS.KAN17.HHZ.01,1.20819,333.218,Pg,2015-06-25 16:59:42.890,manual,-0.4,1.31
