#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002m2t
#time = 2015-06-27 13:03:03.200000
#location = 20km NE of Enid, Oklahoma
#latitude = 36.5373
#longitude = -97.7295
#depth = 5.0
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002m2t
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.207098,261.037,Pg,2015-06-27 13:03:07.640,manual,0.4,3.27
OK.GORE.HHZ.--,0.303359,324.841,Pg,2015-06-27 13:03:09.620,manual,0.5,2.86
GS.KAN17.HHZ.01,0.506623,356.804,Pg,2015-06-27 13:03:13.370,manual,0.4,2.26
OK.BLOK.HHZ.--,0.469976,61.5389,Pg,2015-06-27 13:03:12.620,manual,0.4,2.35
GS.KAN13.HHZ.01,0.515917,22.9861,Pg,2015-06-27 13:03:13.510,manual,0.4,2.24
GS.KAN09.HHZ.01,0.60428,8.45643,Pg,2015-06-27 13:03:15.110,manual,0.3,2.06
GS.KAN10.HHZ.01,0.654496,333.482,Pg,2015-06-27 13:03:15.990,manual,0.2,1.96
GS.KAN12.HHZ.01,0.788592,344.245,Pg,2015-06-27 13:03:18.430,manual,0.1,1.75
GS.KS20.HHZ.00,0.705217,11.4372,Pg,2015-06-27 13:03:16.940,manual,0.2,1.88
GS.KAN08.HHZ.01,0.714796,344.361,Pg,2015-06-27 13:03:17.110,manual,0.2,1.86
OK.QUOK.HHZ.--,0.901846,113.582,Pg,2015-06-27 13:03:20.400,manual,-0.1,1.61
GS.OK029.HHZ.00,0.77185,163.188,Pg,2015-06-27 13:03:18.000,manual,0.0,1.78
GS.OK031.HHZ.00,0.926266,128.743,Pg,2015-06-27 13:03:20.840,manual,-0.1,1.58
GS.OK030.HHZ.00,0.977029,128.223,Pg,2015-06-27 13:03:21.710,manual,-0.2,1.53
GS.OK025.HHZ.00,1.00558,161.491,Pg,2015-06-27 13:03:22.230,manual,-0.3,1.5
OK.OKCFA.HHZ.--,1.14214,168.527,Pg,2015-06-27 13:03:24.560,manual,-0.5,1.37
OK.BCOK.HHZ.--,0.884151,173.643,Pg,2015-06-27 13:03:19.940,manual,-0.2,1.63
OK.OKCSW.EHZ.--,1.15391,168.09,Pg,2015-06-27 13:03:24.860,manual,-0.5,1.36
OK.CHOK.HHZ.--,1.11454,150.735,Pg,2015-06-27 13:03:24.170,manual,-0.4,1.39
OK.FNO.HHZ.01,1.30471,168.115,Pn,2015-06-27 13:03:27.470,manual,-0.6,1.23
US.WMOK.BHZ.10,1.98918,205.804,Pn,2015-06-27 13:03:37.850,manual,0.4,1.14
OK.X34A.HHZ.--,1.93389,182.521,Pn,2015-06-27 13:03:38.080,manual,1.4,1.15
OK.U32A.BHZ.--,1.03741,261.647,Pg,2015-06-27 13:03:22.710,manual,-0.4,1.46
N4.R32B.BHZ.--,2.03743,337.761,Pn,2015-06-27 13:03:39.440,manual,1.3,1.13
US.AMTX.BHZ.00,3.61386,244.0,Pn,2015-06-27 13:04:01.030,manual,1.2,0.97
N4.T35B.BHZ.--,1.04878,68.5011,Pg,2015-06-27 13:03:23.060,manual,-0.3,1.45
NM.MGMO.BHZ.--,4.42294,80.3695,Pn,2015-06-27 13:04:11.950,manual,1.1,0.9
N4.S39B.BHZ.--,3.70575,70.5779,Pn,2015-06-27 13:04:01.760,manual,0.8,0.96
N4.U38B.BHZ.--,2.69634,91.0816,Pn,2015-06-27 13:03:47.790,manual,0.6,1.06
OK.X37A.BHZ.--,2.73388,134.622,Pn,2015-06-27 13:03:48.830,manual,1.2,1.05
TA.U40A.BHZ.--,3.93529,91.1801,Pn,2015-06-27 13:04:04.150,manual,0.0,0.94
N4.P38B.BHZ.--,4.52372,45.7796,Pn,2015-06-27 13:04:13.750,manual,1.6,0.89
N4.R40B.BHZ.--,4.68641,66.4276,Pn,2015-06-27 13:04:14.960,manual,0.5,0.88
GS.OK032.HHZ.00,0.469297,304.668,Pg,2015-06-27 13:03:12.560,manual,0.3,2.35
N4.N35B.BHZ.--,4.61561,20.073,Pn,2015-06-27 13:04:14.660,manual,1.2,0.88
OK.CROK.HHN.--,0.207098,261.037,Sg,2015-06-27 13:03:10.980,manual,0.9,1.32
OK.GORE.HHN.--,0.303359,324.841,Sg,2015-06-27 13:03:14.130,manual,1.1,1.27
OK.BLOK.HHN.--,0.469976,61.5389,Sg,2015-06-27 13:03:19.270,manual,0.9,1.19
GS.KAN09.HHE.01,0.60428,8.45643,Sg,2015-06-27 13:03:23.470,manual,0.8,1.13
OK.W35A.HHZ.--,1.54643,153.057,Pn,2015-06-27 13:03:31.370,manual,0.0,1.2
