#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002m7g
#time = 2015-06-28 14:37:15.400000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2889
#longitude = -97.5203
#depth = 6.5
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002m7g
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.431263,300.097,Pg,2015-06-28 14:37:23.940,manual,0.2,2.45
GS.OK029.HHZ.00,0.494123,173.823,Pg,2015-06-28 14:37:25.060,manual,0.1,2.29
OK.BLOK.HHZ.--,0.531133,27.4912,Pg,2015-06-28 14:37:25.850,manual,0.2,2.21
GS.OK031.HHZ.00,0.645355,121.081,Pg,2015-06-28 14:37:27.860,manual,0.0,1.98
OK.GORE.HHZ.--,0.603231,325.39,Pg,2015-06-28 14:37:27.150,manual,0.1,2.06
GS.KAN13.HHZ.01,0.7234,2.6956,Pg,2015-06-28 14:37:29.130,manual,-0.2,1.85
OK.BCOK.HHZ.--,0.634988,186.554,Pg,2015-06-28 14:37:27.560,manual,-0.1,2.0
OK.QUOK.HHZ.--,0.667159,99.8827,Pg,2015-06-28 14:37:28.270,manual,0.0,1.94
GS.KAN17.HHZ.01,0.778948,345.455,Pg,2015-06-28 14:37:30.110,manual,-0.3,1.77
GS.OK030.HHZ.00,0.696815,120.923,Pg,2015-06-28 14:37:28.820,manual,0.0,1.89
OK.OKCFA.HHZ.--,0.873537,176.306,Pg,2015-06-28 14:37:31.900,manual,-0.3,1.64
GS.KAN10.HHZ.01,0.952486,331.161,Pg,2015-06-28 14:37:33.300,manual,-0.4,1.55
OK.CHOK.HHZ.--,0.816238,152.709,Pg,2015-06-28 14:37:30.900,manual,-0.2,1.72
OK.OKCSW.EHZ.--,0.884052,175.638,Pg,2015-06-28 14:37:32.050,manual,-0.3,1.63
GS.OK025.HHZ.00,0.721651,168.11,Pg,2015-06-28 14:37:29.250,manual,0.0,1.85
GS.KAN08.HHZ.01,1.00351,338.997,Pg,2015-06-28 14:37:34.290,manual,-0.4,1.5
GS.KAN09.HHZ.01,0.849222,354.709,Pg,2015-06-28 14:37:31.470,manual,-0.2,1.67
GS.OK032.HHZ.00,0.756904,312.965,Pg,2015-06-28 14:37:29.690,manual,-0.3,1.8
GS.KS20.HHZ.00,0.939386,358.345,Pg,2015-06-28 14:37:33.100,manual,-0.3,1.57
OK.FNO.HHZ.01,1.03383,174.59,Pg,2015-06-28 14:37:34.730,manual,-0.5,1.47
US.WMOK.BHZ.10,1.858,213.969,Pn,2015-06-28 14:37:48.100,manual,0.4,1.15
OK.X34A.HHZ.--,1.70335,188.701,Pn,2015-06-28 14:37:46.190,manual,0.7,1.17
OK.LOOK.HHZ.--,2.30816,172.962,Pn,2015-06-28 14:37:54.070,manual,0.2,1.1
AG.HHAR.HHZ.00,2.89262,89.0766,Pn,2015-06-28 14:38:02.280,manual,0.4,1.03
US.MIAR.BHZ.00,3.66051,117.218,Pn,2015-06-28 14:38:13.250,manual,0.9,0.96
NM.MGMO.BHZ.--,4.30633,76.8726,Pn,2015-06-28 14:38:21.840,manual,0.6,0.91
N4.T35B.BHZ.--,1.0249,52.0486,Pg,2015-06-28 14:37:34.650,manual,-0.4,1.48
TA.W39A.BHZ.--,3.22894,108.639,Pn,2015-06-28 14:38:06.700,manual,0.3,1.0
N4.U38B.BHZ.--,2.53447,85.6741,Pn,2015-06-28 14:37:57.250,manual,0.3,1.07
OK.X37A.BHZ.--,2.44025,133.395,Pn,2015-06-28 14:37:56.540,manual,0.9,1.08
US.AMTX.BHZ.00,3.66916,248.757,Pn,2015-06-28 14:38:12.710,manual,0.1,0.96
AG.WHAR.HHZ.00,4.36781,101.65,Pn,2015-06-28 14:38:22.610,manual,0.5,0.9
TA.U40A.BHZ.--,3.76909,87.5954,Pn,2015-06-28 14:38:13.890,manual,0.0,0.95
TA.X40A.BHZ.--,4.2292,113.778,Pn,2015-06-28 14:38:20.460,manual,0.3,0.91
US.ECSD.BHZ.10,7.46836,5.05907,Pn,2015-06-28 14:39:04.830,manual,0.2,0.88
TA.T25A.BHZ.--,5.60015,280.761,Pn,2015-06-28 14:38:39.070,manual,-0.1,0.81
N4.R40B.BHZ.--,4.63987,62.9188,Pn,2015-06-28 14:38:26.170,manual,0.4,0.88
GS.KAN12.HHZ.01,1.07713,339.288,Pg,2015-06-28 14:37:35.780,manual,-0.3,1.43
OK.CROK.HHN.--,0.431263,300.097,Sg,2015-06-28 14:37:29.330,manual,-0.1,1.21
GS.OK029.HHZ.00,0.494123,173.823,Sg,2015-06-28 14:37:30.950,manual,-0.4,1.18
OK.BLOK.HHE.--,0.531133,27.4912,Sg,2015-06-28 14:37:31.630,manual,-0.9,1.16
OK.GORE.HHN.--,0.603231,325.39,Sg,2015-06-28 14:37:34.790,manual,-0.1,1.13
OK.BCOK.HHE.--,0.634988,186.554,Sg,2015-06-28 14:37:36.300,manual,0.4,1.12
OK.QUOK.HHZ.--,0.667159,99.8827,Sg,2015-06-28 14:37:36.330,manual,-0.6,1.11
GS.OK030.HHZ.00,0.696815,120.923,Sg,2015-06-28 14:37:37.850,manual,0.0,1.1
GS.OK025.HHZ.00,0.721651,168.11,Sg,2015-06-28 14:37:38.230,manual,-0.4,1.09
GS.OK032.HH1.00,0.756904,312.965,Sg,2015-06-28 14:37:39.960,manual,0.2,1.07
GS.KAN17.HHN.01,0.778948,345.455,Sg,2015-06-28 14:37:40.290,manual,-0.2,1.07
GS.KAN09.HHE.01,0.849222,354.709,Sg,2015-06-28 14:37:42.460,manual,-0.3,1.04
OK.OKCSW.EHE.--,0.884052,175.638,Sg,2015-06-28 14:37:43.820,manual,0.0,1.03
GS.KAN10.HHE.01,0.952486,331.161,Sg,2015-06-28 14:37:45.750,manual,-0.3,1.01
N4.T35B.BHE.--,1.0249,52.0486,Sg,2015-06-28 14:37:47.540,manual,-0.8,0.98
GS.OK009.HNZ.01,0.710519,173.584,Pg,2015-06-28 14:37:29.000,manual,-0.1,1.87
US.KSU1.BHZ.10,2.89864,14.1579,Pn,2015-06-28 14:38:01.830,manual,-0.1,1.03
N4.Z35B.BHZ.--,2.95921,175.661,Pn,2015-06-28 14:38:02.720,manual,0.0,1.03
US.CBKS.BHZ.00,3.07528,325.715,Pn,2015-06-28 14:38:04.520,manual,0.1,1.02
TA.WHTX.BHZ.--,4.28719,179.27,Pn,2015-06-28 14:38:21.780,manual,0.8,0.91
AG.FCAR.HHZ.00,4.38839,93.6098,Pn,2015-06-28 14:38:22.680,manual,0.3,0.9
N4.N33B.BHZ.--,4.44174,0.678887,Pn,2015-06-28 14:38:23.360,manual,0.2,0.89
AG.LCAR.HHZ.00,5.1544,90.5457,Pn,2015-06-28 14:38:33.250,manual,0.4,0.84
TA.BGNE.BHZ.--,5.13554,354.7,Pn,2015-06-28 14:38:32.850,manual,0.2,0.84
IU.CCM.BHZ.10,5.31265,68.739,Pn,2015-06-28 14:38:35.120,manual,0.1,0.83
N4.P40B.BHZ.--,5.4021,51.5626,Pn,2015-06-28 14:38:36.620,manual,0.4,0.83
N4.N38B.BHZ.--,5.61252,35.4512,Pn,2015-06-28 14:38:38.500,manual,-0.7,0.81
N4.S44A.BHZ.--,6.76209,75.5688,Pn,2015-06-28 14:38:54.720,manual,-0.2,0.85
N4.L40A.BHZ.--,7.55938,38.3809,Pn,2015-06-28 14:39:05.450,manual,-0.4,0.89
US.HDIL.BHZ.00,7.73432,54.0923,Pn,2015-06-28 14:39:07.160,manual,-1.1,0.9
US.MNTX.BHZ.00,7.97218,237.221,Pn,2015-06-28 14:39:11.200,manual,-0.3,0.91
IM.TXAR.SHZ.F0,8.64966,218.447,Pn,2015-06-28 14:39:20.700,manual,-0.1,0.94
IM.TX32.BHZ.--,8.64966,218.447,Pn,2015-06-28 14:39:21.330,manual,0.5,0.94
IM.TX31.BHZ.--,8.64973,218.452,Pn,2015-06-28 14:39:21.240,manual,0.4,0.94
N4.I40B.BHZ.--,9.25014,32.712,Pn,2015-06-28 14:39:27.100,manual,-1.9,0.98
N4.S39B.BHZ.--,3.64023,66.1416,Pn,2015-06-28 14:38:12.790,manual,0.7,0.96
