#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002mqz
#time = 2015-07-01 05:53:01.800000
#location = 13km NE of Edmond, Oklahoma
#latitude = 35.7444
#longitude = -97.3785
#depth = 5.5
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002mqz
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.207235,245.089,Pg,2015-07-01 05:53:06.060,manual,0.2,3.27
OK.OKCSW.EHZ.--,0.341621,188.18,Pg,2015-07-01 05:53:08.560,manual,0.1,2.72
OK.OKCFA.HHZ.--,0.333715,190.278,Pg,2015-07-01 05:53:08.590,manual,0.3,2.75
OK.FNO.HHZ.01,0.486279,182.189,Pg,2015-07-01 05:53:11.420,manual,0.2,2.31
OK.CHOK.HHZ.--,0.316525,125.207,Pg,2015-07-01 05:53:08.340,manual,0.4,2.81
GS.OK031.HHZ.00,0.485188,64.4238,Pg,2015-07-01 05:53:11.380,manual,0.2,2.31
GS.OK029.HHZ.00,0.0810766,309.998,Pg,2015-07-01 05:53:03.960,manual,0.3,4.02
OK.QUOK.HHZ.--,0.691,51.7322,Pg,2015-07-01 05:53:15.040,manual,0.0,1.9
GS.KAN17.HHZ.01,1.33401,346.603,Pn,2015-07-01 05:53:26.730,automatic,-0.2,1.23
GS.KAN05.HHZ.01,1.41852,343.841,Pn,2015-07-01 05:53:28.260,automatic,0.1,1.21
US.WMOK.BHZ.10,1.52504,229.222,Pn,2015-07-01 05:53:29.530,manual,-0.1,1.2
OK.X34A.HHZ.--,1.19992,198.192,Pg,2015-07-01 05:53:24.470,manual,-0.3,1.32
GS.KAN09.HHZ.01,1.40232,352.145,Pn,2015-07-01 05:53:27.680,manual,-0.2,1.22
US.MIAR.BHZ.00,3.33724,109.902,Pn,2015-07-01 05:53:55.600,manual,1.1,0.99
