#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002n3k
#time = 2015-07-02 20:28:37.200000
#location = 15km NNW of Perry, Oklahoma
#latitude = 36.4207
#longitude = -97.3336
#depth = 5.0
#magnitude = 3.2
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002n3k
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.630506,188.998,Pg,2015-07-02 20:28:49.630,manual,0.3,2.01
GS.KAN13.HHZ.01,0.602305,348.952,Pg,2015-07-02 20:28:48.940,manual,0.2,2.06
GS.OK025.HHZ.00,0.837849,180.239,Pg,2015-07-02 20:28:53.260,manual,0.0,1.69
OK.BCOK.HHZ.--,0.794476,196.416,Pg,2015-07-02 20:28:52.490,manual,0.0,1.75
GS.KAN10.HHZ.01,0.930525,319.149,Pg,2015-07-02 20:28:55.080,manual,0.0,1.58
GS.KAN12.HHZ.01,1.02451,328.858,Pg,2015-07-02 20:28:56.750,manual,-0.1,1.48
OK.CHOK.HHZ.--,0.885766,165.483,Pg,2015-07-02 20:28:53.950,manual,-0.2,1.63
OK.OKCFA.HHZ.--,1.00782,185.479,Pg,2015-07-02 20:28:56.150,manual,-0.4,1.49
GS.KAN08.HHZ.01,0.95323,327.748,Pg,2015-07-02 20:28:55.150,manual,-0.3,1.55
OK.FNO.HHZ.01,1.16212,182.729,Pg,2015-07-02 20:28:58.880,manual,-0.6,1.35
OK.OKCSW.EHZ.--,1.0166,184.813,Pg,2015-07-02 20:28:56.270,manual,-0.4,1.48
US.WMOK.BHZ.10,2.05199,215.512,Pn,2015-07-02 20:29:12.230,manual,-0.1,1.13
OK.X34A.HHZ.--,1.86076,192.783,Pn,2015-07-02 20:29:08.870,manual,-0.8,1.16
US.KSU1.BHZ.10,2.73649,11.8869,Pn,2015-07-02 20:29:21.880,manual,0.2,1.05
