#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002n8a
#time = 2015-07-03 10:43:54.500000
#location = 16km ESE of Medford, Oklahoma
#latitude = 36.7570
#longitude = -97.5650
#depth = 6.4
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002n8a
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BLOK.HHZ.--,0.281107,89.1627,Pg,2015-07-03 10:44:00.160,manual,0.2,2.94
GS.KAN17.HHZ.01,0.328279,330.859,Pg,2015-07-03 10:44:01.280,manual,0.4,2.77
GS.KAN13.HHZ.01,0.264813,15.2829,Pg,2015-07-03 10:44:00.100,manual,0.4,3.01
GS.KAN05.HHZ.01,0.428702,325.038,Pg,2015-07-03 10:44:03.100,manual,0.3,2.46
GS.KAN09.HHZ.01,0.380789,353.578,Pg,2015-07-03 10:44:02.220,manual,0.3,2.6
OK.GORE.HHZ.--,0.308129,275.43,Pg,2015-07-03 10:44:00.790,manual,0.3,2.84
GS.KS20.HHZ.00,0.471891,1.03739,Pg,2015-07-03 10:44:03.890,manual,0.3,2.35
GS.KAN11.HHZ.01,0.527857,328.209,Pg,2015-07-03 10:44:04.980,manual,0.3,2.21
OK.CROK.HHZ.--,0.420333,233.322,Pg,2015-07-03 10:44:02.740,manual,0.1,2.48
GS.KAN08.HHZ.01,0.570444,325.392,Pg,2015-07-03 10:44:05.730,manual,0.2,2.12
GS.KAN10.HHZ.01,0.560532,310.898,Pg,2015-07-03 10:44:05.470,manual,0.2,2.14
GS.OK032.HHZ.00,0.520266,275.344,Pg,2015-07-03 10:44:04.620,manual,0.1,2.23
GS.KAN12.HHZ.01,0.64111,327.412,Pg,2015-07-03 10:44:07.040,manual,0.2,1.99
OK.QUOK.HHZ.--,0.904894,129.975,Pg,2015-07-03 10:44:11.440,manual,-0.4,1.61
OK.BCOK.HHZ.--,1.09863,181.882,Pg,2015-07-03 10:44:14.610,manual,-1.0,1.41
GS.OK031.HHZ.00,0.993488,143.64,Pg,2015-07-03 10:44:13.040,manual,-0.5,1.51
GS.OK030.HHZ.00,1.04048,142.454,Pg,2015-07-03 10:44:13.940,manual,-0.5,1.46
GS.OK029.HHZ.00,0.962568,174.664,Pg,2015-07-03 10:44:12.540,manual,-0.4,1.54
OK.OKCSW.EHZ.--,1.35261,175.601,Pn,2015-07-03 10:44:19.420,manual,-0.4,1.22
OK.CHOK.HHZ.--,1.26113,160.993,Pn,2015-07-03 10:44:17.680,manual,-0.9,1.24
OK.OKCFA.HHZ.--,1.34208,176.035,Pn,2015-07-03 10:44:19.290,manual,-0.4,1.22
GS.OK025.HHZ.00,1.18778,171.033,Pg,2015-07-03 10:44:16.650,manual,-0.6,1.33
US.WMOK.BHZ.10,2.24431,206.501,Pn,2015-07-03 10:44:32.140,manual,0.1,1.11
OK.FNO.HHZ.01,1.50234,174.88,Pn,2015-07-03 10:44:21.910,manual,0.0,1.2
OK.LOOK.HHZ.--,2.77631,173.381,Pn,2015-07-03 10:44:37.610,manual,-1.7,1.05
