#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002ncz
#time = 2015-07-04 01:58:58.200000
#location = 18km NE of Crescent, Oklahoma
#latitude = 36.0680
#longitude = -97.4450
#depth = 5.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002ncz
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.615758,315.212,Pg,2015-07-04 01:59:08.370,manual,-1.7,2.03
OK.OKCFA.HHZ.--,0.651319,180.46,Pg,2015-07-04 01:59:10.900,manual,0.2,1.97
GS.OK032.HHZ.00,0.959274,320.178,Pg,2015-07-04 01:59:15.500,manual,-1.1,1.54
GS.KAN05.HHZ.01,1.09401,341.805,Pg,2015-07-04 01:59:18.850,manual,-0.3,1.41
GS.KAN12.HHZ.01,1.30505,340.25,Pn,2015-07-04 01:59:21.970,manual,-1.1,1.23
N4.T35B.BHZ.--,1.13223,41.3369,Pg,2015-07-04 01:59:19.370,manual,-0.5,1.38
TA.W39A.BHZ.--,3.10644,105.193,Pn,2015-07-04 01:59:47.670,manual,-0.1,1.01
OK.U32A.BHZ.--,1.29632,284.334,Pn,2015-07-04 01:59:21.650,manual,-1.3,1.23
NM.MGMO.BHZ.--,4.30301,73.8785,Sn,2015-07-04 02:00:58.260,automatic,3.6,0.4
TA.121A.BHZ.--,9.25179,250.586,Pn,2015-07-04 02:01:08.700,automatic,-3.4,0.97
N4.R40B.BHZ.--,4.69121,60.232,Sn,2015-07-04 02:01:04.050,automatic,-0.1,0.39
US.JCT.BHZ.00,5.91247,200.166,Lg,2015-07-04 02:02:07.620,automatic,-3.9,0.0
N4.P38B.BHZ.--,4.71103,39.9148,LR,2015-07-04 02:01:25.000,automatic,0.0,0.0
US.SDCO.BHZ.00,6.66852,286.935,Lg,2015-07-04 02:02:26.150,automatic,-10.1,0.0
TA.MSTX.BHZ.--,4.84691,245.962,LR,2015-07-04 02:01:29.540,automatic,0.0,0.0
GS.OK029.HHZ.00,0.270947,181.703,Pg,2015-07-04 01:59:03.730,manual,0.3,2.98
IU.ANMO.BHZ.10,7.43486,263.981,Lg,2015-07-04 02:02:51.110,automatic,-10.2,0.0
US.MNTX.BHZ.00,7.9071,238.838,LR,2015-07-04 02:03:05.150,automatic,0.0,0.0
OK.BLOK.HHZ.--,0.71568,14.9566,Pg,2015-07-04 01:59:11.510,manual,-0.4,1.86
OK.GORE.HHZ.--,0.82272,330.663,Pg,2015-07-04 01:59:13.570,manual,-0.4,1.71
GS.KAN10.HHZ.01,1.17619,333.782,Pg,2015-07-04 01:59:19.820,manual,-0.9,1.34
GS.KAN08.HHZ.01,1.23135,340.067,Pg,2015-07-04 01:59:20.920,manual,-0.9,1.3
OK.X34A.HHZ.--,1.49762,192.329,Pn,2015-07-04 01:59:25.620,manual,-0.1,1.2
OK.BCOK.HHZ.--,0.43158,198.061,Pg,2015-07-04 01:59:06.230,manual,-0.3,2.45
GS.OK025.HHZ.00,0.493596,169.812,Pg,2015-07-04 01:59:07.520,manual,-0.2,2.29
GS.OK031.HHZ.00,0.504452,102.96,Pg,2015-07-04 01:59:07.600,manual,-0.3,2.27
GS.OK030.HHZ.00,0.554126,104.43,Pg,2015-07-04 01:59:08.830,manual,0.0,2.16
OK.QUOK.HHZ.--,0.605578,79.9725,Pg,2015-07-04 01:59:09.430,manual,-0.4,2.05
OK.CHOK.HHZ.--,0.594228,148.232,Pg,2015-07-04 01:59:08.770,manual,-0.9,2.08
OK.OKCSW.EHZ.--,0.661101,179.505,Pg,2015-07-04 01:59:10.090,manual,-0.8,1.95
OK.FNO.HHZ.01,0.809628,177.462,Pg,2015-07-04 01:59:13.220,manual,-0.5,1.73
GS.KAN13.HHZ.01,0.943406,358.405,Pg,2015-07-04 01:59:15.330,manual,-1.0,1.56
