#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002waj
#time = 2015-07-30 09:15:11
#location = 13km NE of Edmond, Oklahoma
#latitude = 35.7414
#longitude = -97.3785
#depth = 5.0
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002waj
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.205993,245.844,Pg,2015-07-30 09:15:15.040,manual,0.0,3.27
GS.OK025.HHZ.00,0.163335,168.309,Pg,2015-07-30 09:15:14.410,manual,0.2,3.49
GS.OK029.HHZ.00,0.0830313,311.58,Pg,2015-07-30 09:15:12.930,manual,0.1,4.0
OK.CHOK.HHZ.--,0.31481,124.762,Pg,2015-07-30 09:15:17.210,manual,0.1,2.82
OK.OKCFA.HHZ.--,0.330772,190.371,Pg,2015-07-30 09:15:17.400,automatic,0.0,2.76
OK.FNO.HHZ.01,0.483289,182.203,Pg,2015-07-30 09:15:20.250,manual,-0.1,2.32
OK.OKCSW.EHZ.--,0.33866,188.252,Pg,2015-07-30 09:15:17.530,automatic,0.0,2.73
OK.CCOK.HHZ.--,0.445547,210.616,Pg,2015-07-30 09:15:19.540,manual,0.0,2.41
GS.OK031.HHZ.00,0.486487,64.106,Pg,2015-07-30 09:15:20.460,automatic,0.1,2.31
OK.QUOK.HHZ.--,0.692857,51.538,Pg,2015-07-30 09:15:24.150,automatic,-0.2,1.9
GS.KAN13.HHZ.01,1.27147,356.416,Pn,2015-07-30 09:15:34.510,automatic,-0.9,1.24
US.WMOK.BHZ.10,1.52308,229.308,Pn,2015-07-30 09:15:38.370,manual,-0.5,1.2
OK.X34A.HHZ.--,1.19707,198.237,Pn,2015-07-30 09:15:33.440,automatic,-0.9,1.25
GS.KAN05.HHZ.01,1.42139,343.875,Pn,2015-07-30 09:15:37.150,manual,-0.3,1.22
GS.KAN12.HHZ.01,1.63113,342.369,Pn,2015-07-30 09:15:40.540,manual,0.2,1.19
OK.LOOK.HHZ.--,1.75252,174.599,Pn,2015-07-30 09:15:41.980,manual,0.0,1.17
OK.X37A.BHZ.--,2.0064,124.374,Pn,2015-07-30 09:15:46.110,manual,0.7,1.14
N4.T35B.BHZ.--,1.36537,30.5764,Pn,2015-07-30 09:15:35.750,manual,-0.9,1.22
N4.U38B.BHZ.--,2.52203,73.09,Pn,2015-07-30 09:15:53.200,manual,0.7,1.08
OK.CROK.HHZ.--,0.90557,327.439,Pg,2015-07-30 09:15:27.990,manual,-0.4,1.6
GS.OK029.HH1.00,0.0830313,311.58,Sg,2015-07-30 09:15:14.490,manual,0.4,1.39
GS.OK025.HH2.00,0.163335,168.309,Sg,2015-07-30 09:15:17.090,manual,0.6,1.34
GS.OK005.HNN.01,0.175264,119.45,Sg,2015-07-30 09:15:16.550,manual,-0.3,1.34
GS.OK005.HNZ.01,0.175264,119.45,Pg,2015-07-30 09:15:13.630,manual,-0.8,3.43
OK.BCOK.HHN.--,0.205993,245.844,Sg,2015-07-30 09:15:18.220,manual,0.4,1.32
OK.CHOK.HHN.--,0.31481,124.762,Sg,2015-07-30 09:15:21.910,manual,0.7,1.26
OK.BLOK.HHZ.--,1.02567,7.35527,Pg,2015-07-30 09:15:30.000,manual,-0.7,1.48
OK.GORE.HHZ.--,1.13889,336.371,Pg,2015-07-30 09:15:31.920,manual,-0.9,1.37
GS.KAN17.HHZ.01,1.33692,346.632,Pn,2015-07-30 09:15:35.550,manual,-0.7,1.23
GS.KS20.HHZ.00,1.49208,354.604,Pn,2015-07-30 09:15:38.170,manual,-0.2,1.2
OK.GC02.EHZ.--,1.17404,340.81,Pg,2015-07-30 09:15:32.590,manual,-0.9,1.34
GS.KAN09.HHZ.01,1.40528,352.162,Pn,2015-07-30 09:15:36.750,manual,-0.5,1.22
AG.HHAR.HHZ.00,2.83938,78.0403,Pn,2015-07-30 09:15:56.930,manual,0.0,1.04
US.MIAR.BHZ.00,3.33622,109.853,Pn,2015-07-30 09:16:03.950,manual,0.3,0.99
TA.U40A.BHZ.--,3.71763,79.1735,Pn,2015-07-30 09:16:08.600,manual,-0.4,0.96
TA.X40A.BHZ.--,3.92952,107.248,Pn,2015-07-30 09:16:11.740,manual,-0.1,0.94
AG.FCAR.HHZ.00,4.27272,86.4747,Pn,2015-07-30 09:16:15.900,manual,-0.6,0.91
ZW.AZDA.EHZ.01,2.76567,183.082,Pn,2015-07-30 09:15:56.670,manual,0.8,1.05
OK.U32A.BHZ.--,1.46103,296.314,Pn,2015-07-30 09:15:38.330,manual,0.3,1.21
N4.Z35B.BHZ.--,2.40691,177.497,Pn,2015-07-30 09:15:51.340,manual,0.4,1.09
AG.WHAR.HHZ.00,4.17587,94.7082,Pn,2015-07-30 09:16:16.070,manual,0.9,0.92
