#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002xh6
#time = 2015-07-31 02:43:32.400000
#location = 15km NE of Edmond, Oklahoma
#latitude = 35.7531
#longitude = -97.3580
#depth = 5.6
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002xh6
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.0899618,298.877,Pg,2015-07-31 02:43:34.490,manual,0.1,3.96
GS.OK025.HHZ.00,0.172407,174.546,Pg,2015-07-31 02:43:36.200,manual,0.3,3.45
OK.BCOK.HHZ.--,0.226018,244.885,Pg,2015-07-31 02:43:37.160,manual,0.3,3.18
OK.OKCFA.HHZ.--,0.345555,192.755,Pg,2015-07-31 02:43:39.180,manual,0.1,2.71
OK.CHOK.HHZ.--,0.30836,128.325,Pg,2015-07-31 02:43:38.480,manual,0.1,2.84
OK.OKCSW.EHZ.--,0.35292,190.672,Pg,2015-07-31 02:43:39.620,manual,0.4,2.69
OK.FNO.HHZ.01,0.495863,184.088,Pg,2015-07-31 02:43:42.290,manual,0.3,2.29
GS.OK031.HHZ.00,0.466398,64.5138,Pg,2015-07-31 02:43:41.480,manual,0.1,2.36
OK.CCOK.HHZ.--,0.464164,211.665,Pg,2015-07-31 02:43:41.440,manual,0.1,2.37
GS.KAN13.HHZ.01,1.26098,355.639,Pg,2015-07-31 02:43:55.620,manual,-1.0,1.27
GS.KAN05.HHZ.01,1.41494,343.107,Pn,2015-07-31 02:43:58.530,manual,-0.1,1.22
GS.KAN09.HHZ.01,1.39611,351.431,Pn,2015-07-31 02:43:58.520,manual,0.1,1.22
OK.X34A.HHZ.--,1.21344,198.824,Pg,2015-07-31 02:43:55.620,manual,-0.1,1.31
OK.QUOK.HHZ.--,0.672539,51.4453,Pg,2015-07-31 02:43:44.610,manual,-0.7,1.93
US.WMOK.BHZ.10,1.54334,229.395,Pn,2015-07-31 02:44:00.300,manual,-0.2,1.2
GS.KAN17.HHZ.01,1.32955,345.829,Pn,2015-07-31 02:43:56.560,manual,-0.9,1.23
GS.KAN08.HHZ.01,1.55139,341.617,Pn,2015-07-31 02:44:00.940,manual,0.4,1.2
GS.KS20.HHZ.00,1.48213,353.931,Pn,2015-07-31 02:43:59.460,manual,-0.1,1.21
GS.KAN12.HHZ.01,1.62517,341.696,Pn,2015-07-31 02:44:01.690,manual,0.1,1.19
N4.T35B.BHZ.--,1.34687,30.2303,Pn,2015-07-31 02:43:57.000,manual,-0.8,1.22
OK.CROK.HHZ.--,0.904932,326.164,Pg,2015-07-31 02:43:49.330,manual,-0.4,1.61
OK.BLOK.HHZ.--,1.01207,6.51567,Pg,2015-07-31 02:43:50.840,manual,-1.0,1.49
OK.GORE.HHZ.--,1.13505,335.376,Pg,2015-07-31 02:43:52.930,manual,-1.2,1.37
GS.OK032.HHZ.00,1.25453,326.952,Pg,2015-07-31 02:43:55.530,manual,-0.9,1.28
OK.U32A.BHZ.--,1.47091,295.631,Pn,2015-07-31 02:43:59.040,manual,-0.4,1.21
GS.KAN10.HHZ.01,1.49123,336.728,Pn,2015-07-31 02:43:59.580,manual,-0.2,1.2
GS.KAN11.HHZ.01,1.5175,343.011,Pn,2015-07-31 02:43:59.680,manual,-0.4,1.2
OK.LOOK.HHZ.--,1.76266,175.186,Pn,2015-07-31 02:44:04.380,manual,0.9,1.17
OK.X37A.BHZ.--,1.99932,124.931,Pn,2015-07-31 02:44:06.570,manual,-0.1,1.14
N4.U38B.BHZ.--,2.50269,73.2466,Pn,2015-07-31 02:44:14.030,manual,0.4,1.08
AG.HHAR.HHZ.00,2.82066,78.214,Pn,2015-07-31 02:44:17.340,manual,-0.6,1.04
N4.R32B.BHZ.--,2.87567,338.304,Pn,2015-07-31 02:44:18.620,manual,-0.1,1.04
TA.W39A.BHZ.--,2.96944,99.7478,Pn,2015-07-31 02:44:19.910,manual,-0.1,1.03
US.MIAR.BHZ.00,3.32454,110.152,Pn,2015-07-31 02:44:24.530,manual,-0.3,0.99
US.KSU1.BHZ.10,3.39454,9.88524,Pn,2015-07-31 02:44:25.760,manual,-0.1,0.98
US.CBKS.BHZ.00,3.59645,328.868,Pn,2015-07-31 02:44:28.530,manual,-0.1,0.97
US.AMTX.BHZ.00,3.63961,257.469,Pn,2015-07-31 02:44:30.190,manual,0.9,0.96
TA.U40A.BHZ.--,3.69907,79.3144,Pn,2015-07-31 02:44:29.950,manual,-0.1,0.96
N4.S39B.BHZ.--,3.77477,57.9883,Pn,2015-07-31 02:44:32.050,manual,1.0,0.95
TA.X40A.BHZ.--,3.9171,107.495,Pn,2015-07-31 02:44:33.740,manual,0.7,0.94
AG.FCAR.HHZ.00,4.25538,86.6295,Pn,2015-07-31 02:44:39.450,manual,1.8,0.91
N4.R40B.BHZ.--,4.79562,56.6102,Pn,2015-07-31 02:44:45.550,manual,0.5,0.87
N4.P38B.BHZ.--,4.91324,36.9871,Pn,2015-07-31 02:44:46.630,manual,0.0,0.86
