#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002xut
#time = 2015-08-04 12:11:23.900000
#location = 14km SE of Guthrie, Oklahoma
#latitude = 35.7872
#longitude = -97.3105
#depth = 5.3
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002xut
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.117773,274.61,Pg,2015-08-04 12:11:26.550,manual,0.2,3.77
GS.OK025.HHZ.00,0.20686,186.198,Pg,2015-08-04 12:11:28.380,manual,0.4,3.27
GS.OK031.HHZ.00,0.417129,66.4794,Pg,2015-08-04 12:11:32.310,manual,0.4,2.49
GS.KAN13.HHZ.01,1.23067,353.753,Pg,2015-08-04 12:11:47.040,manual,-0.5,1.3
GS.KAN17.HHZ.01,1.30681,343.85,Pn,2015-08-04 12:11:48.410,manual,-0.3,1.23
GS.OK032.HHZ.00,1.24811,324.641,Pg,2015-08-04 12:11:47.180,manual,-0.7,1.28
US.WMOK.BHZ.10,1.59482,229.397,Pn,2015-08-04 12:11:52.550,manual,-0.1,1.19
GS.KS20.HHZ.00,1.45298,352.303,Pn,2015-08-04 12:11:50.780,manual,0.0,1.21
N4.T35B.BHZ.--,1.29812,29.5418,Pn,2015-08-04 12:11:47.790,manual,-0.8,1.23
US.MIAR.BHZ.00,3.30033,110.964,Pn,2015-08-04 12:12:17.040,manual,1.0,0.99
OK.CHOK.HHZ.--,0.303426,137.962,Pg,2015-08-04 12:11:30.260,manual,0.5,2.86
OK.BCOK.HHZ.--,0.275811,241.914,Pg,2015-08-04 12:11:29.520,manual,0.2,2.97
OK.OKCSW.EHZ.--,0.39479,195.298,Pg,2015-08-04 12:11:31.860,manual,0.3,2.56
OK.OKCFA.HHZ.--,0.388449,197.234,Pg,2015-08-04 12:11:31.750,manual,0.3,2.57
OK.FNO.HHZ.01,0.533787,187.993,Pg,2015-08-04 12:11:34.430,manual,0.3,2.2
OK.QUOK.HHZ.--,0.621129,51.7079,Pg,2015-08-04 12:11:36.080,manual,0.2,2.02
OK.CCOK.HHZ.--,0.513626,213.367,Pg,2015-08-04 12:11:34.080,manual,0.3,2.25
OK.CROK.HHZ.--,0.899615,322.94,Pg,2015-08-04 12:11:40.720,manual,-0.4,1.61
OK.X34A.HHZ.--,1.25838,200.016,Pg,2015-08-04 12:11:47.790,manual,-0.2,1.28
OK.GC02.EHZ.--,1.151,337.501,Pg,2015-08-04 12:11:45.540,manual,-0.4,1.36
OK.U32A.BHZ.--,1.49176,293.838,Pn,2015-08-04 12:11:51.140,manual,-0.2,1.2
OK.X37A.BHZ.--,1.98778,126.4,Pn,2015-08-04 12:11:58.550,manual,0.5,1.14
TA.W39A.BHZ.--,2.93742,100.557,Pn,2015-08-04 12:12:11.780,manual,0.7,1.03
GS.OK005.HNZ.01,0.163915,143.614,Pg,2015-08-04 12:11:26.700,manual,-0.5,3.49
GS.OK001.HNZ.01,0.226258,175.659,Pg,2015-08-04 12:11:28.840,manual,0.5,3.18
OK.GORE.HHZ.--,1.12129,332.884,Pg,2015-08-04 12:11:45.150,manual,-0.3,1.39
GS.KAN10.HHZ.01,1.47603,334.857,Pn,2015-08-04 12:11:50.470,manual,-0.6,1.21
GS.KAN08.HHZ.01,1.532,339.873,Pn,2015-08-04 12:11:50.730,manual,-1.1,1.2
OK.LOOK.HHZ.--,1.79381,176.534,Pn,2015-08-04 12:11:55.470,manual,0.1,1.16
AG.HHAR.HHZ.00,2.77602,78.7662,Pn,2015-08-04 12:12:07.840,manual,-1.1,1.05
N4.R32B.BHZ.--,2.85874,337.361,Pn,2015-08-04 12:12:09.380,manual,-0.7,1.04
TA.U40A.BHZ.--,3.65491,79.7536,Pn,2015-08-04 12:12:21.160,manual,0.2,0.96
TA.X40A.BHZ.--,3.89075,108.171,Pn,2015-08-04 12:12:21.960,manual,-2.2,0.94
TA.WHTX.BHZ.--,3.78814,181.873,Pn,2015-08-04 12:12:21.970,manual,-0.8,0.95
TA.BGNE.BHZ.--,5.65098,353.573,Pn,2015-08-04 12:12:48.570,manual,0.2,0.81
GS.OK029.HH2.00,0.117773,274.61,Sg,2015-08-04 12:11:28.600,manual,0.6,1.37
GS.OK005.HNN.01,0.163915,143.614,Sg,2015-08-04 12:11:29.600,manual,0.2,1.34
GS.OK025.HH2.00,0.20686,186.198,Sg,2015-08-04 12:11:31.960,manual,1.2,1.32
GS.OK001.HNE.01,0.226258,175.659,Sg,2015-08-04 12:11:32.630,manual,1.3,1.31
OK.CHOK.HHN.--,0.303426,137.962,Sg,2015-08-04 12:11:35.150,manual,1.4,1.27
OK.OKCFA.HHN.--,0.388449,197.234,Sg,2015-08-04 12:11:37.640,manual,1.2,1.23
OK.OKCSW.EHN.--,0.39479,195.298,Sg,2015-08-04 12:11:37.760,manual,1.1,1.22
GS.OK031.HH2.00,0.417129,66.4794,Sg,2015-08-04 12:11:38.150,manual,0.8,1.21
OK.FNO.HHN.01,0.533787,187.993,Sg,2015-08-04 12:11:42.300,manual,1.2,1.16
OK.QUOK.HHN.--,0.621129,51.7079,Sg,2015-08-04 12:11:44.560,manual,0.6,1.13
OK.CROK.HHN.--,0.899615,322.94,Sg,2015-08-04 12:11:53.260,manual,0.4,1.02
OK.GORE.HHN.--,1.12129,332.884,Sg,2015-08-04 12:12:00.230,manual,0.3,0.96
OK.GC02.EHE.--,1.151,337.501,Sg,2015-08-04 12:12:00.810,manual,-0.1,0.95
