#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10002xz5
#time = 2015-08-02 18:04:53.400000
#location = 14km NE of Cherokee, Oklahoma
#latitude = 36.8479
#longitude = -98.2407
#depth = 4.5
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10002xz5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.305719,89.2121,Pg,2015-08-02 18:04:59.550,manual,0.2,2.85
GS.KAN10.HHZ.01,0.298769,22.9241,Pg,2015-08-02 18:04:59.640,manual,0.5,2.88
OK.GORE.HHZ.--,0.243678,104.697,Pg,2015-08-02 18:04:58.620,manual,0.5,3.1
OK.CROK.HHZ.--,0.400147,148.796,Pg,2015-08-02 18:05:01.210,manual,0.1,2.54
GS.KAN12.HHZ.01,0.488858,23.3223,Pg,2015-08-02 18:05:03.190,manual,0.4,2.3
OK.BLOK.HHZ.--,0.827835,95.7343,Pg,2015-08-02 18:05:09.130,manual,-0.2,1.7
GS.OK029.HHZ.00,1.22615,148.599,Pg,2015-08-02 18:05:16.300,manual,-0.6,1.3
GS.OK032.HHZ.00,0.050284,151.081,Pg,2015-08-02 18:04:54.920,manual,0.2,4.26
OK.QUOK.HHZ.--,1.40733,118.211,Pn,2015-08-02 18:05:19.470,manual,-0.2,1.22
GS.OK025.HHZ.00,1.45986,149.726,Pn,2015-08-02 18:05:20.360,manual,-0.1,1.21
OK.CCOK.HHZ.--,1.5615,162.178,Pn,2015-08-02 18:05:21.760,manual,-0.1,1.2
OK.CHOK.HHZ.--,1.59965,143.045,Pn,2015-08-02 18:05:22.690,manual,0.4,1.19
US.WMOK.BHZ.10,2.15076,191.937,Pn,2015-08-02 18:05:30.120,manual,0.2,1.12
OK.X34A.HHZ.--,2.26651,171.456,Pn,2015-08-02 18:05:33.520,manual,2.0,1.11
N4.R32B.BHZ.--,1.61563,346.779,Pn,2015-08-02 18:05:23.000,manual,0.4,1.19
N4.T35B.BHZ.--,1.38781,86.6659,Pn,2015-08-02 18:05:19.060,manual,-0.4,1.22
GS.KAN17.HHZ.01,0.428612,62.6699,Pg,2015-08-02 18:05:02.060,manual,0.4,2.46
GS.KAN09.HHZ.01,0.575392,59.8171,Pg,2015-08-02 18:05:04.760,manual,0.3,2.11
GS.KS20.HHZ.00,0.668493,55.0387,Pg,2015-08-02 18:05:06.120,manual,-0.1,1.94
OK.U32A.BHZ.--,0.770156,232.855,Pg,2015-08-02 18:05:08.220,manual,0.0,1.78
OK.BCOK.HHZ.--,1.29369,156.578,Pn,2015-08-02 18:05:17.050,manual,-1.1,1.23
AG.HHAR.HHZ.00,3.50789,97.9786,Pn,2015-08-02 18:05:49.280,manual,0.7,0.98
N4.S39B.BHZ.--,4.01212,76.4125,Pn,2015-08-02 18:05:55.780,manual,0.3,0.93
NM.MGMO.BHZ.--,4.78992,84.5487,Pn,2015-08-02 18:06:05.790,manual,-0.3,0.87
N4.R40B.BHZ.--,4.95824,71.3075,Pn,2015-08-02 18:06:08.780,manual,0.4,0.86
TA.X40A.BHZ.--,4.99168,116.553,Pn,2015-08-02 18:06:09.330,manual,0.5,0.86
GS.OK032.HH2.00,0.050284,151.081,Sg,2015-08-02 18:04:56.110,manual,0.5,1.41
OK.GORE.HHN.--,0.243678,104.697,Sg,2015-08-02 18:05:02.300,manual,0.9,1.3
GS.KAN10.HHE.01,0.298769,22.9241,Sg,2015-08-02 18:05:04.190,manual,1.1,1.27
