#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100030my
#time = 2015-08-08 07:19:39.600000
#location = 13km NE of Edmond, Oklahoma
#latitude = 35.7418
#longitude = -97.3798
#depth = 6.6
#magnitude = 2.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100030my
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.163939,167.975,Pg,2015-08-08 07:19:43.310,manual,0.4,3.49
OK.OKCSW.EHZ.--,0.338902,188.065,Pg,2015-08-08 07:19:46.480,manual,0.3,2.73
OK.CHOK.HHZ.--,0.315902,124.711,Pg,2015-08-08 07:19:46.160,manual,0.4,2.81
OK.OKCFA.HHZ.--,0.330973,190.178,Pg,2015-08-08 07:19:46.340,manual,0.3,2.76
OK.FNO.HHZ.01,0.483645,182.075,Pg,2015-08-08 07:19:49.150,manual,0.2,2.32
N4.T35B.BHZ.--,1.36557,30.6222,Pn,2015-08-08 07:20:04.390,manual,-0.7,1.22
OK.GORE.HHZ.--,1.13811,336.411,Pg,2015-08-08 07:20:00.750,manual,-0.7,1.37
GS.OK029.HHZ.00,0.0819803,311.861,Pg,2015-08-08 07:19:41.720,manual,0.1,4.01
GS.OK005.HNZ.01,0.176377,119.392,Pg,2015-08-08 07:19:43.560,manual,0.4,3.42
OK.BCOK.HHZ.--,0.205194,245.622,Pg,2015-08-08 07:19:43.840,manual,0.1,3.28
OK.QUOK.HHZ.--,0.693438,51.6171,Pg,2015-08-08 07:19:52.850,manual,-0.1,1.9
OK.CROK.HHZ.--,0.904669,327.481,Pg,2015-08-08 07:19:56.790,manual,-0.2,1.61
GS.OK029.HH1.00,0.0819803,311.861,Sg,2015-08-08 07:19:43.330,manual,0.4,1.39
GS.OK005.HNN.01,0.176377,119.392,Sg,2015-08-08 07:19:46.470,manual,0.9,1.34
OK.BCOK.HHE.--,0.205194,245.622,Sg,2015-08-08 07:19:47.170,manual,0.7,1.32
OK.CHOK.HHN.--,0.315902,124.711,Sg,2015-08-08 07:19:50.810,manual,0.9,1.26
OK.OKCFA.HHE.--,0.330973,190.178,Sg,2015-08-08 07:19:51.340,manual,0.9,1.26
OK.OKCSW.EHE.--,0.338902,188.065,Sg,2015-08-08 07:19:51.640,manual,1.0,1.25
OK.CCOK.HHZ.--,0.445352,210.472,Pg,2015-08-08 07:19:48.180,manual,0.0,2.41
OK.CCOK.HHN.--,0.445352,210.472,Sg,2015-08-08 07:19:54.770,manual,0.7,1.2
GS.OK031.HH2.00,0.487264,64.2013,Sg,2015-08-08 07:19:55.870,manual,0.5,1.18
GS.OK031.HHZ.00,0.487264,64.2013,Pg,2015-08-08 07:19:49.240,manual,0.2,2.31
OK.FNO.HHN.01,0.483645,182.075,Sg,2015-08-08 07:19:56.160,manual,0.9,1.18
OK.QUOK.HHE.--,0.693438,51.6171,Sg,2015-08-08 07:20:02.320,manual,0.4,1.1
OK.BLOK.HHZ.--,1.02542,7.41581,Pg,2015-08-08 07:19:58.690,manual,-0.6,1.48
OK.GC02.EHZ.--,1.17332,340.852,Pn,2015-08-08 07:20:01.210,manual,-1.2,1.25
OK.X34A.HHZ.--,1.19712,198.182,Pn,2015-08-08 07:20:02.140,manual,-0.6,1.25
GS.OK032.HHZ.00,1.25449,327.898,Pn,2015-08-08 07:20:02.760,manual,-0.8,1.24
GS.KAN13.HHZ.01,1.27101,356.462,Pn,2015-08-08 07:20:02.880,manual,-0.9,1.23
OK.U32A.BHZ.--,1.4599,296.318,Pn,2015-08-08 07:20:05.930,manual,-0.5,1.21
GS.KAN17.HHZ.01,1.3363,346.672,Pn,2015-08-08 07:20:04.130,manual,-0.6,1.23
US.WMOK.BHZ.10,1.52254,229.27,Pn,2015-08-08 07:20:07.160,manual,-0.1,1.2
OK.X37A.BHZ.--,2.0075,124.365,Pn,2015-08-08 07:20:13.230,manual,-0.6,1.13
US.MIAR.BHZ.00,3.33734,109.853,Pn,2015-08-08 07:20:32.720,manual,0.6,0.99
AG.WHAR.HHZ.00,4.17695,94.7117,Pn,2015-08-08 07:20:43.800,manual,0.2,0.92
