#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100034s3
#time = 2015-08-23 07:18:35.800000
#location = 12km SSW of Caldwell, Kansas
#latitude = 36.9340
#longitude = -97.6822
#depth = 3.4
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100034s3
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN17.HHZ.01,0.128265,328.984,Pg,2015-08-23 07:18:38.940,manual,0.6,3.7
GS.KAN13.HHZ.01,0.181653,64.2455,Pg,2015-08-23 07:18:39.800,manual,0.5,3.4
OK.GORE.HHZ.--,0.258993,235.197,Pg,2015-08-23 07:18:41.360,manual,0.6,3.03
OK.GC02.EHZ.--,0.164335,239.984,Pg,2015-08-23 07:18:39.570,manual,0.6,3.49
GS.KAN05.HHZ.01,0.231347,318.936,Pg,2015-08-23 07:18:40.150,manual,-0.1,3.15
GS.KS20.HHZ.00,0.312373,19.0748,Pg,2015-08-23 07:18:42.240,manual,0.4,2.83
OK.BLOK.HHZ.--,0.412802,114.647,Pg,2015-08-23 07:18:43.930,manual,0.2,2.5
GS.OK032.HHZ.00,0.443074,253.103,Pg,2015-08-23 07:18:44.690,manual,0.4,2.42
GS.KAN12.HHZ.01,0.441929,325.26,Pg,2015-08-23 07:18:44.810,manual,0.5,2.42
OK.CROK.HHZ.--,0.492092,209.549,Pg,2015-08-23 07:18:45.630,manual,0.4,2.3
GS.KAN10.HHZ.01,0.380742,299.912,Pg,2015-08-23 07:18:43.730,manual,0.6,2.6
GS.KAN11.HHZ.01,0.328449,325.821,Pg,2015-08-23 07:18:42.730,manual,0.6,2.77
GS.OK029.HHZ.00,1.14984,170.752,Pg,2015-08-23 07:18:57.500,manual,-0.3,1.36
OK.QUOK.HHZ.--,1.09297,133.844,Pg,2015-08-23 07:18:56.450,manual,-0.3,1.41
GS.KAN08.HHZ.01,0.372378,321.769,Pg,2015-08-23 07:18:43.710,manual,0.7,2.62
GS.OK031.HHZ.00,1.19183,144.971,Pg,2015-08-23 07:18:58.210,manual,-0.4,1.33
GS.OK025.HHZ.00,1.37852,168.252,Pn,2015-08-23 07:19:01.610,manual,-0.2,1.22
OK.CHOK.HHZ.--,1.45913,159.697,Pn,2015-08-23 07:19:02.720,manual,-0.2,1.21
OK.FNO.HHZ.01,1.68853,172.171,Pn,2015-08-23 07:19:06.560,manual,0.5,1.18
OK.CCOK.HHZ.--,1.57409,179.223,Pn,2015-08-23 07:19:04.800,manual,0.3,1.2
OK.OKCFA.HHZ.--,1.52704,172.908,Pn,2015-08-23 07:19:04.060,manual,0.2,1.2
US.KSU1.BHZ.10,2.32331,21.0601,Pn,2015-08-23 07:19:14.770,manual,0.0,1.1
US.WMOK.BHZ.10,2.36618,202.485,Pn,2015-08-23 07:19:15.590,manual,0.2,1.09
N4.R32B.BHZ.--,1.6954,331.529,Pn,2015-08-23 07:19:07.430,manual,1.2,1.18
N4.T35B.BHZ.--,0.937983,90.7337,Pg,2015-08-23 07:18:53.480,manual,-0.3,1.57
OK.U32A.BHZ.--,1.19649,242.845,Pg,2015-08-23 07:18:58.250,manual,-0.5,1.32
US.MIAR.BHZ.00,4.10263,124.298,Pn,2015-08-23 07:19:40.800,manual,1.6,0.92
OK.X37A.BHZ.--,3.00092,140.545,Pn,2015-08-23 07:19:24.970,manual,0.9,1.03
N4.S39B.BHZ.--,3.5567,76.4207,Pn,2015-08-23 07:19:32.340,manual,0.6,0.97
TA.W39A.BHZ.--,3.60283,117.614,Pn,2015-08-23 07:19:33.340,manual,1.0,0.97
NQ.KAN15.HNZ.01,0.375472,13.4472,Pg,2015-08-23 07:18:42.850,manual,-0.2,2.61
OK.OKCSW.EHZ.--,1.5381,172.547,Pn,2015-08-23 07:19:04.220,manual,0.2,1.2
N4.P38B.BHZ.--,4.22826,49.2903,Pn,2015-08-23 07:19:41.480,manual,0.5,0.91
N4.R40B.BHZ.--,4.50678,70.8718,Pn,2015-08-23 07:19:45.080,manual,0.3,0.89
TA.WHTX.BHZ.--,4.93422,177.766,Pn,2015-08-23 07:19:50.870,manual,0.3,0.86
GS.KAN17.HHN.01,0.128265,328.984,Sg,2015-08-23 07:18:40.530,manual,0.5,1.36
OK.GC02.EHN.--,0.164335,239.984,Sg,2015-08-23 07:18:42.210,manual,1.0,1.34
GS.KAN13.HHN.01,0.181653,64.2455,Sg,2015-08-23 07:18:42.680,manual,0.9,1.33
GS.KAN05.HHE.01,0.231347,318.936,Sg,2015-08-23 07:18:44.210,manual,0.9,1.31
OK.GORE.HHN.--,0.258993,235.197,Sg,2015-08-23 07:18:45.330,manual,1.1,1.29
NQ.KAN02.HNE.01,0.306572,329.215,Sg,2015-08-23 07:18:46.920,manual,1.2,1.27
GS.KAN11.HHN.01,0.328449,325.821,Sg,2015-08-23 07:18:47.470,manual,1.1,1.26
GS.KAN08.HHE.01,0.372378,321.769,Sg,2015-08-23 07:18:48.990,manual,1.2,1.23
NQ.KAN15.HNE.01,0.375472,13.4472,Sg,2015-08-23 07:18:49.050,manual,1.1,1.23
OK.BLOK.HHE.--,0.412802,114.647,Sg,2015-08-23 07:18:49.720,manual,0.6,1.22
