#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100035r9
#time = 2015-08-28 06:01:55.400000
#location = 13km ESE of Medford, Oklahoma
#latitude = 36.7448
#longitude = -97.6024
#depth = 5.0
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100035r9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN17.HHZ.01,0.325871,336.501,Pg,2015-08-28 06:02:02.380,manual,0.7,2.78
GS.KAN13.HHZ.01,0.285636,20.4368,Pg,2015-08-28 06:02:01.600,manual,0.6,2.93
GS.KAN14.HHZ.01,0.358376,306.295,Pg,2015-08-28 06:02:02.910,manual,0.6,2.67
OK.BLOK.HHZ.--,0.311542,86.9826,Pg,2015-08-28 06:02:01.880,manual,0.4,2.83
OK.GC02.EHZ.--,0.232294,297.365,Pg,2015-08-28 06:02:00.700,manual,0.8,3.15
OK.CROK.HHZ.--,0.389058,232.094,Pg,2015-08-28 06:02:03.400,manual,0.5,2.57
GS.KAN11.HHZ.01,0.523352,331.686,Pg,2015-08-28 06:02:05.960,manual,0.5,2.22
GS.OK032.HHZ.00,0.491716,277.06,Pg,2015-08-28 06:02:05.220,manual,0.4,2.3
GS.KAN10.HHZ.01,0.546555,313.903,Pg,2015-08-28 06:02:06.350,manual,0.4,2.17
GS.KAN08.HHZ.01,0.564287,328.584,Pg,2015-08-28 06:02:06.690,manual,0.4,2.14
GS.KAN12.HHZ.01,0.635983,330.262,Pg,2015-08-28 06:02:07.880,manual,0.3,2.0
OK.QUOK.HHZ.--,0.920541,128.171,Pg,2015-08-28 06:02:12.820,manual,-0.2,1.59
GS.OK031.HHZ.00,1.00199,141.822,Pg,2015-08-28 06:02:14.380,manual,-0.2,1.5
OK.CHOK.HHZ.--,1.25982,159.499,Pg,2015-08-28 06:02:18.710,manual,-0.8,1.28
GS.OK025.HHZ.00,1.18086,169.479,Pg,2015-08-28 06:02:17.570,manual,-0.5,1.34
OK.FNO.HHZ.01,1.49322,173.668,Pn,2015-08-28 06:02:23.030,manual,0.2,1.2
GS.OK029.HHZ.00,0.953749,172.777,Pg,2015-08-28 06:02:13.590,manual,-0.1,1.55
N4.T35B.BHZ.--,0.891511,78.6105,Pg,2015-08-28 06:02:12.260,manual,-0.2,1.62
OK.GC02.EHN.--,0.232294,297.365,Sg,2015-08-28 06:02:04.140,manual,1.1,1.31
OK.GORE.HHZ.--,0.279776,278.472,Pg,2015-08-28 06:02:01.460,manual,0.6,2.95
GS.KAN13.HHE.01,0.285636,20.4368,Sg,2015-08-28 06:02:05.760,manual,1.1,1.28
OK.BLOK.HHE.--,0.311542,86.9826,Sg,2015-08-28 06:02:06.300,manual,0.8,1.26
GS.KAN17.HHE.01,0.325871,336.501,Sg,2015-08-28 06:02:07.220,manual,1.2,1.26
GS.KS20.HHZ.00,0.485519,4.53562,Pg,2015-08-28 06:02:05.190,manual,0.4,2.31
GS.KS20.HH2.00,0.485519,4.53562,Sg,2015-08-28 06:02:11.870,manual,0.8,1.18
