#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us1000366m
#time = 2015-08-30 19:38:27.900000
#location = 22km NE of Perry, Oklahoma
#latitude = 36.4491
#longitude = -97.1247
#depth = 8.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us1000366m
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BLOK.HHZ.--,0.319268,346.873,Pg,2015-08-30 19:38:34.400,manual,0.2,2.8
OK.QUOK.HHZ.--,0.435993,129.345,Pg,2015-08-30 19:38:36.420,manual,0.0,2.44
GS.OK031.HHZ.00,0.546234,154.898,Pg,2015-08-30 19:38:38.380,manual,-0.1,2.17
GS.KAN13.HHZ.01,0.630167,333.353,Pg,2015-08-30 19:38:40.050,manual,0.0,2.01
GS.OK029.HHZ.00,0.703895,202.419,Pg,2015-08-30 19:38:41.210,manual,-0.2,1.88
OK.CROK.HHZ.--,0.694327,274.839,Pg,2015-08-30 19:38:41.120,manual,-0.2,1.9
GS.KAN17.HHZ.01,0.785486,319.307,Pg,2015-08-30 19:38:42.800,manual,-0.2,1.76
OK.GC02.EHZ.--,0.714549,304.417,Pg,2015-08-30 19:38:41.370,manual,-0.3,1.86
GS.KAN14.HHZ.01,0.842988,307.198,Pg,2015-08-30 19:38:43.800,manual,-0.3,1.68
GS.KS20.HHZ.00,0.85193,336.266,Pg,2015-08-30 19:38:44.000,manual,-0.3,1.67
GS.OK025.HHZ.00,0.883262,191.348,Pg,2015-08-30 19:38:44.520,manual,-0.4,1.63
GS.KAN11.HHZ.01,0.985425,320.287,Pg,2015-08-30 19:38:46.520,manual,-0.3,1.52
OK.OKCSW.EHZ.--,1.07199,193.814,Pg,2015-08-30 19:38:47.820,manual,-0.7,1.43
OK.CHOK.HHZ.--,0.887632,176.661,Pg,2015-08-30 19:38:44.190,manual,-0.8,1.63
GS.OK032.HHZ.00,0.942405,292.387,Pg,2015-08-30 19:38:45.860,manual,-0.1,1.56
GS.KAN10.HHZ.01,1.02953,311.118,Pg,2015-08-30 19:38:47.190,manual,-0.5,1.47
GS.KAN12.HHZ.01,1.09876,320.667,Pg,2015-08-30 19:38:48.530,manual,-0.5,1.41
OK.OKCFA.HHZ.--,1.06515,194.51,Pg,2015-08-30 19:38:47.710,manual,-0.6,1.44
OK.FNO.HHZ.01,1.21019,190.778,Pn,2015-08-30 19:38:50.040,manual,-1.0,1.24
US.WMOK.BHZ.10,2.17638,218.809,Pn,2015-08-30 19:39:05.160,manual,0.8,1.11
OK.X34A.HHZ.--,1.93231,197.594,Pn,2015-08-30 19:39:02.460,manual,1.5,1.14
OK.U32A.BHZ.--,1.5154,267.93,Pn,2015-08-30 19:38:56.000,manual,0.7,1.2
N4.T35B.BHZ.--,0.678232,46.3957,Pg,2015-08-30 19:38:40.830,manual,-0.1,1.92
N4.U38B.BHZ.--,2.20851,89.4375,Pn,2015-08-30 19:39:05.850,manual,1.1,1.11
TA.U40A.BHZ.--,3.44682,90.2711,Pn,2015-08-30 19:39:22.540,manual,0.8,0.98
NM.MGMO.BHZ.--,3.96013,78.3189,Pn,2015-08-30 19:39:30.270,manual,1.4,0.93
OK.X37A.BHZ.--,2.34296,141.864,Pn,2015-08-30 19:39:08.210,manual,1.6,1.09
NQ.OK915.HNZ.01,0.570631,149.957,Pg,2015-08-30 19:38:38.820,manual,-0.1,2.12
GS.KAN05.HHZ.01,0.890804,317.862,Pg,2015-08-30 19:38:44.740,manual,-0.3,1.62
US.MIAR.BHZ.00,3.46235,122.228,Pn,2015-08-30 19:39:22.440,manual,0.5,0.98
US.AMTX.BHZ.00,4.02476,248.507,Pn,2015-08-30 19:39:29.860,manual,0.1,0.93
N4.P38B.BHZ.--,4.25354,40.7257,Pn,2015-08-30 19:39:32.370,manual,-0.5,0.91
N4.R40B.BHZ.--,4.28279,63.123,Pn,2015-08-30 19:39:33.720,manual,0.5,0.91
OK.QUOK.HHN.--,0.435993,129.345,Sg,2015-08-30 19:38:42.390,manual,0.3,1.2
GS.OK031.HH2.00,0.546234,154.898,Sg,2015-08-30 19:38:45.830,manual,0.2,1.16
N4.T35B.BHN.--,0.678232,46.3957,Sg,2015-08-30 19:38:49.820,manual,0.0,1.1
