#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10003ij9
#time = 2015-09-28 01:39:50.580000
#location = 8km ENE of Caldwell, Kansas
#latitude = 37.0620
#longitude = -97.5183
#depth = 6.1
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10003ij9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHE.01,0.0587555,146.509,Sg,2015-09-28 01:39:53.480,manual,0.2,1.41
GS.KS20.HHZ.00,0.169843,350.261,Pg,2015-09-28 01:39:54.240,manual,0.2,3.46
GS.KAN09.HHN.01,0.108917,312.802,Sg,2015-09-28 01:39:54.880,manual,0.3,1.38
GS.KAN17.HHZ.01,0.198011,264.898,Pg,2015-09-28 01:39:54.750,manual,0.2,3.31
GS.KAN01.HHZ.01,0.212958,295.439,Pg,2015-09-28 01:39:55.010,manual,0.2,3.24
GS.KAN05.HHZ.01,0.28688,279.438,Pg,2015-09-28 01:39:56.320,manual,0.1,2.92
GS.KAN06.HHZ.01,0.329222,304.431,Pg,2015-09-28 01:39:57.180,manual,0.2,2.77
GS.KAN14.HHZ.01,0.371131,253.699,Pg,2015-09-28 01:39:57.910,manual,0.1,2.63
GS.KAN11.HHZ.01,0.346853,294.601,Pg,2015-09-28 01:39:57.490,manual,0.2,2.71
OK.BLOK.HHZ.--,0.386775,140.967,Pg,2015-09-28 01:39:58.310,manual,0.2,2.58
GS.KAN08.HHZ.01,0.397266,294.582,Pg,2015-09-28 01:39:58.450,manual,0.2,2.55
GS.KAN10.HHZ.01,0.465276,277.755,Pg,2015-09-28 01:39:59.710,manual,0.1,2.36
GS.KAN12.HHZ.01,0.449444,301.665,Pg,2015-09-28 01:39:59.430,manual,0.2,2.4
OK.GC02.EHZ.--,0.344792,232.559,Pg,2015-09-28 01:39:57.510,manual,0.2,2.71
OK.CROK.HHZ.--,0.669934,214.012,Pg,2015-09-28 01:40:03.560,manual,0.1,1.94
GS.OK032.HHZ.00,0.611516,245.283,Pg,2015-09-28 01:40:02.350,manual,0.0,2.04
GS.KAN16.HHN.01,0.466145,290.672,Sg,2015-09-28 01:40:06.110,manual,0.4,1.19
GS.OK029.HHZ.00,1.26391,177.663,Pn,2015-09-28 01:40:14.370,manual,-0.4,1.24
GS.OK031.HHZ.00,1.23459,153.487,Pg,2015-09-28 01:40:13.750,manual,-0.5,1.29
GS.OK030.HHZ.00,1.27734,152.177,Pn,2015-09-28 01:40:14.370,manual,-0.5,1.23
N4.T35B.BHZ.--,0.818843,99.9342,Pg,2015-09-28 01:40:06.140,manual,-0.2,1.71
US.WMOK.BHZ.10,2.5355,204.215,Pn,2015-09-28 01:40:32.500,manual,0.3,1.07
GS.KS20.HH2.00,0.169843,350.261,Sg,2015-09-28 01:39:56.760,manual,0.4,1.34
GS.KAN17.HHE.01,0.198011,264.898,Sg,2015-09-28 01:39:57.640,manual,0.4,1.32
GS.KAN01.HHN.01,0.212958,295.439,Sg,2015-09-28 01:39:58.150,manual,0.5,1.32
NQ.KAN15.HNZ.01,0.241309,349.644,Pg,2015-09-28 01:39:55.540,manual,0.2,3.11
NQ.KAN15.HNE.01,0.241309,349.644,Sg,2015-09-28 01:39:59.060,manual,0.5,1.3
GS.KS21.HHZ.00,0.252138,332.76,Pg,2015-09-28 01:39:55.770,manual,0.2,3.06
GS.KS21.HH2.00,0.252138,332.76,Sg,2015-09-28 01:39:59.430,manual,0.5,1.3
GS.KAN05.HHN.01,0.28688,279.438,Sg,2015-09-28 01:40:00.320,manual,0.3,1.28
GS.KAN06.HHN.01,0.329222,304.431,Sg,2015-09-28 01:40:01.780,manual,0.5,1.26
GS.KAN11.HHN.01,0.346853,294.601,Sg,2015-09-28 01:40:02.410,manual,0.5,1.25
GS.KAN14.HHN.01,0.371131,253.699,Sg,2015-09-28 01:40:03.000,manual,0.3,1.24
GS.KAN08.HHN.01,0.397266,294.582,Sg,2015-09-28 01:40:04.040,manual,0.6,1.22
GS.KAN12.HHN.01,0.449444,301.665,Sg,2015-09-28 01:40:05.600,manual,0.5,1.2
GS.KAN16.HHZ.01,0.466145,290.672,Pg,2015-09-28 01:39:59.720,manual,0.1,2.36
GS.OK032.HH1.00,0.611516,245.283,Sg,2015-09-28 01:40:10.840,manual,0.5,1.13
GS.KAN13.HHZ.01,0.0587555,146.509,Pg,2015-09-28 01:39:52.300,manual,0.1,4.19
GS.KAN09.HHZ.01,0.108917,312.802,Pg,2015-09-28 01:39:53.140,manual,0.2,3.82
