#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004as5
#time = 2016-01-01 22:08:04.700000
#location = 7km ENE of Edmond, Oklahoma
#latitude = 35.6661
#longitude = -97.3992
#depth = 6.7
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004as5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.75434,47.851,Pg,2016-01-01 22:08:18.990,manual,-0.2,1.8
GS.KAN16.HHZ.01,1.64628,341.174,Pn,2016-01-01 22:08:34.570,manual,0.5,1.18
GS.KAN10.HHZ.01,1.55908,339.097,Pn,2016-01-01 22:08:33.020,manual,0.2,1.19
TA.TUL1.BHZ.--,1.32933,78.9638,Pn,2016-01-01 22:08:28.750,automatic,-0.9,1.23
N4.T35B.BHZ.--,1.43883,29.6202,Pn,2016-01-01 22:08:31.090,automatic,-0.1,1.21
OK.CHOK.HHZ.--,0.294583,110.735,Pg,2016-01-01 22:08:10.850,manual,0.4,2.89
OK.OKCSW.EHZ.--,0.261947,186.95,Pg,2016-01-01 22:08:10.030,manual,0.2,3.02
OK.OKCFA.HHZ.--,0.253846,189.67,Pg,2016-01-01 22:08:09.620,manual,-0.1,3.06
GS.KAN14.HHZ.01,1.3662,340.696,Pn,2016-01-01 22:08:29.880,manual,-0.3,1.22
GS.KAN17.HHZ.01,1.40653,347.996,Pn,2016-01-01 22:08:30.610,manual,-0.1,1.21
GS.OK029.HHZ.00,0.137881,340.827,Pg,2016-01-01 22:08:07.840,manual,0.2,3.64
GS.OK029.HH2.00,0.137881,340.827,Sg,2016-01-01 22:08:10.250,manual,0.7,1.36
OK.BCOK.HHZ.--,0.171345,266.923,Pg,2016-01-01 22:08:08.360,manual,0.2,3.45
OK.BCOK.HHN.--,0.171345,266.923,Sg,2016-01-01 22:08:11.300,manual,0.8,1.34
GS.OK025.HHZ.00,0.0984264,149.49,Pg,2016-01-01 22:08:07.200,manual,0.2,3.9
GS.OK025.HH2.00,0.0984264,149.49,Sg,2016-01-01 22:08:09.230,manual,0.7,1.38
OK.OKCFA.HHN.--,0.253846,189.67,Sg,2016-01-01 22:08:14.000,manual,0.9,1.29
OK.OKCSW.EHE.--,0.261947,186.95,Sg,2016-01-01 22:08:14.270,manual,0.9,1.29
OK.CHOK.HHN.--,0.294583,110.735,Sg,2016-01-01 22:08:15.420,manual,1.0,1.27
OK.FNO.HHN.01,0.407798,180.23,Sg,2016-01-01 22:08:18.840,manual,0.9,1.22
OK.CROK.HHZ.--,0.96138,330.685,Pg,2016-01-01 22:08:22.740,manual,-0.4,1.54
OK.BLOK.HHZ.--,1.10237,7.712,Pg,2016-01-01 22:08:25.300,manual,-0.6,1.4
OK.GORE.HHZ.--,1.20184,338.531,Pg,2016-01-01 22:08:27.000,manual,-0.8,1.32
OK.GC02.EHZ.--,1.24013,342.675,Pn,2016-01-01 22:08:27.550,manual,-0.9,1.24
OK.X34A.HHZ.--,1.12046,198.609,Pn,2016-01-01 22:08:26.060,manual,-0.7,1.26
GS.OK032.HHZ.00,1.31117,330.226,Pn,2016-01-01 22:08:28.690,manual,-0.7,1.23
GS.KAN13.HHZ.01,1.34558,357.32,Pn,2016-01-01 22:08:29.680,manual,-0.2,1.22
GS.KAN05.HHZ.01,1.48936,345.288,Pn,2016-01-01 22:08:31.340,manual,-0.5,1.2
GS.OK035.HHZ.00,1.48505,314.834,Pn,2016-01-01 22:08:31.390,manual,-0.4,1.2
OK.U32A.BHZ.--,1.48111,299.197,Pn,2016-01-01 22:08:31.550,manual,-0.2,1.2
US.WMOK.BHZ.10,1.46204,231.097,Pn,2016-01-01 22:08:31.300,manual,-0.2,1.21
GS.KAN12.HHZ.01,1.69807,343.666,Pn,2016-01-01 22:08:35.330,manual,0.6,1.17
GS.KAN01.HHZ.01,1.51243,349.042,Pn,2016-01-01 22:08:32.110,manual,-0.1,1.2
ZW.AZDA.EHZ.01,2.68977,182.797,Pn,2016-01-01 22:08:49.830,manual,1.5,1.05
N4.R32B.BHZ.--,2.94461,339.51,Pn,2016-01-01 22:08:50.900,manual,-1.0,1.03
GS.KAN11.HHZ.01,1.59176,345.055,Pn,2016-01-01 22:08:33.580,manual,0.3,1.19
GS.KAN08.HHZ.01,1.62426,343.682,Pn,2016-01-01 22:08:34.160,manual,0.4,1.18
OK.RLOK.HHZ.--,1.98966,74.739,Pn,2016-01-01 22:08:39.160,manual,0.4,1.14
OK.X37A.BHZ.--,1.97918,122.291,Pn,2016-01-01 22:08:39.740,manual,1.2,1.14
TA.W39A.BHZ.--,2.98919,97.9764,Pn,2016-01-01 22:08:52.940,manual,0.5,1.02
US.MIAR.BHZ.00,3.32742,108.527,Pn,2016-01-01 22:08:58.320,manual,1.2,0.99
TA.X40A.BHZ.--,3.92408,106.117,Pn,2016-01-01 22:09:06.530,manual,1.3,0.94
TA.W41B.BHZ.--,4.23547,95.1638,Pn,2016-01-01 22:09:09.810,manual,0.3,0.91
GS.OK009.HNZ.01,0.0867906,192.859,Pg,2016-01-01 22:08:07.000,manual,0.2,3.98
GS.OK005.HNZ.01,0.169831,93.7124,Pg,2016-01-01 22:08:08.590,manual,0.4,3.46
GS.OK031.HHZ.00,0.537845,57.6639,Pg,2016-01-01 22:08:15.090,manual,0.0,2.19
GS.OK030.HHZ.00,0.564345,62.2568,Pg,2016-01-01 22:08:15.460,manual,-0.1,2.14
GS.OK034.HHZ.00,0.654667,58.1654,Pg,2016-01-01 22:08:17.110,manual,-0.2,1.96
OK.W35A.HHZ.--,0.667918,139.928,Pg,2016-01-01 22:08:17.340,manual,-0.2,1.94
OK.LOOK.HHZ.--,1.67947,173.773,Pn,2016-01-01 22:08:35.310,manual,0.8,1.18
N4.Z35B.BHZ.--,2.33267,176.991,Pn,2016-01-01 22:08:43.090,manual,-0.3,1.09
N4.U38B.BHZ.--,2.56089,71.58,Pn,2016-01-01 22:08:46.910,manual,0.3,1.07
TA.ABTX.BHZ.--,3.55959,212.155,Pn,2016-01-01 22:09:01.580,manual,1.3,0.97
US.AMTX.BHZ.00,3.58885,258.68,Pn,2016-01-01 22:09:00.770,manual,0.0,0.97
US.CBKS.BHZ.00,3.65415,329.997,Pn,2016-01-01 22:09:01.800,manual,0.2,0.96
TA.U40A.BHZ.--,3.74896,78.0833,Pn,2016-01-01 22:09:03.920,manual,1.0,0.95
