#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004c0b
#time = 2016-01-07 07:01:47.900000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4948
#longitude = -98.7202
#depth = 7.3
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004c0b
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK035.HHZ.00,0.213147,2.26833,Pg,2016-01-07 07:01:52.630,manual,0.4,3.24
OK.U32A.BHZ.--,0.25429,243.179,Pg,2016-01-07 07:01:53.380,manual,0.4,3.05
OK.CROK.HHZ.--,0.593768,88.8275,Pg,2016-01-07 07:01:59.410,manual,0.1,2.08
OK.GC02.EHZ.--,0.778113,62.5159,Pg,2016-01-07 07:02:02.690,manual,-0.2,1.77
OK.BLOK.HHZ.--,1.23955,77.1941,Pn,2016-01-07 07:02:10.920,manual,-0.6,1.24
OK.QUOK.HHZ.--,1.65652,100.638,Pn,2016-01-07 07:02:18.160,manual,0.9,1.18
GS.OK031.HHZ.00,1.61423,109.008,Pn,2016-01-07 07:02:17.430,manual,0.7,1.18
OK.CHOK.HHZ.--,1.63593,124.228,Pn,2016-01-07 07:02:17.720,manual,0.7,1.18
OK.FNO.HHZ.01,1.63464,138.669,Pn,2016-01-07 07:02:18.140,manual,1.2,1.18
GS.OK030.HHZ.00,1.66508,109.292,Pn,2016-01-07 07:02:18.240,manual,0.8,1.18
OK.X34A.HHZ.--,2.02349,158.782,Pn,2016-01-07 07:02:24.180,manual,1.9,1.13
N4.R32B.BHZ.--,1.92431,0.212897,Pn,2016-01-07 07:02:22.650,manual,1.7,1.14
N4.T35B.BHZ.--,1.82378,76.0089,Pn,2016-01-07 07:02:20.730,manual,1.1,1.16
OK.GORE.HHZ.--,0.68621,64.7489,Pg,2016-01-07 07:02:01.080,manual,0.0,1.91
GS.KAN14.HHZ.01,0.763353,52.6135,Pg,2016-01-07 07:02:02.600,manual,0.0,1.79
GS.KAN10.HHZ.01,0.803385,38.4551,Pg,2016-01-07 07:02:03.150,manual,-0.2,1.73
ZD.KNG1.EHZ.--,0.903232,113.307,Pg,2016-01-07 07:02:05.020,manual,-0.2,1.61
GS.KAN17.HHZ.01,0.942915,54.1634,Pg,2016-01-07 07:02:05.670,manual,-0.3,1.56
GS.KAN08.HHZ.01,0.945924,39.2183,Pg,2016-01-07 07:02:05.770,manual,-0.3,1.56
GS.KAN12.HHZ.01,0.988384,35.6399,Pg,2016-01-07 07:02:06.840,manual,0.0,1.51
GS.KAN01.HHZ.01,1.01338,49.2721,Pg,2016-01-07 07:02:07.130,manual,-0.2,1.49
GS.KAN13.HHZ.01,1.12383,62.2344,Pg,2016-01-07 07:02:08.840,manual,-0.6,1.38
OK.OKCFA.HHZ.--,1.48999,135.926,Pn,2016-01-07 07:02:15.080,manual,0.1,1.2
GS.OK035.HH2.00,0.213147,2.26833,Sg,2016-01-07 07:01:56.230,manual,1.1,1.32
OK.U32A.BHN.--,0.25429,243.179,Sg,2016-01-07 07:01:57.480,manual,1.1,1.29
OK.CROK.HHN.--,0.593768,88.8275,Sg,2016-01-07 07:02:07.710,manual,0.6,1.14
OK.GORE.HHN.--,0.68621,64.7489,Sg,2016-01-07 07:02:10.280,manual,0.2,1.1
GS.KAN14.HHN.01,0.763353,52.6135,Sg,2016-01-07 07:02:12.620,manual,0.1,1.07
GS.KAN10.HHN.01,0.803385,38.4551,Sg,2016-01-07 07:02:13.560,manual,-0.2,1.06
ZD.KNG1.EHE.--,0.903232,113.307,Sg,2016-01-07 07:02:16.870,manual,-0.1,1.02
