#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004c2v
#time = 2016-01-07 11:13:17.600000
#location = 33km S of Alva, Oklahoma
#latitude = 36.5051
#longitude = -98.7240
#depth = 7.4
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004c2v
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.256414,240.817,Pg,2016-01-07 11:13:22.930,manual,0.2,3.05
GS.OK035.HHZ.00,0.203027,3.24416,Pg,2016-01-07 11:13:22.270,manual,0.6,3.29
GS.KAN14.HHZ.01,0.75961,53.3675,Pg,2016-01-07 11:13:32.250,manual,0.0,1.8
GS.KAN17.HHZ.01,0.939433,54.7786,Pg,2016-01-07 11:13:35.460,manual,-0.2,1.57
GS.KAN10.HHZ.01,0.797288,39.0845,Pg,2016-01-07 11:13:32.940,manual,0.0,1.74
GS.KAN11.HHZ.01,0.955089,42.6647,Pg,2016-01-07 11:13:35.830,manual,-0.1,1.55
GS.KAN05.HHZ.01,0.911077,48.3593,Pg,2016-01-07 11:13:35.090,manual,0.0,1.6
GS.KAN13.HHZ.01,1.1218,62.7695,Pg,2016-01-07 11:13:38.710,manual,-0.4,1.39
OK.BLOK.HHZ.--,1.24031,77.6862,Pn,2016-01-07 11:13:40.790,manual,-0.5,1.24
GS.OK031.HHZ.00,1.62049,109.314,Pn,2016-01-07 11:13:46.880,manual,0.4,1.18
OK.LOOK.HHZ.--,2.8074,152.8,Pn,2016-01-07 11:14:02.660,manual,-0.1,1.04
OK.BCOK.HHZ.--,1.23779,132.826,Pn,2016-01-07 11:13:40.490,manual,-0.7,1.24
US.KSU1.BHZ.10,3.08538,32.234,Pn,2016-01-07 11:14:07.750,manual,1.2,1.01
OK.W35A.HHZ.--,2.01984,131.377,Pn,2016-01-07 11:13:53.460,manual,1.5,1.13
GS.KAN01.HHZ.01,1.00904,49.8256,Pg,2016-01-07 11:13:36.690,manual,-0.3,1.49
ZD.KNG1.EHZ.--,0.910148,113.823,Pg,2016-01-07 11:13:34.710,manual,-0.4,1.6
GS.KAN08.HHZ.01,0.939938,39.7567,Pg,2016-01-07 11:13:35.610,manual,0.0,1.57
OK.GC02.EHZ.--,0.776157,63.2911,Pg,2016-01-07 11:13:32.440,manual,-0.1,1.77
GS.OK025.HHZ.00,1.4533,128.97,Pn,2016-01-07 11:13:44.060,manual,-0.1,1.21
OK.CCOK.HHZ.--,1.43671,142.583,Pn,2016-01-07 11:13:44.020,manual,0.1,1.21
OK.GORE.HHZ.--,0.684676,65.6339,Pg,2016-01-07 11:13:30.650,manual,-0.1,1.91
GS.KAN06.HHZ.01,1.01554,42.8432,Pg,2016-01-07 11:13:37.160,manual,0.1,1.49
US.WMOK.BHZ.10,1.76396,181.517,Pn,2016-01-07 11:13:48.930,manual,0.5,1.16
OK.CHOK.HHZ.--,1.64425,124.462,Pn,2016-01-07 11:13:47.390,manual,0.6,1.18
OK.X34A.HHZ.--,2.03419,158.804,Pn,2016-01-07 11:13:53.770,manual,1.6,1.13
US.CBKS.BHZ.00,2.44116,341.072,Pn,2016-01-07 11:13:59.740,manual,2.0,1.08
N4.R32B.BHZ.--,1.91404,0.303386,Pn,2016-01-07 11:13:51.960,manual,1.4,1.15
TA.TUL1.BHZ.--,2.4444,103.182,Pn,2016-01-07 11:13:58.750,manual,1.0,1.08
OK.OKCFA.HHZ.--,1.49951,136.113,Pn,2016-01-07 11:13:45.040,manual,0.2,1.2
OK.OKCSW.EHZ.--,1.51413,136.063,Pn,2016-01-07 11:13:45.150,manual,0.1,1.2
OK.FNO.HHZ.01,1.64439,138.823,Pn,2016-01-07 11:13:47.680,manual,0.9,1.18
OK.X37A.BHZ.--,3.33574,123.978,Pn,2016-01-07 11:14:10.290,manual,0.3,0.99
N4.Z35B.BHZ.--,3.38953,158.683,Pn,2016-01-07 11:14:11.860,manual,1.1,0.98
N4.U38B.BHZ.--,3.4972,89.7839,Pn,2016-01-07 11:14:14.190,manual,1.9,0.97
TA.BGNE.BHZ.--,4.91657,5.04181,Pn,2016-01-07 11:14:32.230,manual,0.5,0.86
GS.OK035.HH2.00,0.203027,3.24416,Sg,2016-01-07 11:13:25.620,manual,1.1,1.32
OK.U32A.BHN.--,0.256414,240.817,Sg,2016-01-07 11:13:26.980,manual,0.8,1.29
OK.CROK.HHZ.--,0.596708,89.8181,Pg,2016-01-07 11:13:29.070,manual,0.0,2.07
OK.CROK.HHN.--,0.596708,89.8181,Sg,2016-01-07 11:13:37.690,manual,0.8,1.14
GS.KAN14.HHN.01,0.75961,53.3675,Sg,2016-01-07 11:13:42.650,manual,0.6,1.07
OK.GC02.EHE.--,0.776157,63.2911,Sg,2016-01-07 11:13:43.070,manual,0.4,1.07
GS.KAN16.HHZ.01,0.892586,36.1279,Pg,2016-01-07 11:13:34.740,manual,0.0,1.62
GS.KAN10.HHE.01,0.797288,39.0845,Pn,2016-01-07 11:13:33.120,manual,-2.1,1.31
NQ.OK916.HNE.01,0.841103,68.6954,Pg,2016-01-07 11:13:33.630,manual,-0.1,1.68
ZD.KNG1.EHE.--,0.910148,113.823,Sg,2016-01-07 11:13:47.610,manual,0.7,1.02
GS.KAN17.HNE.01,0.939433,54.7786,Sg,2016-01-07 11:13:48.090,manual,0.2,1.01
GS.KAN12.HHZ.01,0.98185,36.1323,Pg,2016-01-07 11:13:36.470,manual,0.0,1.52
GS.KAN12.HHN.01,0.98185,36.1323,Sg,2016-01-07 11:13:49.420,manual,0.2,1.0
GS.KAN01.HNE.01,1.00904,49.8256,Sg,2016-01-07 11:13:50.000,manual,-0.1,0.99
