#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004c69
#time = 2016-01-07 17:59:12.560000
#location = 20km NNE of Perry, Oklahoma
#latitude = 36.4571
#longitude = -97.1985
#depth = 4.9
#magnitude = 2.6
#magtype = mb_lg
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004c69
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BLOK.HHZ.--,0.303197,357.496,Pg,2016-01-07 17:59:18.680,manual,0.3,2.86
GS.KAN13.HHZ.01,0.598384,338.062,Pg,2016-01-07 17:59:24.080,manual,0.0,2.07
OK.QUOK.HHZ.--,0.488099,125.598,Pg,2016-01-07 17:59:21.950,manual,0.0,2.31
GS.OK031.HHZ.00,0.580922,149.869,Pg,2016-01-07 17:59:23.830,manual,0.1,2.1
GS.KAN17.HHZ.01,0.741696,322.346,Pg,2016-01-07 17:59:26.790,manual,0.0,1.82
GS.OK030.HHZ.00,0.625735,147.458,Pg,2016-01-07 17:59:24.610,manual,0.0,2.02
OK.CROK.HHZ.--,0.634374,274.528,Pg,2016-01-07 17:59:24.990,manual,0.3,2.0
GS.KAN01.HHZ.01,0.827856,327.252,Pg,2016-01-07 17:59:28.320,manual,-0.1,1.7
GS.KAN06.HHZ.01,0.95051,326.347,Pg,2016-01-07 17:59:30.430,manual,-0.4,1.55
GS.KAN08.HHZ.01,0.986893,321.339,Pg,2016-01-07 17:59:31.040,manual,-0.4,1.52
OK.GC02.EHZ.--,0.661494,306.714,Pg,2016-01-07 17:59:25.280,manual,0.0,1.95
OK.CHOK.HHZ.--,0.901019,172.868,Pg,2016-01-07 17:59:29.430,manual,-0.4,1.61
N4.T35B.BHZ.--,0.717324,50.095,Pg,2016-01-07 17:59:26.000,manual,-0.3,1.86
GS.KAN14.HHZ.01,0.791308,309.297,Pg,2016-01-07 17:59:27.690,manual,0.0,1.75
GS.OK025.HHZ.00,0.881443,187.407,Pg,2016-01-07 17:59:29.220,manual,-0.2,1.63
GS.KAN11.HHZ.01,0.942128,322.716,Pg,2016-01-07 17:59:30.460,manual,-0.2,1.56
OK.OKCFA.HHZ.--,1.05967,191.242,Pg,2016-01-07 17:59:32.850,manual,0.0,1.44
OK.RLOK.HHZ.--,1.77766,98.7092,Pn,2016-01-07 17:59:44.520,manual,0.6,1.17
OK.X34A.HHZ.--,1.92287,195.788,Pn,2016-01-07 17:59:45.690,manual,-0.2,1.15
US.WMOK.BHZ.10,2.14595,217.394,Pn,2016-01-07 17:59:49.150,manual,0.2,1.12
N4.U38B.BHZ.--,2.26794,89.6105,Pn,2016-01-07 17:59:50.230,manual,-0.4,1.1
N4.R32B.BHZ.--,2.30179,328.921,Pn,2016-01-07 17:59:51.370,manual,0.3,1.1
OK.X37A.BHZ.--,2.38636,140.816,Pn,2016-01-07 17:59:53.170,manual,0.9,1.09
GS.KAN10.HHZ.01,0.980005,313.009,Pg,2016-01-07 17:59:30.910,manual,-0.4,1.52
GS.KAN16.HHZ.01,1.03498,318.085,Pg,2016-01-07 17:59:31.730,manual,-0.7,1.47
OK.BLOK.HHE.--,0.303197,357.496,Sg,2016-01-07 17:59:22.820,manual,0.4,1.27
OK.QUOK.HHN.--,0.488099,125.598,Sg,2016-01-07 17:59:28.450,manual,0.2,1.18
