#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004c9s
#time = 2016-01-08 01:53:30.800000
#location = 33km NW of Fairview, Oklahoma
#latitude = 36.4919
#longitude = -98.7296
#depth = 7.7
#magnitude = 3.0
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004c9s
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.246227,242.978,Pg,2016-01-08 01:53:36.010,manual,0.5,3.08
ZD.KNG1.EHZ.--,0.909061,112.945,Pg,2016-01-08 01:53:47.800,manual,0.6,2.12
US.WMOK.BHZ.10,1.75068,181.378,Pn,2016-01-08 01:54:01.480,manual,0.2,1.17
GS.OK035.HHZ.00,0.216466,4.2361,Pg,2016-01-08 01:53:35.570,manual,0.5,3.22
GS.OK035.HH2.00,0.216466,4.2361,Sg,2016-01-08 01:53:39.110,manual,1.0,1.31
OK.U32A.BHN.--,0.246227,242.978,Sg,2016-01-08 01:53:39.880,manual,0.8,1.3
OK.CROK.HHN.--,0.601407,88.5611,Sg,2016-01-08 01:53:50.630,manual,0.6,1.22
OK.CROK.HHZ.--,0.601407,88.5611,Pg,2016-01-08 01:53:42.300,manual,0.4,2.49
GS.KAN14.HHZ.01,0.771131,52.7788,Pg,2016-01-08 01:53:45.310,manual,0.5,2.28
OK.GC02.EHZ.--,0.786169,62.578,Pg,2016-01-08 01:53:45.440,manual,0.3,2.26
GS.KAN05.HHZ.01,0.923227,47.9311,Pg,2016-01-08 01:53:48.000,manual,0.5,2.11
GS.KAN16.HHZ.01,0.905895,35.8639,Pg,2016-01-08 01:53:47.790,manual,0.6,2.13
GS.KAN17.HHZ.01,0.950752,54.2837,Pg,2016-01-08 01:53:48.620,manual,0.7,2.08
GS.KAN08.HHZ.01,0.952963,39.4555,Pg,2016-01-08 01:53:48.660,manual,0.7,2.08
GS.KAN11.HHZ.01,0.96785,42.3293,Pg,2016-01-08 01:53:48.820,manual,0.6,2.07
GS.KAN12.HHZ.01,0.995159,35.8917,Pg,2016-01-08 01:53:49.430,manual,0.7,2.04
GS.KAN01.HHZ.01,1.02101,49.4208,Pg,2016-01-08 01:53:49.790,manual,0.6,2.02
GS.KAN13.HHZ.01,1.13188,62.2778,Pg,2016-01-08 01:53:51.740,manual,0.7,1.92
GS.KAN06.HHZ.01,1.02829,42.5252,Pg,2016-01-08 01:53:49.970,manual,0.7,2.01
OK.BCOK.HHZ.--,1.23221,132.231,Pg,2016-01-08 01:53:53.350,manual,0.5,1.84
OK.BLOK.HHZ.--,1.24758,77.1361,Pg,2016-01-08 01:53:53.610,manual,0.5,1.83
OK.CCOK.HHZ.--,1.42904,142.115,Pg,2016-01-08 01:53:57.170,manual,0.9,1.7
GS.OK025.HHZ.00,1.44858,128.45,Pg,2016-01-08 01:53:57.070,manual,0.5,0.92
OK.OKCFA.HHZ.--,1.4932,135.634,Pg,2016-01-08 01:53:57.750,manual,0.4,0.9
OK.OKCSW.EHZ.--,1.50783,135.589,Pg,2016-01-08 01:53:57.950,manual,0.4,0.9
GS.OK031.HHZ.00,1.62045,108.819,Pn,2016-01-08 01:53:59.600,manual,0.1,1.18
OK.CHOK.HHZ.--,1.64057,123.99,Pn,2016-01-08 01:53:59.920,manual,0.2,1.18
OK.QUOK.HHZ.--,1.66344,100.486,Pn,2016-01-08 01:54:00.400,manual,0.3,1.18
OK.FNO.HHZ.01,1.63749,138.397,Pn,2016-01-08 01:54:00.290,manual,0.6,1.18
GS.OK030.HHZ.00,1.67128,109.107,Pn,2016-01-08 01:54:00.490,manual,0.3,1.18
N4.T35B.BHZ.--,1.83183,75.9728,Pn,2016-01-08 01:54:03.030,manual,0.7,1.16
N4.R32B.BHZ.--,1.92724,0.432097,Pn,2016-01-08 01:54:05.160,manual,1.5,1.14
OK.X34A.HHZ.--,2.02356,158.547,Pn,2016-01-08 01:54:06.340,manual,1.4,1.13
TA.TUL1.BHZ.--,2.44583,102.854,Pn,2016-01-08 01:54:11.490,manual,0.9,1.08
OK.LOOK.HHZ.--,2.79776,152.591,Pn,2016-01-08 01:54:16.610,manual,1.2,1.04
OK.X37A.BHZ.--,3.33215,123.744,Pn,2016-01-08 01:54:23.960,manual,1.3,0.99
N4.Z35B.BHZ.--,3.37892,158.527,Pn,2016-01-08 01:54:24.600,manual,1.3,0.98
N4.U38B.BHZ.--,3.50178,89.5656,Pn,2016-01-08 01:54:26.350,manual,1.4,0.97
AG.HHAR.HHZ.00,3.87012,91.6794,Pn,2016-01-08 01:54:30.530,manual,0.6,0.94
N4.N33B.BHZ.--,4.35538,12.8985,Pn,2016-01-08 01:54:36.400,manual,-0.1,0.9
N4.Z38B.BHZ.--,4.4573,135.24,Pn,2016-01-08 01:54:38.730,manual,0.9,0.89
N4.S39B.BHZ.--,4.48535,72.9075,Pn,2016-01-08 01:54:39.380,manual,1.1,0.89
TA.T25A.BHZ.--,4.60391,279.757,Pn,2016-01-08 01:54:41.470,manual,1.4,0.88
TA.BGNE.BHZ.--,4.93009,5.07718,Pn,2016-01-08 01:54:45.620,manual,1.3,0.86
TA.U40A.BHZ.--,4.74053,89.8887,Pn,2016-01-08 01:54:42.190,manual,0.5,0.87
TA.WHTX.BHZ.--,4.6116,166.413,Pn,2016-01-08 01:54:40.830,manual,0.9,0.88
NM.MGMO.BHZ.--,5.22523,80.806,Pn,2016-01-08 01:54:49.050,manual,0.8,0.84
N4.R40B.BHZ.--,5.44898,68.8194,Pn,2016-01-08 01:54:53.090,manual,1.8,0.82
US.SDCO.BHZ.00,5.55413,285.048,Pn,2016-01-08 01:54:53.290,manual,0.3,0.82
N4.L34B.BHZ.--,5.76403,17.7502,Pn,2016-01-08 01:54:56.360,manual,0.8,0.81
