#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004ddm
#time = 2016-01-09 15:58:35.500000
#location = 6km E of Edmond, Oklahoma
#latitude = 35.6586
#longitude = -97.4085
#depth = 6.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004ddm
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.163533,269.394,Pg,2016-01-09 15:58:38.990,manual,-0.2,3.5
OK.OKCSW.EHZ.--,0.253689,185.451,Pg,2016-01-09 15:58:40.770,manual,-0.2,3.03
GS.OK025.HHZ.00,0.096379,143.336,Pg,2016-01-09 15:58:37.990,manual,-0.3,3.86
GS.OK009.HNZ.01,0.0780194,188.651,Pg,2016-01-09 15:58:37.620,manual,-0.3,3.99
GS.OK001.HNZ.01,0.13736,135.059,Pg,2016-01-09 15:58:38.730,manual,-0.2,3.61
GS.OK005.HNZ.01,0.177083,91.1314,Pg,2016-01-09 15:58:39.440,manual,-0.1,3.41
OK.OKCFA.HHZ.--,0.245275,188.214,Pg,2016-01-09 15:58:40.530,manual,-0.3,3.06
GS.OK009.HNE.01,0.0780194,188.651,Sg,2016-01-09 15:58:39.300,manual,-0.1,1.39
GS.OK025.HH1.00,0.096379,143.336,Sg,2016-01-09 15:58:39.910,manual,0.0,1.38
GS.OK001.HNN.01,0.13736,135.059,Sg,2016-01-09 15:58:41.220,manual,0.2,1.36
OK.BCOK.HHN.--,0.163533,269.394,Sg,2016-01-09 15:58:41.840,manual,0.3,1.35
GS.OK005.HNN.01,0.177083,91.1314,Sg,2016-01-09 15:58:42.500,manual,0.4,1.34
OK.OKCFA.HHE.--,0.245275,188.214,Sg,2016-01-09 15:58:44.470,manual,0.1,1.3
OK.CHOK.HHE.--,0.299173,108.876,Sg,2016-01-09 15:58:46.280,manual,0.3,1.27
OK.CHOK.HHZ.--,0.299173,108.876,Pg,2016-01-09 15:58:41.670,manual,-0.1,2.86
OK.CCOK.HHE.--,0.362615,213.926,Sg,2016-01-09 15:58:48.210,manual,0.3,1.24
OK.CCOK.HHZ.--,0.362615,213.926,Pg,2016-01-09 15:58:42.690,manual,-0.2,2.64
OK.FNO.HHN.01,0.400356,179.145,Sg,2016-01-09 15:58:49.470,manual,0.3,1.22
OK.FNO.HHZ.01,0.400356,179.145,Pg,2016-01-09 15:58:43.500,manual,-0.1,2.52
GS.OK031.HHZ.00,0.548251,57.4211,Pg,2016-01-09 15:58:45.880,manual,-0.3,2.17
GS.OK031.HH2.00,0.548251,57.4211,Sg,2016-01-09 15:58:53.790,manual,0.2,1.16
NQ.OK914.HNZ.01,0.581212,57.4116,Pg,2016-01-09 15:58:46.800,manual,0.0,2.11
OK.QUOK.HHN.--,0.764977,47.8107,Sg,2016-01-09 15:59:00.530,manual,0.4,1.19
OK.QUOK.HHZ.--,0.764977,47.8107,Pg,2016-01-09 15:58:49.950,manual,0.0,2.33
OK.X34A.HHZ.--,1.11096,198.356,Pg,2016-01-09 15:58:56.520,manual,0.4,1.96
GS.OK032.HHZ.00,1.31395,330.67,Pg,2016-01-09 15:58:59.400,manual,0.0,1.81
TA.TUL1.BHZ.--,1.33821,78.7061,Pg,2016-01-09 15:58:59.190,manual,-0.7,1.78
GS.KAN14.HHZ.01,1.3708,341.093,Pg,2016-01-09 15:59:00.500,manual,0.1,1.77
N4.T35B.BHZ.--,1.44908,29.7289,Pg,2016-01-09 15:59:01.470,manual,-0.3,1.71
US.WMOK.BHZ.10,1.45144,231.134,Pg,2016-01-09 15:59:01.460,manual,-0.5,1.7
OK.LOOK.HHZ.--,1.67287,173.482,Pn,2016-01-09 15:59:05.550,manual,-0.1,1.18
N4.U38B.BHZ.--,2.57044,71.4697,Pn,2016-01-09 15:59:18.760,manual,1.1,1.07
TA.W39A.BHZ.--,2.99567,97.8093,Pn,2016-01-09 15:59:23.460,manual,0.0,1.02
