#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004dgd
#time = 2016-01-11 08:32:03.200000
#location = 9km NW of Perkins, Oklahoma
#latitude = 36.0323
#longitude = -97.1089
#depth = 5.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004dgd
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.232633,109.782,Pg,2016-01-11 08:32:08.210,manual,0.4,3.15
GS.OK030.HHZ.00,0.28356,111.482,Pg,2016-01-11 08:32:09.150,manual,0.4,2.93
GS.OK025.HHZ.00,0.487195,202.529,Pg,2016-01-11 08:32:12.900,manual,0.3,2.31
OK.QUOK.HHZ.--,0.353099,66.733,Pg,2016-01-11 08:32:10.390,manual,0.4,2.69
OK.CHOK.HHZ.--,0.471781,175.281,Pg,2016-01-11 08:32:12.600,manual,0.3,2.35
OK.BCOK.HHZ.--,0.552957,227.474,Pg,2016-01-11 08:32:13.970,manual,0.1,2.16
GS.OK034.HHZ.00,0.321539,93.8163,Pg,2016-01-11 08:32:09.820,manual,0.4,2.79
OK.OKCSW.EHZ.--,0.68037,203.276,Pg,2016-01-11 08:32:16.290,manual,0.0,1.92
GS.OK029.HHZ.00,0.366342,230.159,Pg,2016-01-11 08:32:10.550,manual,0.3,2.64
OK.OKCFA.HHZ.--,0.675808,204.454,Pg,2016-01-11 08:32:16.300,manual,0.1,1.93
OK.BLOK.HHZ.--,0.731864,353.315,Pg,2016-01-11 08:32:17.170,manual,-0.1,1.84
OK.CCOK.HHZ.--,0.807907,213.617,Pg,2016-01-11 08:32:18.610,manual,-0.1,1.73
OK.FNO.HHZ.01,0.809036,197.199,Pg,2016-01-11 08:32:18.480,manual,-0.3,1.73
OK.W35A.HHZ.--,0.89823,167.652,Pg,2016-01-11 08:32:19.970,manual,-0.5,1.61
OK.X34A.HHZ.--,1.54585,202.72,Pn,2016-01-11 08:32:31.910,manual,0.6,1.2
US.WMOK.BHZ.10,1.87985,227.093,Pn,2016-01-11 08:32:36.720,manual,0.8,1.15
GS.KAN13.HHZ.01,1.02278,343.219,Pg,2016-01-11 08:32:22.330,manual,-0.5,1.48
N4.T35B.BHZ.--,1.00485,28.4348,Pg,2016-01-11 08:32:22.220,manual,-0.3,1.5
OK.GC02.EHZ.--,1.01726,323.706,Pg,2016-01-11 08:32:22.410,manual,-0.3,1.48
GS.OK031.HH2.00,0.232633,109.782,Sg,2016-01-11 08:32:11.720,manual,0.9,1.31
GS.OK030.HH2.00,0.28356,111.482,Sg,2016-01-11 08:32:13.320,manual,0.9,1.28
GS.OK034.HH1.00,0.321539,93.8163,Sg,2016-01-11 08:32:14.570,manual,0.9,1.26
OK.QUOK.HHN.--,0.353099,66.733,Sg,2016-01-11 08:32:15.560,manual,0.9,1.24
GS.OK029.HH2.00,0.366342,230.159,Sg,2016-01-11 08:32:15.780,manual,0.7,1.24
ZD.KNG1.EHZ.--,0.485541,282.033,Pg,2016-01-11 08:32:12.690,manual,0.1,2.31
TA.TUL1.BHZ.--,1.07522,96.1088,Pg,2016-01-11 08:32:23.120,manual,-0.7,1.43
GS.KAN17.HHZ.01,1.13962,332.58,Pg,2016-01-11 08:32:24.700,manual,-0.4,1.37
GS.KAN14.HHZ.01,1.15107,323.533,Pg,2016-01-11 08:32:24.460,manual,-0.8,1.36
GS.OK032.HHZ.00,1.17566,311.238,Pg,2016-01-11 08:32:25.040,manual,-0.7,1.34
GS.KAN01.HHZ.01,1.23518,335.132,Pg,2016-01-11 08:32:26.270,manual,-0.6,1.29
GS.KAN10.HHZ.01,1.34766,324.203,Pn,2016-01-11 08:32:28.420,manual,-0.2,1.23
GS.KAN06.HHZ.01,1.35489,333.797,Pn,2016-01-11 08:32:28.210,manual,-0.5,1.22
GS.KAN16.HHZ.01,1.41757,327.439,Pn,2016-01-11 08:32:29.350,manual,-0.2,1.21
OK.U32A.BHZ.--,1.56932,283.313,Pn,2016-01-11 08:32:31.680,manual,0.0,1.19
OK.RLOK.HHZ.--,1.69159,84.809,Pn,2016-01-11 08:32:33.780,manual,0.5,1.18
OK.X37A.BHZ.--,2.02297,134.87,Pn,2016-01-11 08:32:38.570,manual,0.7,1.13
N4.U38B.BHZ.--,2.23874,78.7418,Pn,2016-01-11 08:32:42.170,manual,1.4,1.11
AG.HHAR.HHZ.00,2.5765,83.5166,Pn,2016-01-11 08:32:46.720,manual,1.3,1.07
TA.W39A.BHZ.--,2.83457,106.147,Pn,2016-01-11 08:32:49.310,manual,0.4,1.04
US.MIAR.BHZ.00,3.24802,116.147,Pn,2016-01-11 08:32:55.550,manual,0.9,1.0
AG.WHAR.HHZ.00,3.9938,99.2749,Pn,2016-01-11 08:33:04.470,manual,-0.4,0.93
