#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004dil
#time = 2016-01-11 15:18:06.200000
#location = 33km S of Alva, Oklahoma
#latitude = 36.5072
#longitude = -98.7076
#depth = 6.6
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004dil
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.U32A.BHZ.--,0.269008,241.809,Pg,2016-01-11 15:18:11.890,manual,0.4,2.99
GS.OK032.HHZ.00,0.497482,53.3361,Pg,2016-01-11 15:18:15.800,manual,0.0,2.28
OK.GC02.EHZ.--,0.763426,62.9957,Pg,2016-01-11 15:18:20.670,manual,-0.2,1.79
GS.KAN05.HHZ.01,0.899841,47.9099,Pg,2016-01-11 15:18:23.090,manual,-0.4,1.61
GS.KAN14.HHZ.01,0.747785,52.9021,Pg,2016-01-11 15:18:20.170,manual,-0.4,1.81
GS.KAN16.HHZ.01,0.883156,35.5256,Pg,2016-01-11 15:18:22.850,manual,-0.3,1.63
GS.KAN10.HHZ.01,0.787384,38.4443,Pg,2016-01-11 15:18:21.070,manual,-0.3,1.76
OK.GORE.HHZ.--,0.671788,65.3416,Pg,2016-01-11 15:18:18.770,manual,-0.4,1.93
GS.KAN17.HHZ.01,0.927452,54.4235,Pg,2016-01-11 15:18:23.610,manual,-0.4,1.58
GS.KAN12.HHZ.01,0.972415,35.5863,Pg,2016-01-11 15:18:24.430,manual,-0.4,1.53
GS.KAN01.HHZ.01,0.997616,49.4379,Pg,2016-01-11 15:18:24.840,manual,-0.5,1.5
GS.KAN13.HHZ.01,1.10911,62.5632,Pg,2016-01-11 15:18:26.700,manual,-0.8,1.4
OK.BLOK.HHZ.--,1.22695,77.6599,Pn,2016-01-11 15:18:28.840,manual,-0.9,1.24
GS.KAN11.HHZ.01,0.944632,42.1714,Pg,2016-01-11 15:18:23.980,manual,-0.4,1.56
OK.BCOK.HHZ.--,1.22957,133.326,Pn,2016-01-11 15:18:28.620,manual,-1.2,1.24
GS.KAN08.HHZ.01,0.929921,39.2234,Pg,2016-01-11 15:18:23.640,manual,-0.4,1.58
GS.OK025.HHZ.00,1.44438,129.374,Pn,2016-01-11 15:18:32.540,manual,-0.2,1.21
GS.OK029.HHZ.00,1.23723,124.6,Pn,2016-01-11 15:18:28.810,manual,-1.1,1.24
OK.CCOK.HHZ.--,1.4304,143.064,Pn,2016-01-11 15:18:32.080,manual,-0.5,1.21
OK.OKCSW.EHZ.--,1.50651,136.49,Pn,2016-01-11 15:18:33.440,manual,-0.2,1.2
GS.OK031.HHZ.00,1.60873,109.55,Pn,2016-01-11 15:18:35.020,manual,0.0,1.19
OK.OKCFA.HHZ.--,1.49191,136.544,Pn,2016-01-11 15:18:33.260,manual,-0.2,1.2
US.WMOK.BHZ.10,1.76645,181.953,Pn,2016-01-11 15:18:37.070,manual,-0.1,1.17
GS.OK030.HHZ.00,1.65965,109.818,Pn,2016-01-11 15:18:35.650,manual,-0.1,1.18
GS.OK034.HHZ.00,1.6865,106.511,Pn,2016-01-11 15:18:36.030,manual,0.0,1.18
OK.QUOK.HHZ.--,1.64889,101.133,Pn,2016-01-11 15:18:35.630,manual,0.1,1.18
OK.CHOK.HHZ.--,1.63457,124.794,Pn,2016-01-11 15:18:35.360,manual,0.0,1.18
OK.FNO.HHZ.01,1.63731,139.229,Pn,2016-01-11 15:18:35.620,manual,0.2,1.18
OK.W35A.HHZ.--,2.01134,131.68,Pn,2016-01-11 15:18:40.670,manual,0.1,1.13
