#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004edf
#time = 2016-01-14 04:03:13.500000
#location = 6km ENE of Edmond, Oklahoma
#latitude = 35.6711
#longitude = -97.4132
#depth = 6.1
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004edf
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.BCOK.HHZ.--,0.160328,264.915,Pg,2016-01-14 04:03:17.050,manual,0.4,3.51
GS.OK029.HHZ.00,0.129744,344.853,Pg,2016-01-14 04:03:16.460,manual,0.3,3.69
OK.OKCSW.EHZ.--,0.26579,184.372,Pg,2016-01-14 04:03:18.960,manual,0.4,3.01
OK.OKCFA.HHZ.--,0.257135,186.97,Pg,2016-01-14 04:03:18.900,manual,0.5,3.04
OK.CHOK.HHZ.--,0.307011,110.845,Pg,2016-01-14 04:03:19.950,manual,0.6,2.85
GS.OK031.HHZ.00,0.544904,58.7403,Pg,2016-01-14 04:03:24.160,manual,0.6,2.18
GS.OK030.HHZ.00,0.572193,63.2223,Pg,2016-01-14 04:03:24.570,manual,0.5,2.12
GS.OK025.HHZ.00,0.108758,145.64,Pg,2016-01-14 04:03:16.230,manual,0.4,3.83
OK.W35A.HHZ.--,0.679097,139.455,Pg,2016-01-14 04:03:26.560,manual,0.5,1.92
GS.OK034.HHZ.00,0.661798,59.0449,Pg,2016-01-14 04:03:26.010,manual,0.3,1.95
GS.OK009.HNZ.01,0.0899539,185.041,Pg,2016-01-14 04:03:15.790,manual,0.3,3.96
GS.OK005.HNZ.01,0.181578,95.0431,Pg,2016-01-14 04:03:17.570,manual,0.5,3.4
GS.OK029.HH2.00,0.129744,344.853,Sg,2016-01-14 04:03:18.820,manual,0.7,1.36
GS.OK005.HNN.01,0.181578,95.0431,Sg,2016-01-14 04:03:20.610,manual,1.0,1.33
GS.OK025.HH1.00,0.108758,145.64,Sg,2016-01-14 04:03:17.940,manual,0.4,1.38
GS.OK009.HNE.01,0.0899539,185.041,Sg,2016-01-14 04:03:17.590,manual,0.6,1.39
GS.OK001.HNZ.01,0.149018,137.404,Pg,2016-01-14 04:03:16.940,manual,0.4,3.58
GS.OK001.HNN.01,0.149018,137.404,Sg,2016-01-14 04:03:19.590,manual,0.9,1.35
OK.BCOK.HHN.--,0.160328,264.915,Sg,2016-01-14 04:03:19.670,manual,0.7,1.35
OK.CHOK.HHN.--,0.307011,110.845,Sg,2016-01-14 04:03:24.600,manual,1.1,1.27
OK.OKCFA.HHE.--,0.257135,186.97,Sg,2016-01-14 04:03:22.910,manual,0.9,1.29
OK.OKCSW.EHN.--,0.26579,184.372,Sg,2016-01-14 04:03:23.280,manual,1.0,1.29
