#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004f59
#time = 2016-01-17 07:36:07.400000
#location = 7km E of Guthrie, Oklahoma
#latitude = 35.8740
#longitude = -97.3471
#depth = 5.3
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004f59
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.116784,228.628,Pg,2016-01-17 07:36:10.010,manual,0.2,3.77
OK.BCOK.HHZ.--,0.304118,224.598,Pg,2016-01-17 07:36:13.570,manual,0.3,2.86
OK.OKCFA.HHZ.--,0.465523,190.545,Pg,2016-01-17 07:36:16.700,manual,0.3,2.36
GS.OK030.HHZ.00,0.460482,83.1399,Pg,2016-01-17 07:36:16.590,manual,0.3,2.38
GS.OK025.HHZ.00,0.292365,178.53,Pg,2016-01-17 07:36:13.530,manual,0.4,2.9
OK.OKCSW.EHZ.--,0.473311,189.027,Pg,2016-01-17 07:36:16.850,manual,0.3,2.34
OK.QUOK.HHZ.--,0.597069,60.007,Pg,2016-01-17 07:36:19.090,manual,0.2,2.07
OK.CHOK.HHZ.--,0.389324,143.235,Pg,2016-01-17 07:36:15.370,manual,0.4,2.57
GS.OK031.HHZ.00,0.41986,79.0154,Pg,2016-01-17 07:36:15.880,manual,0.4,2.48
OK.FNO.HHZ.01,0.616829,184.116,Pg,2016-01-17 07:36:19.440,manual,0.2,2.03
OK.CCOK.HHZ.--,0.574211,206.096,Pg,2016-01-17 07:36:18.570,manual,0.1,2.12
ZD.KNG1.EHZ.--,0.382425,312.48,Pg,2016-01-17 07:36:15.110,manual,0.3,2.59
OK.W35A.HHZ.--,0.816479,151.684,Pg,2016-01-17 07:36:22.720,manual,-0.4,1.72
OK.CROK.HHZ.--,0.813079,320.911,Pg,2016-01-17 07:36:22.940,manual,-0.1,1.72
GS.OK034.HHZ.00,0.532044,75.0136,Pg,2016-01-17 07:36:17.940,manual,0.3,2.2
OK.BLOK.HHZ.--,0.891216,6.83657,Pg,2016-01-17 07:36:24.310,manual,-0.2,1.62
GS.OK032.HHZ.00,1.16055,323.341,Pg,2016-01-17 07:36:29.150,manual,-0.5,1.35
GS.KAN14.HHZ.01,1.18935,335.493,Pg,2016-01-17 07:36:29.640,manual,-0.6,1.33
GS.KAN17.HHZ.01,1.21535,344.038,Pg,2016-01-17 07:36:30.240,manual,-0.5,1.31
GS.KAN13.HHZ.01,1.1415,354.741,Pg,2016-01-17 07:36:28.880,manual,-0.4,1.37
GS.KAN05.HHZ.01,1.30281,341.199,Pn,2016-01-17 07:36:31.750,manual,-0.4,1.23
OK.GC02.EHZ.--,1.05961,337.172,Pg,2016-01-17 07:36:27.340,manual,-0.4,1.44
GS.KAN08.HHZ.01,1.44044,339.776,Pn,2016-01-17 07:36:33.910,manual,-0.2,1.21
GS.KAN01.HHZ.01,1.31928,345.554,Pn,2016-01-17 07:36:31.990,manual,-0.4,1.23
US.WMOK.BHZ.10,1.63085,226.385,Pn,2016-01-17 07:36:37.040,manual,0.4,1.19
GS.KAN10.HHZ.01,1.38503,334.426,Pn,2016-01-17 07:36:33.160,manual,-0.1,1.22
GS.KAN06.HHZ.01,1.43179,343.436,Pn,2016-01-17 07:36:34.090,manual,0.1,1.21
OK.X34A.HHZ.--,1.33084,197.516,Pn,2016-01-17 07:36:32.570,manual,0.0,1.23
OK.RLOK.HHZ.--,1.90364,80.4656,Pn,2016-01-17 07:36:41.080,manual,0.7,1.15
OK.X37A.BHZ.--,2.06377,127.824,Pn,2016-01-17 07:36:43.400,manual,0.8,1.13
AG.HHAR.HHZ.00,2.78978,80.6075,Pn,2016-01-17 07:36:53.120,manual,0.5,1.05
US.MIAR.BHZ.00,3.35981,112.14,Pn,2016-01-17 07:37:01.630,manual,1.2,0.99
US.KSU1.BHZ.10,3.27419,10.1012,Pn,2016-01-17 07:37:00.140,manual,0.9,1.0
TA.TUL1.BHZ.--,1.26331,87.8966,Pn,2016-01-17 07:36:30.330,manual,-1.3,1.24
N4.T35B.BHZ.--,1.23931,32.6916,Pg,2016-01-17 07:36:30.520,manual,-0.6,1.29
AG.FCAR.HHZ.00,4.24115,88.2531,Pn,2016-01-17 07:37:13.220,manual,0.7,0.91
AG.WHAR.HHZ.00,4.16348,96.5672,Pn,2016-01-17 07:37:12.080,manual,0.7,0.92
N4.U38B.BHZ.--,2.46204,75.8813,Pn,2016-01-17 07:36:48.620,manual,0.5,1.08
TA.W39A.BHZ.--,2.98358,102.065,Pn,2016-01-17 07:36:55.810,manual,0.6,1.03
TA.X40A.BHZ.--,3.94668,109.208,Pn,2016-01-17 07:37:08.980,manual,0.6,0.94
ZW.AZDA.EHZ.01,2.89923,183.462,Pn,2016-01-17 07:36:53.850,manual,-0.2,1.03
TA.W41B.BHZ.--,4.21727,98.0492,Pn,2016-01-17 07:37:12.770,manual,0.6,0.91
TA.ABTX.BHZ.--,3.7585,211.05,Pn,2016-01-17 07:37:06.380,manual,0.5,0.95
N4.S39B.BHZ.--,3.7046,59.5023,Pn,2016-01-17 07:37:05.840,manual,0.7,0.96
OK.GORE.HHZ.--,1.03072,332.139,Pg,2016-01-17 07:36:26.850,manual,-0.3,1.47
GS.OK035.HHZ.00,1.38018,307.5,Pn,2016-01-17 07:36:32.900,manual,-0.3,1.22
GS.KAN11.HHZ.01,1.40539,341.236,Pn,2016-01-17 07:36:33.540,manual,0.0,1.22
OK.U32A.BHZ.--,1.43114,291.125,Pn,2016-01-17 07:36:33.770,manual,-0.2,1.21
GS.KAN12.HHZ.01,1.51412,339.95,Pn,2016-01-17 07:36:35.060,manual,0.0,1.2
GS.OK029.HH1.00,0.116784,228.628,Sg,2016-01-17 07:36:14.100,manual,2.6,1.37
GS.OK025.HH2.00,0.292365,178.53,Sg,2016-01-17 07:36:18.200,manual,1.3,1.27
OK.BCOK.HHN.--,0.304118,224.598,Sg,2016-01-17 07:36:18.440,manual,1.1,1.27
ZD.KNG1.EHN.--,0.382425,312.48,Sg,2016-01-17 07:36:20.850,manual,1.1,1.23
OK.CHOK.HHN.--,0.389324,143.235,Sg,2016-01-17 07:36:21.280,manual,1.3,1.23
GS.OK031.HH1.00,0.41986,79.0154,Sg,2016-01-17 07:36:22.350,manual,1.4,1.21
GS.OK030.HH1.00,0.460482,83.1399,Sg,2016-01-17 07:36:23.800,manual,1.5,1.19
US.AMTX.BHZ.00,3.67626,255.672,Pn,2016-01-17 07:37:05.190,manual,0.4,0.96
AG.WLAR.HHZ.00,4.11133,120.808,Pn,2016-01-17 07:37:11.810,manual,1.1,0.92
TA.U40A.BHZ.--,3.66987,81.1438,Pn,2016-01-17 07:37:05.240,manual,0.6,0.96
OK.LOOK.HHZ.--,1.88223,175.769,Pn,2016-01-17 07:36:41.230,manual,1.1,1.15
GS.KAN16.HHZ.01,1.46748,337.024,Pn,2016-01-17 07:36:34.420,manual,0.0,1.21
N4.Z35B.BHZ.--,2.53818,178.221,Pn,2016-01-17 07:36:49.230,manual,0.1,1.07
N4.R40B.BHZ.--,4.72281,57.7769,Pn,2016-01-17 07:37:19.820,manual,0.7,0.87
AG.LCAR.HHZ.00,5.02664,85.9526,Pn,2016-01-17 07:37:22.340,manual,-0.9,0.85
TA.T25A.BHZ.--,5.82796,284.593,Pn,2016-01-17 07:37:34.260,manual,-0.2,0.81
