#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004f95
#time = 2016-01-17 23:20:10.600000
#location = 4km SSE of Perkins, Oklahoma
#latitude = 35.9303
#longitude = -97.0224
#depth = 4.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004f95
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.150471,81.2507,Pg,2016-01-17 23:20:14.020,manual,0.4,3.57
OK.QUOK.HHZ.--,0.350426,46.5477,Pg,2016-01-17 23:20:17.630,manual,0.3,2.69
OK.CHOK.HHZ.--,0.369764,184.921,Pg,2016-01-17 23:20:18.190,manual,0.5,2.63
GS.OK025.HHZ.00,0.432747,216.462,Pg,2016-01-17 23:20:19.250,manual,0.3,2.45
GS.OK029.HHZ.00,0.375793,249.331,Pg,2016-01-17 23:20:18.140,manual,0.3,2.61
OK.BCOK.HHZ.--,0.549727,240.394,Pg,2016-01-17 23:20:21.350,manual,0.2,2.17
GS.KAN17.HHZ.01,1.26236,331.929,Pn,2016-01-17 23:20:34.390,manual,-0.5,1.24
OK.W35A.HHZ.--,0.785216,171.121,Pg,2016-01-17 23:20:25.970,automatic,0.3,1.76
OK.GC02.EHZ.--,1.14084,323.94,Pg,2016-01-17 23:20:32.030,automatic,-0.4,1.37
OK.FNO.HHZ.01,0.739005,204.803,Pg,2016-01-17 23:20:25.320,manual,0.5,1.83
NQ.OK914.HNZ.01,0.181123,77.0439,Pg,2016-01-17 23:20:12.820,manual,-1.3,3.4
GS.OK031.HH1.00,0.150471,81.2507,Sg,2016-01-17 23:20:16.280,manual,0.7,1.35
NQ.OK914.HNE.01,0.181123,77.0439,Sg,2016-01-17 23:20:17.030,manual,0.5,1.33
GS.OK030.HHZ.00,0.193668,90.6688,Pg,2016-01-17 23:20:14.880,manual,0.5,3.33
GS.OK030.HH1.00,0.193668,90.6688,Sg,2016-01-17 23:20:18.090,manual,1.1,1.33
NQ.OK915.HNZ.01,0.204038,83.3833,Pg,2016-01-17 23:20:14.510,manual,-0.1,3.28
NQ.OK915.HNE.01,0.204038,83.3833,Sg,2016-01-17 23:20:18.620,manual,1.3,1.32
GS.OK034.HHZ.00,0.263185,72.2745,Pg,2016-01-17 23:20:16.180,manual,0.5,3.02
