#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004gb4
#time = 2016-01-22 10:59:08.700000
#location = 23km N of Enid, Oklahoma
#latitude = 36.6028
#longitude = -97.8279
#depth = 6.8
#magnitude = 3.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004gb4
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.15894,232.022,Pg,2016-01-22 10:59:12.180,manual,0.3,3.52
OK.GC02.EHZ.--,0.249525,354.153,Pg,2016-01-22 10:59:14.090,manual,0.6,3.07
GS.KAN14.HHZ.01,0.369593,342.975,Pg,2016-01-22 10:59:16.250,manual,0.6,2.63
GS.KAN17.HHZ.01,0.443361,6.53888,Pg,2016-01-22 10:59:17.640,manual,0.7,2.42
GS.KAN05.HHZ.01,0.506094,355.979,Pg,2016-01-22 10:59:18.790,manual,0.7,2.26
GS.KAN13.HHZ.01,0.496481,34.3636,Pg,2016-01-22 10:59:18.660,manual,0.7,2.29
GS.KAN01.HHZ.01,0.552327,5.72007,Pg,2016-01-22 10:59:19.610,manual,0.7,2.16
GS.KAN10.HHZ.01,0.562157,337.672,Pg,2016-01-22 10:59:19.730,manual,0.6,2.14
GS.KAN06.HHZ.01,0.644455,357.822,Pg,2016-01-22 10:59:21.310,manual,0.7,2.47
GS.KAN16.HHZ.01,0.64995,343.094,Pg,2016-01-22 10:59:21.350,manual,0.7,2.46
GS.KAN08.HHZ.01,0.633181,349.615,Pg,2016-01-22 10:59:21.100,manual,0.7,2.0
GS.KAN12.HHZ.01,0.70656,348.932,Pg,2016-01-22 10:59:22.450,manual,0.8,2.38
GS.KAN11.HHZ.01,0.60594,353.539,Pg,2016-01-22 10:59:20.670,manual,0.7,2.05
OK.QUOK.HHZ.--,1.00099,115.141,Pg,2016-01-22 10:59:27.540,manual,0.8,2.06
