#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004gkm
#time = 2016-01-23 04:18:35.200000
#location = 32km NW of Fairview, Oklahoma
#latitude = 36.5036
#longitude = -98.7048
#depth = 6.9
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004gkm
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.581249,89.6773,Pg,2016-01-23 04:18:46.420,manual,0.0,2.1
OK.BLOK.HHZ.--,1.22552,77.4751,Pn,2016-01-23 04:18:57.950,manual,-0.8,1.24
GS.KAN13.HHZ.01,1.10877,62.3465,Pg,2016-01-23 04:18:56.050,manual,-0.4,1.4
OK.BCOK.HHZ.--,1.22546,133.278,Pn,2016-01-23 04:18:57.870,manual,-0.8,1.24
GS.KAN14.HHZ.01,0.748163,52.5803,Pn,2016-01-23 04:18:51.670,manual,-0.5,1.32
OK.CCOK.HHZ.--,1.42617,143.051,Pn,2016-01-23 04:19:01.800,manual,0.3,1.21
US.WMOK.BHZ.10,1.76294,182.032,Pn,2016-01-23 04:19:05.900,manual,-0.2,1.17
OK.FNO.HHZ.01,1.63312,139.208,Pn,2016-01-23 04:19:04.890,manual,0.6,1.18
GS.OK025.HHZ.00,1.44036,129.322,Pn,2016-01-23 04:19:01.640,manual,0.0,1.21
GS.OK033.HHZ.00,1.49929,107.273,Pn,2016-01-23 04:19:02.930,manual,0.5,1.2
OK.QUOK.HHZ.--,1.64599,101.027,Pn,2016-01-23 04:19:05.390,manual,0.9,1.18
OK.CHOK.HHZ.--,1.63067,124.738,Pn,2016-01-23 04:19:05.000,manual,0.7,1.18
N4.R32B.BHZ.--,1.91552,359.852,Pn,2016-01-23 04:19:09.720,manual,1.5,1.15
N4.T35B.BHZ.--,1.80962,76.1929,Pn,2016-01-23 04:19:07.750,manual,1.0,1.16
US.KSU1.BHZ.10,3.07843,31.9873,Lg,2016-01-23 04:20:16.850,automatic,1.0,0.0
N4.U38B.BHZ.--,3.48174,89.7698,LR,2016-01-23 04:20:23.840,automatic,0.0,0.0
TA.MSTX.BHZ.--,4.18009,233.978,LR,2016-01-23 04:20:48.090,automatic,0.0,0.0
GS.OK030.HHZ.00,1.65632,109.73,Pn,2016-01-23 04:19:04.810,manual,0.2,1.18
OK.OKCFA.HHZ.--,1.48775,136.513,Pn,2016-01-23 04:19:02.100,manual,-0.2,1.2
GS.OK031.HHZ.00,1.60541,109.458,Pn,2016-01-23 04:19:04.420,manual,0.5,1.19
GS.KAN10.HHZ.01,0.788803,38.1555,Pg,2016-01-23 04:18:50.200,manual,-0.2,1.75
GS.KAN05.HHZ.01,0.900583,47.6458,Pg,2016-01-23 04:18:52.370,manual,-0.1,1.61
GS.KAN17.HHZ.01,0.927716,54.1638,Pg,2016-01-23 04:18:52.740,manual,-0.3,1.58
OK.OKCSW.EHZ.--,1.50236,136.46,Pn,2016-01-23 04:19:02.300,manual,-0.2,1.2
