#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004h2b
#time = 2016-01-25 12:24:26.500000
#location = 18km SE of Medford, Oklahoma
#latitude = 36.7090
#longitude = -97.5695
#depth = 1.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004h2b
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.KAN13.HHZ.01,0.312113,13.6024,Pg,2016-01-25 12:24:33.350,manual,0.9,3.02
OK.GC02.EHZ.--,0.272897,301.498,Pg,2016-01-25 12:24:32.550,manual,0.8,3.08
OK.GORE.HHZ.--,0.312772,284.261,Pg,2016-01-25 12:24:33.210,manual,0.7,3.02
OK.CROK.HHZ.--,0.390503,238.647,Pg,2016-01-25 12:24:34.690,manual,0.7,2.9
OK.QUOK.HHZ.--,0.877755,127.423,Pg,2016-01-25 12:24:43.390,manual,0.1,2.04
ZD.KNG1.EHZ.--,0.584448,190.051,Pg,2016-01-25 12:24:38.120,manual,0.4,2.6
GS.OK034.HHZ.00,0.981891,135.001,Pg,2016-01-25 12:24:45.350,manual,0.0,1.97
GS.OK031.HHZ.00,0.957564,141.764,Pg,2016-01-25 12:24:45.070,manual,0.2,1.99
GS.OK030.HHZ.00,1.00521,140.623,Pg,2016-01-25 12:24:45.880,manual,0.1,1.96
GS.OK029.HHZ.00,0.91524,174.157,Pg,2016-01-25 12:24:44.380,manual,0.3,2.02
OK.CHOK.HHZ.--,1.21716,160.095,Pg,2016-01-25 12:24:49.470,manual,-0.3,1.46
OK.FNO.HHZ.01,1.45497,174.567,Pn,2016-01-25 12:24:54.110,manual,0.2,1.22
OK.U32A.BHZ.--,1.19908,254.51,Pg,2016-01-25 12:24:49.420,manual,0.0,1.47
US.WMOK.BHZ.10,2.1999,206.97,Pn,2016-01-25 12:25:04.840,manual,0.7,1.12
N4.T35B.BHZ.--,0.873577,75.9899,Pg,2016-01-25 12:24:43.700,manual,0.5,2.05
TA.TUL1.BHZ.--,1.64212,118.505,Pn,2016-01-25 12:24:56.520,manual,0.1,1.19
N4.U38B.BHZ.--,2.57691,95.043,Pn,2016-01-25 12:25:11.820,manual,2.5,1.07
TA.T25A.BHZ.--,5.49794,276.525,Pg,2016-01-25 12:26:09.220,automatic,6.0,0.45
N4.N35B.BHZ.--,4.41086,19.3658,Sn,2016-01-25 12:26:47.700,automatic,21.4,0.0
TA.BGNE.BHZ.--,4.7144,354.678,Sn,2016-01-25 12:26:57.520,automatic,23.7,0.0
N4.L34B.BHZ.--,5.33132,9.62082,Lg,2016-01-25 12:27:19.070,automatic,-1.8,0.0
GS.KAN11.HHZ.01,0.567379,331.067,Pg,2016-01-25 12:24:38.040,manual,0.7,2.63
GS.KAN14.HHZ.01,0.401048,308.193,Pg,2016-01-25 12:24:34.910,manual,0.7,2.88
GS.KAN17.HHZ.01,0.369312,334.969,Pg,2016-01-25 12:24:34.400,manual,0.8,2.93
OK.BLOK.HHZ.--,0.289406,79.6432,Pg,2016-01-25 12:24:32.930,manual,0.9,3.06
