#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004ry9
#time = 2016-02-23 08:44:33.500000
#location = 6km E of Edmond, Oklahoma
#latitude = 35.6645
#longitude = -97.4049
#depth = 6.6
#magnitude = 3.7
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004ry9
#us_Mwr_mrr = -56580000000000
#us_Mwr_mtt = 395590000000000
#us_Mwr_mpp = -339010000000000
#us_Mwr_mrt = -7370000000000
#us_Mwr_mrp = -64220000000000
#us_Mwr_mtp = 243090000000000
#us_Mwr_np1_strike = 28.63
#us_Mwr_np1_dip = 85.46
#us_Mwr_np1_rake = -171.45
#us_Mwr_np2_strike = 297.95
#us_Mwr_np2_dip = 81.48
#us_Mwr_np2_rake = -4.59
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK029.HHZ.00,0.13795,342.862,Pg,2016-02-23 08:44:36.680,manual,0.3,3.64
OK.OKCSW.EHZ.--,0.25984,185.974,Pg,2016-02-23 08:44:38.920,manual,0.3,3.03
OK.CHOK.HHZ.--,0.298375,110.13,Pg,2016-02-23 08:44:39.770,manual,0.4,2.88
OK.OKCFA.HHZ.--,0.251531,188.685,Pg,2016-02-23 08:44:38.850,manual,0.4,3.07
OK.FNO.HHZ.01,0.406211,179.573,Pg,2016-02-23 08:44:41.740,manual,0.4,2.52
GS.OK031.HHZ.00,0.54262,57.7804,Pg,2016-02-23 08:44:44.010,manual,0.0,2.18
ZD.KNG1.EHZ.--,0.523051,333.271,Pg,2016-02-23 08:44:43.590,manual,0.0,2.22
OK.W35A.HHZ.--,0.6697,139.533,Pg,2016-02-23 08:44:46.370,manual,0.0,1.94
GS.OK030.HHZ.00,0.569195,62.3288,Pg,2016-02-23 08:44:44.520,manual,0.1,2.13
GS.OK034.HHZ.00,0.659452,58.2571,Pg,2016-02-23 08:44:46.050,manual,-0.1,1.96
GS.OK033.HHZ.00,0.536142,44.8664,Pg,2016-02-23 08:44:44.020,manual,0.2,2.2
GS.OK025.HHZ.00,0.0995247,146.718,Pg,2016-02-23 08:44:36.140,manual,0.4,3.89
OK.QUOK.HHZ.--,0.758853,47.9936,Pg,2016-02-23 08:44:47.820,manual,-0.3,1.8
OK.CROK.HHZ.--,0.960511,330.97,Pg,2016-02-23 08:44:51.590,manual,-0.3,1.54
OK.BLOK.HHZ.--,1.10458,7.9361,Pg,2016-02-23 08:44:54.120,manual,-0.6,1.4
GS.OK032.HHZ.00,1.31026,330.434,Pn,2016-02-23 08:44:57.530,manual,-0.7,1.23
OK.X34A.HHZ.--,1.11748,198.406,Pg,2016-02-23 08:44:54.900,manual,0.0,1.39
GS.OK041.HHZ.00,1.21514,311.57,Pg,2016-02-23 08:44:55.860,manual,-1.0,1.31
