#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004wil
#time = 2016-03-10 12:24:35.200000
#location = 20km W of Perry, Oklahoma
#latitude = 36.2776
#longitude = -97.5113
#depth = 6.6
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004wil
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.207897,225.83,Pg,2016-03-10 12:24:39.430,manual,0.1,3.26
OK.CROK.HHZ.--,0.443254,300.892,Pg,2016-03-10 12:24:43.810,manual,0.0,2.42
GS.OK033.HHZ.00,0.518888,116.478,Pg,2016-03-10 12:24:45.200,manual,0.0,2.23
GS.OK031.HHZ.00,0.633331,120.553,Pg,2016-03-10 12:24:47.300,manual,-0.1,2.0
OK.BCOK.HHZ.--,0.624674,187.34,Pg,2016-03-10 12:24:47.130,manual,-0.1,2.02
GS.OK032.HHZ.00,0.769919,313.215,Pg,2016-03-10 12:24:49.820,manual,-0.2,1.78
GS.OK025.HHZ.00,0.709134,168.502,Pg,2016-03-10 12:24:48.790,manual,0.0,1.87
OK.GC02.EHZ.--,0.637729,334.019,Pg,2016-03-10 12:24:47.310,manual,-0.2,1.99
GS.KAN14.HHZ.01,0.769138,331.938,Pg,2016-03-10 12:24:49.770,manual,-0.2,1.78
GS.KAN17.HHZ.01,0.791701,345.156,Pg,2016-03-10 12:24:50.230,manual,-0.2,1.75
GS.OK038.HHZ.00,1.01333,281.759,Pg,2016-03-10 12:24:54.070,manual,-0.6,1.49
OK.OKCSW.EHZ.--,0.872279,176.064,Pg,2016-03-10 12:24:51.590,manual,-0.4,1.64
GS.OK040.HHZ.00,0.960477,282.661,Pg,2016-03-10 12:24:53.110,manual,-0.5,1.54
OK.CCOK.HHZ.--,0.926339,187.341,Pg,2016-03-10 12:24:52.640,manual,-0.3,1.58
