#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10004x62
#time = 2016-03-13 07:40:18.800000
#location = 1km ESE of Hennessey, Oklahoma
#latitude = 36.1032
#longitude = -97.8804
#depth = 6.3
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10004x62
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.409234,348.3,Pg,2016-03-13 07:40:27.080,manual,0.4,2.51
GS.OK025.HHZ.00,0.68243,139.608,Pg,2016-03-13 07:40:32.050,manual,0.1,1.92
GS.OK031.HHZ.00,0.85726,99.7563,Pg,2016-03-13 07:40:35.120,manual,-0.1,1.66
GS.OK033.HHZ.00,0.765558,94.1184,Pg,2016-03-13 07:40:33.470,manual,0.0,1.79
OK.OKCFA.HHZ.--,0.770013,152.929,Pg,2016-03-13 07:40:33.480,manual,-0.1,1.78
OK.CHOK.HHZ.--,0.857688,128.861,Pg,2016-03-13 07:40:35.130,manual,-0.1,1.66
GS.OK030.HHZ.00,0.90611,100.815,Pg,2016-03-13 07:40:35.970,manual,-0.2,1.6
GS.KAN05.HHZ.01,1.00345,0.369858,Pg,2016-03-13 07:40:37.740,manual,-0.3,1.5
OK.OKCSW.EHZ.--,0.783695,152.538,Pg,2016-03-13 07:40:33.760,manual,-0.1,1.76
OK.QUOK.HHZ.--,0.951475,85.5526,Pg,2016-03-13 07:40:36.820,manual,-0.2,1.55
OK.W35A.HHZ.--,1.2534,138.878,Pn,2016-03-13 07:40:41.910,manual,-0.9,1.24
OK.GC02.EHZ.--,0.747003,1.28012,Pg,2016-03-13 07:40:33.140,manual,0.0,1.81
GS.KAN08.HHZ.01,1.12367,356.314,Pg,2016-03-13 07:40:39.930,manual,-0.4,1.38
GS.KAN01.HHZ.01,1.05269,5.2868,Pg,2016-03-13 07:40:38.610,manual,-0.4,1.45
GS.KAN06.HHZ.01,1.14271,0.872484,Pg,2016-03-13 07:40:40.220,manual,-0.5,1.37
TA.TUL1.BHZ.--,1.70426,95.8672,Pn,2016-03-13 07:40:49.300,manual,0.3,1.17
N4.T35B.BHZ.--,1.3689,53.2441,Pn,2016-03-13 07:40:44.210,manual,-0.2,1.22
OK.BCOK.HHZ.--,0.49698,153.625,Pg,2016-03-13 07:40:28.490,manual,0.1,2.29
GS.OK039.HHZ.00,0.682736,294.25,Pg,2016-03-13 07:40:31.960,manual,0.0,1.92
GS.OK032.HHZ.00,0.748112,339.265,Pg,2016-03-13 07:40:33.130,manual,0.0,1.81
GS.OK029.HHZ.00,0.461306,131.422,Pg,2016-03-13 07:40:27.940,manual,0.2,2.37
OK.GORE.HHZ.--,0.683159,355.505,Pg,2016-03-13 07:40:32.030,manual,0.1,1.92
OK.CCOK.HHZ.--,0.766824,166.166,Pg,2016-03-13 07:40:33.410,manual,-0.1,1.79
GS.OK042.HHZ.00,0.824934,291.546,Pg,2016-03-13 07:40:34.500,manual,-0.1,1.7
GS.OK041.HHZ.00,0.640098,304.77,Pg,2016-03-13 07:40:30.950,manual,-0.2,1.99
GS.KAN14.HHZ.01,0.854507,355.559,Pg,2016-03-13 07:40:34.940,manual,-0.3,1.67
GS.OK038.HHZ.00,0.790461,298.513,Pg,2016-03-13 07:40:33.880,manual,-0.1,1.75
GS.OK037.HHZ.00,0.806559,300.329,Pg,2016-03-13 07:40:34.220,manual,-0.1,1.73
GS.KAN17.HHZ.01,0.943652,5.62503,Pg,2016-03-13 07:40:36.650,manual,-0.3,1.56
OK.FNO.HHZ.01,0.929774,155.051,Pg,2016-03-13 07:40:36.290,manual,-0.4,1.58
GS.KAN13.HHZ.01,0.964042,19.5289,Pg,2016-03-13 07:40:37.000,manual,-0.3,1.54
GS.KAN10.HHZ.01,1.03285,350.436,Pg,2016-03-13 07:40:38.250,manual,-0.4,1.47
GS.OK043.HHZ.00,0.773033,295.487,Pg,2016-03-13 07:40:33.590,manual,-0.1,1.78
GS.KAN12.HHZ.01,1.19563,355.501,Pg,2016-03-13 07:40:41.040,manual,-0.7,1.32
GS.KS20.HHZ.00,1.15447,13.0301,Pn,2016-03-13 07:40:40.360,manual,-1.1,1.25
GS.KAN11.HHZ.01,1.10097,358.633,Pg,2016-03-13 07:40:39.470,manual,-0.5,1.4
GS.OK040.HHZ.00,0.744815,300.815,Pg,2016-03-13 07:40:33.260,manual,0.1,1.82
GS.KAN16.HHZ.01,1.12998,352.519,Pg,2016-03-13 07:40:39.820,manual,-0.7,1.38
GS.OK036.HHZ.00,0.727956,303.722,Pg,2016-03-13 07:40:32.820,manual,0.0,1.84
OK.U32A.BHZ.--,0.947256,287.254,Pg,2016-03-13 07:40:36.710,manual,-0.3,1.56
OK.BLOK.HHZ.--,0.84759,39.083,Pg,2016-03-13 07:40:34.870,manual,-0.2,1.68
OK.X34A.HHZ.--,1.49935,178.493,Pn,2016-03-13 07:40:46.910,manual,0.8,1.2
OK.LOOK.HHZ.--,2.18291,164.535,Pn,2016-03-13 07:40:56.630,manual,1.1,1.11
US.CBKS.BHZ.00,3.08301,331.922,Pn,2016-03-13 07:41:07.650,manual,-0.3,1.01
US.AMTX.BHZ.00,3.33106,249.688,Pn,2016-03-13 07:41:11.360,manual,0.0,0.99
N4.R32B.BHZ.--,2.40806,344.275,Pn,2016-03-13 07:40:59.430,manual,0.8,1.09
