#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005bn1
#time = 2016-04-26 15:44:11.900000
#location = 7km ENE of Harrah, Oklahoma
#latitude = 35.5201
#longitude = -97.0899
#depth = 6.9
#magnitude = 3.6
#magtype = mwr
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005bn1
#us_Mwr_mrr = -97630000000000
#us_Mwr_mtt = 320610000000000
#us_Mwr_mpp = -222980000000000
#us_Mwr_mrt = 9820000000000
#us_Mwr_mrp = -159930000000000
#us_Mwr_mtp = 88580000000000
#us_Mwr_np1_strike = 41.02
#us_Mwr_np1_dip = 68.94
#us_Mwr_np1_rake = -153.57
#us_Mwr_np2_strike = 300.89
#us_Mwr_np2_dip = 65.46
#us_Mwr_np2_rake = -23.27
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.0470903,29.6764,Pg,2016-04-26 15:44:13.610,manual,0.1,4.28
GS.OK029.HHZ.00,0.405555,312.974,Pg,2016-04-26 15:44:19.880,manual,0.1,2.52
OK.BCOK.HHZ.--,0.444745,287.998,Pg,2016-04-26 15:44:20.520,manual,0.0,2.42
OK.FNO.HHZ.01,0.36524,224.23,Pg,2016-04-26 15:44:19.220,manual,0.2,2.65
OK.CCOK.HHZ.--,0.490213,250.751,Pg,2016-04-26 15:44:21.530,manual,0.2,2.3
GS.OK031.HHZ.00,0.47782,25.205,Pg,2016-04-26 15:44:21.190,manual,0.1,2.33
ZD.KNG1.EHZ.--,0.784473,321.321,Pg,2016-04-26 15:44:26.630,manual,-0.3,1.76
OK.CROK.HHZ.--,1.22071,323.861,Pn,2016-04-26 15:44:34.400,manual,-1.0,1.24
OK.LOOK.HHZ.--,1.52589,182.813,Pn,2016-04-26 15:44:40.070,manual,0.5,1.2
OK.GC02.EHZ.--,1.46733,335.116,Pn,2016-04-26 15:44:38.480,manual,-0.3,1.21
US.WMOK.BHZ.10,1.59049,241.104,Pn,2016-04-26 15:44:40.190,manual,-0.3,1.19
GS.OK032.HHZ.00,1.56946,325.038,Pn,2016-04-26 15:44:40.220,manual,0.1,1.19
OK.GORE.HHZ.--,1.44088,331.47,Pn,2016-04-26 15:44:38.290,manual,-0.1,1.21
GS.OK040.HHZ.00,1.6041,307.258,Pn,2016-04-26 15:44:40.670,manual,0.0,1.19
GS.KAN14.HHZ.01,1.59808,334.046,Pn,2016-04-26 15:44:40.610,manual,0.1,1.19
GS.KAN13.HHZ.01,1.52239,348.231,Pn,2016-04-26 15:44:39.310,manual,-0.2,1.2
OK.X37A.BHZ.--,1.68832,122.878,Pn,2016-04-26 15:44:42.450,manual,0.7,1.18
N4.T35B.BHZ.--,1.46955,18.3751,Pn,2016-04-26 15:44:38.460,manual,-0.3,1.21
TA.TUL1.BHZ.--,1.12578,69.3826,Pn,2016-04-26 15:44:32.300,manual,-1.7,1.26
GS.OK025.HHZ.00,0.211192,286.823,Pg,2016-04-26 15:44:16.390,manual,0.3,3.25
GS.OK009.HNZ.01,0.278324,282.771,Pg,2016-04-26 15:44:17.590,manual,0.2,2.96
OK.CHOK.HHE.--,0.0470903,29.6764,Sg,2016-04-26 15:44:14.980,manual,0.4,1.41
GS.OK005.HNN.01,0.157785,328.51,Sg,2016-04-26 15:44:18.130,manual,0.8,1.35
GS.OK001.HNN.01,0.167845,284.165,Sg,2016-04-26 15:44:18.360,manual,0.7,1.34
