#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005g9g
#time = 2016-05-10 08:54:05.500000
#location = 22km ENE of Mooreland, Oklahoma
#latitude = 36.5271
#longitude = -98.9759
#depth = 6.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005g9g
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.NOKA.HHZ.--,0.113079,18.2387,Pg,2016-05-10 08:54:08.370,manual,0.4,3.8
GS.OK043.HHZ.00,0.207769,116.681,Pg,2016-05-10 08:54:10.060,manual,0.4,3.26
GS.OK038.HHZ.00,0.194519,104.461,Pg,2016-05-10 08:54:09.820,manual,0.4,3.33
GS.OK035.HHZ.00,0.280243,49.7582,Pg,2016-05-10 08:54:11.340,manual,0.4,2.95
OK.CROK.HHZ.--,0.799864,91.3062,Pg,2016-05-10 08:54:20.670,manual,-0.2,1.74
OK.HTCH.HHZ.--,0.72746,134.207,Pg,2016-05-10 08:54:19.430,manual,-0.1,1.84
ZD.KNG1.EHZ.--,1.10645,110.48,Pg,2016-05-10 08:54:26.130,manual,-0.6,1.4
OK.GC02.EHZ.--,0.953908,69.8258,Pg,2016-05-10 08:54:23.480,manual,-0.3,1.55
GS.OK029.HHZ.00,1.4305,120.187,Pn,2016-05-10 08:54:31.770,manual,-0.2,1.21
GS.KAN13.HHZ.01,1.29695,67.5996,Pn,2016-05-10 08:54:29.720,manual,-0.4,1.23
OK.BCOK.HHZ.--,1.40697,127.718,Pn,2016-05-10 08:54:31.670,manual,0.1,1.22
GS.OK025.HHZ.00,1.62876,124.937,Pn,2016-05-10 08:54:34.330,manual,-0.3,1.18
OK.BLOK.HHZ.--,1.43527,80.1308,Pn,2016-05-10 08:54:31.670,manual,-0.3,1.21
GS.KS20.HHZ.00,1.33831,57.9749,Pn,2016-05-10 08:54:30.710,manual,0.0,1.23
US.WMOK.BHZ.10,1.79237,174.853,Pn,2016-05-10 08:54:37.000,manual,0.1,1.16
OK.CCOK.HHZ.--,1.58453,137.088,Pn,2016-05-10 08:54:34.150,manual,0.1,1.19
OK.GORE.HHZ.--,0.866595,72.3731,Pg,2016-05-10 08:54:22.000,manual,-0.1,1.65
GS.OK033.HHZ.00,1.71537,105.704,Pn,2016-05-10 08:54:35.950,manual,0.1,1.17
OK.QUOK.HHZ.--,1.86495,100.299,Pn,2016-05-10 08:54:38.650,manual,0.8,1.15
GS.OK030.HHZ.00,1.87058,107.996,Pn,2016-05-10 08:54:38.090,manual,0.1,1.15
GS.OK034.HHZ.00,1.89989,105.083,Pn,2016-05-10 08:54:38.710,manual,0.3,1.15
GS.OK031.HHZ.00,1.81991,107.712,Pn,2016-05-10 08:54:37.390,manual,0.1,1.16
OK.CHOK.HHZ.--,1.82666,121.285,Pn,2016-05-10 08:54:37.910,manual,0.5,1.16
GS.KAN14.HHZ.01,0.919725,61.9033,Pg,2016-05-10 08:54:23.120,manual,0.0,1.59
US.CBKS.BHZ.00,2.36155,345.406,Pn,2016-05-10 08:54:46.770,manual,2.0,1.09
OK.X34A.HHZ.--,2.13595,153.792,Pn,2016-05-10 08:54:43.450,manual,1.8,1.12
GS.KAN17.HHZ.01,1.10071,61.6822,Pg,2016-05-10 08:54:26.050,manual,-0.6,1.41
OK.DEOK.HHZ.--,2.11747,108.082,Pn,2016-05-10 08:54:41.700,manual,0.3,1.12
US.AMTX.BHZ.00,2.74489,234.113,Pn,2016-05-10 08:54:51.830,manual,1.8,1.05
OK.FNO.HHZ.01,1.8,134.275,Pn,2016-05-10 08:54:37.120,manual,0.1,1.16
N4.T35B.BHZ.--,2.01741,78.1667,Pn,2016-05-10 08:54:40.320,manual,0.3,1.13
AG.HHAR.HHZ.00,4.06958,91.9483,Pn,2016-05-10 08:55:07.250,manual,-0.9,0.92
N4.R32B.BHZ.--,1.90375,6.27317,Pn,2016-05-10 08:54:39.400,manual,0.9,1.15
TA.TUL1.BHZ.--,2.64714,102.499,Pn,2016-05-10 08:54:48.770,manual,0.2,1.06
US.SDCO.BHZ.00,5.35338,285.086,Pn,2016-05-10 08:55:23.180,manual,-2.8,0.83
US.KSU1.BHZ.10,3.18011,35.3887,Pn,2016-05-10 08:54:55.670,manual,-0.3,1.01
TA.T25A.BHZ.--,4.40239,279.594,Pn,2016-05-10 08:55:13.540,manual,0.6,0.9
OK.X37A.BHZ.--,3.51769,122.283,Pn,2016-05-10 08:54:59.880,manual,-0.7,0.97
TA.KSCO.BHZ.--,3.81027,311.704,Pn,2016-05-10 08:55:02.830,manual,-1.9,0.95
TA.W39A.BHZ.--,4.42089,105.949,Pn,2016-05-10 08:55:12.940,manual,0.0,0.9
TA.U40A.BHZ.--,4.93899,90.1561,Pn,2016-05-10 08:55:19.630,manual,-0.4,0.86
GS.OK040.HHZ.00,0.247129,100.193,Pg,2016-05-10 08:54:10.820,manual,0.5,3.08
OK.U32A.BHZ.--,0.148732,187.955,Pg,2016-05-10 08:54:08.770,manual,0.2,3.58
OK.ELIS.HHZ.--,0.583054,217.906,Pg,2016-05-10 08:54:16.580,manual,-0.2,2.1
GS.OK032.HHZ.00,0.674609,65.6069,Pg,2016-05-10 08:54:18.330,manual,-0.1,1.93
GS.KAN10.HHZ.01,0.924019,49.6305,Pg,2016-05-10 08:54:23.310,manual,0.1,1.58
GS.KAN05.HHZ.01,1.05883,56.4309,Pg,2016-05-10 08:54:25.250,manual,-0.6,1.44
GS.KAN01.HHZ.01,1.15921,57.0038,Pg,2016-05-10 08:54:27.170,manual,-0.6,1.35
OK.OKCFA.HHZ.--,1.66134,131.447,Pn,2016-05-10 08:54:35.210,manual,0.1,1.18
OK.OKCSW.EHZ.--,1.67602,131.442,Pn,2016-05-10 08:54:35.410,manual,0.1,1.18
OK.LOOK.HHZ.--,2.92486,149.315,Pn,2016-05-10 08:54:53.020,manual,0.6,1.03
OK.RLOK.HHZ.--,3.20813,95.2474,Pn,2016-05-10 08:54:56.700,manual,0.4,1.0
ZW.AZDA.EHZ.01,3.73371,161.334,Pn,2016-05-10 08:55:04.570,manual,1.0,0.95
TA.ABTX.BHZ.--,3.9326,188.238,Pn,2016-05-10 08:55:05.160,manual,-1.1,0.94
TA.MSTX.BHZ.--,4.02017,231.716,Pn,2016-05-10 08:55:07.650,manual,0.1,0.93
N4.S39B.BHZ.--,4.66549,73.8901,Pn,2016-05-10 08:55:17.590,manual,1.3,0.88
US.MIAR.BHZ.00,4.82625,112.594,Pn,2016-05-10 08:55:19.370,manual,0.9,0.87
N4.N35B.BHZ.--,5.05204,30.0505,Pn,2016-05-10 08:55:21.830,manual,0.2,0.85
N4.P38B.BHZ.--,5.29191,52.5954,Pn,2016-05-10 08:55:25.980,manual,1.1,0.83
TA.X40A.BHZ.--,5.40711,110.301,Pn,2016-05-10 08:55:26.070,manual,-0.4,0.83
NM.MGMO.BHZ.--,5.41584,81.3624,Pn,2016-05-10 08:55:26.830,manual,0.2,0.82
TA.Q24A.BHZ.--,5.46337,298.301,Pn,2016-05-10 08:55:26.840,manual,-0.7,0.82
AG.WHAR.HHZ.00,5.56586,100.835,Pn,2016-05-10 08:55:27.390,manual,-1.3,0.82
AG.FCAR.HHZ.00,5.57667,94.5119,Pn,2016-05-10 08:55:27.750,manual,-1.0,0.81
N4.R40B.BHZ.--,5.62217,69.7364,Pn,2016-05-10 08:55:29.020,manual,-0.4,0.81
TA.W41B.BHZ.--,5.62894,101.892,Pn,2016-05-10 08:55:29.760,manual,0.3,0.81
US.ISCO.BHZ.00,6.16584,304.005,Pn,2016-05-10 08:55:36.490,manual,-0.7,0.83
N4.N38B.BHZ.--,6.18967,44.7726,Pn,2016-05-10 08:55:37.240,manual,0.0,0.83
N4.P40B.BHZ.--,6.23562,59.1749,Pn,2016-05-10 08:55:36.160,manual,-1.7,0.83
