#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005g9y
#time = 2016-05-10 11:03:08.400000
#location = 25km E of Cherokee, Oklahoma
#latitude = 36.7581
#longitude = -98.0703
#depth = 5.7
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005g9y
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.10266,74.4557,Pg,2016-05-10 11:03:11.070,manual,0.4,3.87
OK.CROK.HHZ.--,0.262386,164.524,Pg,2016-05-10 11:03:13.810,manual,0.3,3.02
GS.KAN14.HHZ.01,0.21619,23.4259,Pg,2016-05-10 11:03:13.150,manual,0.5,3.22
OK.GC02.EHZ.--,0.193103,61.0704,Pg,2016-05-10 11:03:12.720,manual,0.5,3.34
GS.KAN10.HHZ.01,0.365255,356.889,Pg,2016-05-10 11:03:15.910,manual,0.4,2.65
GS.OK043.HHZ.00,0.632813,239.398,Pg,2016-05-10 11:03:20.580,manual,0.0,2.0
GS.KAN05.HHZ.01,0.384133,24.3343,Pg,2016-05-10 11:03:16.230,manual,0.4,2.59
GS.KAN01.HHZ.01,0.466749,32.1989,Pg,2016-05-10 11:03:17.730,manual,0.3,2.36
GS.KAN17.HHZ.01,0.376109,40.5333,Pg,2016-05-10 11:03:16.030,manual,0.3,2.61
GS.KAN16.HHZ.01,0.466649,0.548833,Pg,2016-05-10 11:03:17.790,manual,0.4,2.36
GS.KAN08.HHZ.01,0.474446,9.62625,Pg,2016-05-10 11:03:17.990,manual,0.4,2.34
GS.OK040.HHZ.00,0.558042,240.696,Pg,2016-05-10 11:03:19.260,manual,0.1,2.15
GS.KAN06.HHZ.01,0.517522,19.0518,Pg,2016-05-10 11:03:18.720,manual,0.3,2.24
GS.KAN12.HHZ.01,0.541398,6.11294,Pg,2016-05-10 11:03:19.220,manual,0.4,2.18
GS.KAN13.HHZ.01,0.538837,61.6596,Pg,2016-05-10 11:03:18.990,manual,0.2,2.19
ZD.KNG1.EHZ.--,0.693821,154.067,Pg,2016-05-10 11:03:21.610,manual,-0.1,1.9
OK.HTCH.HHZ.--,0.769225,196.056,Pg,2016-05-10 11:03:23.040,manual,-0.1,1.78
OK.BLOK.HHZ.--,0.686875,89.5357,Pg,2016-05-10 11:03:21.570,manual,0.0,1.91
GS.KS20.HHZ.00,0.626295,41.1169,Pg,2016-05-10 11:03:20.600,manual,0.2,2.01
GS.OK032.HHZ.00,0.121381,292.115,Pg,2016-05-10 11:03:11.390,manual,0.4,3.74
GS.OK029.HHZ.00,1.08073,152.423,Pg,2016-05-10 11:03:28.740,manual,-0.4,1.42
OK.BCOK.HHZ.--,1.16065,161.126,Pg,2016-05-10 11:03:30.050,manual,-0.6,1.35
GS.OK031.HHZ.00,1.27795,128.583,Pn,2016-05-10 11:03:32.120,manual,-0.7,1.23
GS.OK030.HHZ.00,1.3287,128.199,Pn,2016-05-10 11:03:32.980,manual,-0.5,1.23
OK.QUOK.HHZ.--,1.24451,117.66,Pg,2016-05-10 11:03:31.640,manual,-0.6,1.29
GS.OK025.HHZ.00,1.3156,153.01,Pn,2016-05-10 11:03:32.900,manual,-0.4,1.23
GS.OK033.HHZ.00,1.15823,127.612,Pg,2016-05-10 11:03:30.330,manual,-0.3,1.36
OK.ELIS.HHZ.--,1.28837,237.946,Pn,2016-05-10 11:03:32.570,manual,-0.4,1.23
GS.OK034.HHZ.00,1.32526,123.873,Pn,2016-05-10 11:03:32.810,manual,-0.6,1.23
OK.CHOK.HHZ.--,1.44692,145.346,Pn,2016-05-10 11:03:35.280,manual,0.2,1.21
OK.CCOK.HHZ.--,1.43809,166.381,Pn,2016-05-10 11:03:34.910,manual,-0.1,1.21
OK.DEOK.HHZ.--,1.5643,125.264,Pn,2016-05-10 11:03:36.700,manual,0.0,1.19
OK.FNO.HHZ.01,1.59278,159.889,Pn,2016-05-10 11:03:37.470,manual,0.4,1.19
US.WMOK.BHZ.10,2.09703,196.204,Pn,2016-05-10 11:03:44.950,manual,0.9,1.12
OK.X34A.HHZ.--,2.16111,174.793,Pn,2016-05-10 11:03:46.420,manual,1.5,1.12
OK.RLOK.HHZ.--,2.52316,102.599,Pn,2016-05-10 11:03:50.280,manual,0.4,1.07
TA.TUL1.BHZ.--,2.02484,114.017,Pn,2016-05-10 11:03:43.590,manual,0.6,1.13
N4.T35B.BHZ.--,1.26016,82.3398,Pn,2016-05-10 11:03:31.930,manual,-0.6,1.24
TA.U40A.BHZ.--,4.21898,93.8953,Pn,2016-05-10 11:04:12.920,manual,-0.2,0.91
GS.OK038.HHZ.00,0.608487,242.872,Pg,2016-05-10 11:03:20.200,manual,0.1,2.05
OK.U32A.BHZ.--,0.839431,243.526,Pg,2016-05-10 11:03:24.340,manual,-0.2,1.69
GS.OK035.HHZ.00,0.516073,264.653,Pg,2016-05-10 11:03:18.430,manual,0.1,2.24
GS.KS21.HNZ.20,0.620019,31.596,Pg,2016-05-10 11:03:20.600,manual,0.3,2.03
OK.OKCFA.HHZ.--,1.43071,159.306,Pn,2016-05-10 11:03:34.770,manual,-0.1,1.21
US.CBKS.BHZ.00,2.44058,327.745,Pn,2016-05-10 11:03:49.100,manual,0.3,1.08
AG.HHAR.HHZ.00,3.36066,96.8947,Pn,2016-05-10 11:04:01.780,manual,0.4,0.99
N4.S39B.BHZ.--,3.90193,74.7674,Pn,2016-05-10 11:04:09.410,manual,0.6,0.94
OK.GORE.HHN.--,0.10266,74.4557,Sg,2016-05-10 11:03:12.910,manual,0.8,1.38
GS.OK032.HH2.00,0.121381,292.115,Sg,2016-05-10 11:03:13.460,manual,0.8,1.37
OK.GC02.EHE.--,0.193103,61.0704,Sg,2016-05-10 11:03:15.670,manual,0.8,1.33
GS.KAN14.HNN.01,0.21619,23.4259,Sg,2016-05-10 11:03:16.470,manual,0.9,1.31
OK.CROK.HHN.--,0.262386,164.524,Sg,2016-05-10 11:03:17.580,manual,0.6,1.29
GS.KAN10.HHN.01,0.365255,356.889,Sg,2016-05-10 11:03:21.360,manual,1.1,1.24
GS.KAN17.HNE.01,0.376109,40.5333,Sg,2016-05-10 11:03:21.420,manual,0.8,1.23
GS.KAN05.HNE.01,0.384133,24.3343,Sg,2016-05-10 11:03:21.780,manual,0.9,1.23
GS.KAN16.HHN.01,0.466649,0.548833,Sg,2016-05-10 11:03:24.370,manual,0.9,1.19
GS.KAN01.HNN.01,0.466749,32.1989,Sg,2016-05-10 11:03:24.430,manual,0.9,1.19
GS.OK035.HH2.00,0.516073,264.653,Sg,2016-05-10 11:03:25.980,manual,0.9,1.17
GS.KAN08.HHN.01,0.474446,9.62625,Sg,2016-05-10 11:03:24.860,manual,1.1,1.19
GS.KAN06.HHN.01,0.517522,19.0518,Sg,2016-05-10 11:03:25.970,manual,0.9,1.17
