#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005hci
#time = 2016-05-14 03:39:27.500000
#location = 12km SW of Goldsby, Oklahoma
#latitude = 35.0531
#longitude = -97.5573
#depth = 5.0
#magnitude = 3.1
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005hci
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.FNO.HHZ.01,0.240642,32.0636,Pg,2016-05-14 03:39:32.730,manual,0.5,3.11
OK.BCOK.HHZ.--,0.603748,355.978,Pg,2016-05-14 03:39:39.180,manual,0.1,2.06
OK.X34A.HHZ.--,0.504706,206.742,Pg,2016-05-14 03:39:38.230,manual,1.0,2.27
GS.OK029.HHZ.00,0.746547,6.40196,Pg,2016-05-14 03:39:41.740,manual,-0.1,1.82
ZD.KNG1.EHZ.--,1.08272,354.069,Pg,2016-05-14 03:39:47.740,manual,-0.5,1.42
GS.OK030.HHZ.00,1.07709,35.6516,Pg,2016-05-14 03:39:47.620,manual,-0.5,1.43
US.WMOK.BHZ.10,1.05364,252.986,Pg,2016-05-14 03:39:47.000,manual,-0.7,1.45
OK.LOOK.HHZ.--,1.10304,163.488,Pg,2016-05-14 03:39:48.720,manual,0.1,1.4
OK.QUOK.HHZ.--,1.31301,31.5595,Pn,2016-05-14 03:39:51.580,manual,-0.9,1.23
OK.CROK.HHZ.--,1.48935,346.672,Pn,2016-05-14 03:39:54.840,manual,0.0,1.21
GS.OK038.HHZ.00,1.71776,326.221,Pn,2016-05-14 03:39:58.740,manual,0.7,1.17
OK.BLOK.HHZ.--,1.7264,9.1629,Pn,2016-05-14 03:39:58.890,manual,0.8,1.17
GS.OK035.HHZ.00,1.89827,330.798,Pn,2016-05-14 03:40:01.750,manual,1.3,1.15
GS.OK032.HHZ.00,1.82564,343.312,Pn,2016-05-14 03:40:00.130,manual,0.6,1.16
OK.RLOK.HHZ.--,2.3426,60.9281,Pn,2016-05-14 03:40:07.320,manual,0.7,1.1
N4.Z35B.BHZ.--,1.73633,171.561,Pn,2016-05-14 03:39:58.470,manual,0.2,1.17
TA.X40A.BHZ.--,3.92859,96.9081,Pn,2016-05-14 03:40:28.950,manual,0.6,0.94
TA.U40A.BHZ.--,4.04264,69.8758,Pn,2016-05-14 03:40:30.200,manual,0.3,0.93
TA.KSCO.BHZ.--,5.66106,315.742,Lg,2016-05-14 03:42:29.270,automatic,-3.3,0.0
OK.CCOK.HHZ.--,0.313626,345.078,Pg,2016-05-14 03:39:33.950,manual,0.4,2.82
OK.OKCSW.EHZ.--,0.364911,15.4889,Pg,2016-05-14 03:39:34.830,manual,0.3,2.65
OK.OKCFA.HHZ.--,0.37163,13.4588,Pg,2016-05-14 03:39:34.960,manual,0.3,2.63
GS.OK025.HHZ.00,0.55653,18.7443,Pg,2016-05-14 03:39:38.420,manual,0.2,2.15
OK.CHOK.HHZ.--,0.649207,38.5292,Pg,2016-05-14 03:39:40.240,manual,0.3,1.97
GS.OK031.HHZ.00,1.07228,32.918,Pg,2016-05-14 03:39:47.280,manual,-0.8,1.43
GS.OK033.HHZ.00,1.11051,26.8602,Pg,2016-05-14 03:39:48.010,manual,-0.8,1.4
OK.HTCH.HHZ.--,1.15115,326.901,Pg,2016-05-14 03:39:48.890,manual,-0.7,1.36
OK.DEOK.HHZ.--,1.16974,47.3546,Pg,2016-05-14 03:39:49.000,manual,-0.9,1.35
GS.OK034.HHZ.00,1.17728,35.5438,Pg,2016-05-14 03:39:49.200,manual,-0.9,1.34
OK.U32A.BHZ.--,1.76992,318.818,Pn,2016-05-14 03:39:59.230,manual,0.5,1.17
GS.OK043.HHZ.00,1.68272,325.28,Pn,2016-05-14 03:39:57.500,manual,0.0,1.18
OK.GORE.HHZ.--,1.75755,349.743,Pn,2016-05-14 03:39:58.770,manual,0.2,1.17
GS.OK040.HHZ.00,1.69125,327.845,Pn,2016-05-14 03:39:57.320,manual,-0.3,1.18
TA.TUL1.BHZ.--,1.67556,58.7921,Pn,2016-05-14 03:39:57.480,manual,0.1,1.18
OK.GC02.EHZ.--,1.8113,352.306,Pn,2016-05-14 03:39:59.220,manual,-0.1,1.16
OK.NOKA.HHZ.--,1.93337,325.115,Pn,2016-05-14 03:40:01.410,manual,0.4,1.15
OK.ELIS.HHZ.--,1.82251,304.191,Pn,2016-05-14 03:40:00.630,manual,1.2,1.16
OK.X37A.BHZ.--,1.85703,103.805,Pn,2016-05-14 03:40:00.090,manual,0.2,1.16
GS.KAN13.HHZ.01,1.95677,1.86381,Pn,2016-05-14 03:40:01.960,manual,0.7,1.14
GS.KAN17.HHZ.01,1.99396,355.223,Pn,2016-05-14 03:40:01.980,manual,0.2,1.14
GS.KAN05.HHZ.01,2.06704,353.001,Pn,2016-05-14 03:40:03.530,manual,0.7,1.13
GS.KS20.HHZ.00,2.17211,0.0631384,Pn,2016-05-14 03:40:04.930,manual,0.7,1.12
GS.KAN10.HHZ.01,2.11152,348.252,Pn,2016-05-14 03:40:04.180,manual,0.8,1.12
GS.KAN01.HHZ.01,2.10231,355.603,Pn,2016-05-14 03:40:04.000,manual,0.7,1.12
US.MIAR.BHZ.00,3.31467,97.6492,Pn,2016-05-14 03:40:20.870,manual,1.0,0.99
AG.HHAR.HHZ.00,3.1902,66.3493,Pn,2016-05-14 03:40:18.380,manual,0.2,1.01
US.AMTX.BHZ.00,3.39048,268.326,Pn,2016-05-14 03:40:22.020,manual,1.0,0.99
N4.T35B.BHZ.--,2.04335,24.2091,Pn,2016-05-14 03:40:03.060,manual,0.6,1.13
AG.WLAR.HHZ.00,3.92058,109.057,Pn,2016-05-14 03:40:28.780,manual,0.6,0.94
TA.WHTX.BHZ.--,3.0549,178.386,Pn,2016-05-14 03:40:17.540,manual,1.2,1.02
TA.W39A.BHZ.--,3.09613,86.276,Pn,2016-05-14 03:40:17.230,manual,0.3,1.01
N4.237B.BHZ.--,3.37584,153.872,Pn,2016-05-14 03:40:21.490,manual,0.8,0.99
N4.Z38B.BHZ.--,2.78348,129.256,Pn,2016-05-14 03:40:12.830,manual,0.2,1.05
TA.ABTX.BHZ.--,2.98062,216.207,Pn,2016-05-14 03:40:16.370,manual,1.0,1.03
N4.R32B.BHZ.--,3.48819,344.934,Pn,2016-05-14 03:40:22.870,manual,0.5,0.98
OK.OKCSW.EHN.--,0.364911,15.4889,Sg,2016-05-14 03:39:39.140,manual,-0.2,1.24
OK.OKCFA.HHN.--,0.37163,13.4588,Sg,2016-05-14 03:39:38.800,manual,-0.7,1.24
