#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005hx9
#time = 2016-05-17 09:46:04.400000
#location = 5km SE of Guthrie, Oklahoma
#latitude = 35.8411
#longitude = -97.3865
#depth = 3.0
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005hx9
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.262435,171.318,Pg,2016-05-17 09:46:10.080,manual,0.6,3.02
OK.CHOK.HHZ.--,0.384861,136.454,Pg,2016-05-17 09:46:12.350,manual,0.6,2.59
GS.OK033.HHZ.00,0.416523,60.7209,Pg,2016-05-17 09:46:12.920,manual,0.5,2.49
OK.OKCSW.EHZ.--,0.436673,185.529,Pg,2016-05-17 09:46:13.220,manual,0.4,2.53
GS.OK034.HHZ.00,0.571935,72.6426,Pg,2016-05-17 09:46:15.750,manual,0.4,2.12
GS.OK030.HHZ.00,0.497018,79.7988,Pg,2016-05-17 09:46:14.450,manual,0.5,2.48
GS.OK031.HHZ.00,0.458285,75.7244,Pg,2016-05-17 09:46:13.730,manual,0.5,2.51
GS.OK029.HHZ.00,0.071151,231.406,Pg,2016-05-17 09:46:06.340,manual,0.5,4.09
OK.OKCFA.HHZ.--,0.428151,187.113,Pg,2016-05-17 09:46:13.040,manual,0.4,2.54
ZD.KNG1.EHZ.--,0.383731,319.316,Pg,2016-05-17 09:46:12.310,manual,0.5,2.59
OK.QUOK.HHZ.--,0.641323,58.8736,Pg,2016-05-17 09:46:16.870,manual,0.2,1.99
OK.CCOK.HHZ.--,0.530844,204.528,Pg,2016-05-17 09:46:14.970,manual,0.4,2.44
OK.FNO.HHZ.01,0.582541,181.184,Pg,2016-05-17 09:46:15.760,manual,0.2,2.1
OK.HTCH.HHZ.--,0.787774,283.159,Pg,2016-05-17 09:46:19.380,manual,-0.1,1.76
OK.DEOK.HHZ.--,0.721658,89.613,Pg,2016-05-17 09:46:18.110,manual,-0.1,1.85
OK.CROK.HHZ.--,0.819638,324.073,Pg,2016-05-17 09:46:20.190,manual,0.1,1.71
OK.BLOK.HHZ.--,0.928037,8.53468,Pg,2016-05-17 09:46:22.110,manual,-0.1,1.58
OK.GC02.EHZ.--,1.07828,339.394,Pg,2016-05-17 09:46:25.000,manual,-0.1,1.43
GS.OK032.HHZ.00,1.16865,325.539,Pg,2016-05-17 09:46:26.380,manual,-0.4,1.35
OK.X34A.HHZ.--,1.29007,196.576,Pg,2016-05-17 09:46:28.860,manual,-0.3,1.25
US.WMOK.BHZ.10,1.58503,226.423,Pn,2016-05-17 09:46:33.270,manual,-0.1,1.19
GS.KAN13.HHZ.01,1.17178,356.424,Pg,2016-05-17 09:46:26.610,manual,-0.3,1.34
OK.ELIS.HHZ.--,1.66337,278.325,Pn,2016-05-17 09:46:34.480,manual,0.0,1.18
GS.KAN06.HHZ.01,1.45468,344.99,Pn,2016-05-17 09:46:31.400,manual,-0.1,1.21
OK.U32A.BHZ.--,1.41374,292.811,Pn,2016-05-17 09:46:30.090,manual,-0.9,1.22
N4.T35B.BHZ.--,1.28426,33.0794,Pg,2016-05-17 09:46:28.180,manual,-0.8,1.26
GS.ADOK.HNZ.--,0.189107,176.198,Pg,2016-05-17 09:46:08.650,manual,0.6,3.36
OK.BCOK.HHZ.--,0.258269,224.631,Pg,2016-05-17 09:46:09.910,manual,0.5,3.04
GS.KAN14.HHZ.01,1.2067,337.499,Pg,2016-05-17 09:46:27.120,manual,-0.4,1.32
GS.KAN17.HHZ.01,1.23875,345.856,Pg,2016-05-17 09:46:27.560,manual,-0.6,1.29
GS.OK038.HHZ.00,1.26801,300.492,Pg,2016-05-17 09:46:28.010,manual,-0.7,1.27
TA.TUL1.BHZ.--,1.29689,86.4763,Pg,2016-05-17 09:46:27.770,manual,-1.5,1.25
GS.KAN01.HHZ.01,1.34365,347.202,Pn,2016-05-17 09:46:29.540,manual,-0.5,1.23
OK.LOOK.HHZ.--,1.85217,174.684,Pn,2016-05-17 09:46:35.850,manual,-1.1,1.16
OK.RLOK.HHZ.--,1.94084,79.6437,Pn,2016-05-17 09:46:36.930,manual,-1.3,1.15
OK.X37A.BHZ.--,2.06942,126.54,Pn,2016-05-17 09:46:40.480,manual,0.5,1.13
AG.HHAR.HHZ.00,2.82685,80.0343,Pn,2016-05-17 09:46:49.800,manual,-0.6,1.04
TA.W39A.BHZ.--,3.00827,101.304,Pn,2016-05-17 09:46:53.570,manual,0.7,1.03
N4.Z38B.BHZ.--,3.24918,141.726,Pn,2016-05-17 09:46:55.740,manual,-0.4,1.0
US.MIAR.BHZ.00,3.37736,111.397,Pn,2016-05-17 09:46:58.500,manual,0.6,0.99
N4.S39B.BHZ.--,3.74886,59.2955,Pn,2016-05-17 09:47:02.120,manual,-0.9,0.95
AG.WHAR.HHZ.00,4.19168,96.0492,Pn,2016-05-17 09:47:08.490,manual,-0.6,0.92
TA.Z41A.BHZ.--,4.57674,122.946,Pn,2016-05-17 09:47:14.170,manual,-0.2,0.89
TA.W41B.BHZ.--,4.24452,97.5278,Pn,2016-05-17 09:47:11.240,manual,1.5,0.91
GS.OK029.HH2.00,0.071151,231.406,Sg,2016-05-17 09:46:07.820,manual,0.9,1.4
GS.ADOK.HNE.--,0.189107,176.198,Sg,2016-05-17 09:46:11.770,manual,1.2,1.33
OK.BCOK.HHN.--,0.258269,224.631,Sg,2016-05-17 09:46:13.700,manual,0.9,1.29
GS.OK025.HH2.00,0.262435,171.318,Sg,2016-05-17 09:46:14.080,manual,1.2,1.29
ZD.KNG1.EHN.--,0.383731,319.316,Sg,2016-05-17 09:46:17.830,manual,1.1,1.23
OK.CHOK.HHN.--,0.384861,136.454,Sg,2016-05-17 09:46:18.030,manual,1.2,1.23
GS.OK033.HH1.00,0.416523,60.7209,Sg,2016-05-17 09:46:18.980,manual,1.2,1.21
OK.OKCFA.HHE.--,0.428151,187.113,Sg,2016-05-17 09:46:19.290,manual,1.1,1.21
OK.OKCSW.EHE.--,0.436673,185.529,Sg,2016-05-17 09:46:19.560,manual,1.1,1.2
GS.OK031.HH2.00,0.458285,75.7244,Sg,2016-05-17 09:46:20.090,manual,0.9,1.19
GS.OK030.HH1.00,0.497018,79.7988,Sg,2016-05-17 09:46:22.090,manual,1.7,1.18
OK.CCOK.HHE.--,0.530844,204.528,Sg,2016-05-17 09:46:22.530,manual,1.0,1.16
GS.OK034.HH1.00,0.571935,72.6426,Sg,2016-05-17 09:46:23.790,manual,1.0,1.15
OK.FNO.HHN.01,0.582541,181.184,Sg,2016-05-17 09:46:24.160,manual,1.0,1.14
OK.QUOK.HHN.--,0.641323,58.8736,Sg,2016-05-17 09:46:25.870,manual,0.8,1.12
OK.HTCH.HHN.--,0.787774,283.159,Sg,2016-05-17 09:46:30.390,manual,0.7,1.06
OK.CROK.HHN.--,0.819638,324.073,Sg,2016-05-17 09:46:31.340,manual,0.6,1.05
