#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005j9h
#time = 2016-05-23 01:48:00.900000
#location = 6km NE of Langston, Oklahoma
#latitude = 35.9778
#longitude = -97.1972
#depth = 5.9
#magnitude = 2.6
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005j9h
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK033.HHZ.00,0.220253,72.3611,Pg,2016-05-23 01:48:05.650,manual,0.5,3.21
GS.OK031.HHZ.00,0.291543,94.7447,Pg,2016-05-23 01:48:07.020,manual,0.6,2.9
OK.QUOK.HHZ.--,0.440894,63.8673,Pg,2016-05-23 01:48:09.710,manual,0.6,2.43
GS.OK030.HHZ.00,0.339109,98.3394,Pg,2016-05-23 01:48:07.860,manual,0.6,2.73
GS.OK034.HHZ.00,0.393824,85.1483,Pg,2016-05-23 01:48:08.840,manual,0.6,2.56
OK.DEOK.HHZ.--,0.583162,103.161,Pg,2016-05-23 01:48:12.350,manual,0.7,2.1
OK.CHOK.HHZ.--,0.43024,165.076,Pg,2016-05-23 01:48:09.610,manual,0.7,2.46
OK.BLOK.HHZ.--,0.78136,358.952,Pg,2016-05-23 01:48:15.750,manual,0.6,2.33
TA.TUL1.BHZ.--,1.14231,92.9627,Pg,2016-05-23 01:48:21.880,manual,0.4,1.96
GS.OK033.HH1.00,0.220253,72.3611,Sg,2016-05-23 01:48:09.000,manual,0.8,1.31
GS.OK029.HHZ.00,0.276561,229.247,Pg,2016-05-23 01:48:06.470,manual,0.3,2.96
GS.OK029.HH2.00,0.276561,229.247,Sg,2016-05-23 01:48:10.620,manual,0.7,1.28
GS.OK031.HH2.00,0.291543,94.7447,Sg,2016-05-23 01:48:11.270,manual,0.8,1.27
GS.OK030.HH2.00,0.339109,98.3394,Sg,2016-05-23 01:48:12.780,manual,0.9,1.25
