#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005zgh
#time = 2016-07-02 11:29:41.100000
#location = 16km W of Perry, Oklahoma
#latitude = 36.2872
#longitude = -97.4703
#depth = 6.1
#magnitude = 2.7
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005zgh
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
ZD.KNG1.EHZ.--,0.238889,229.744,Pg,2016-07-02 11:29:45.970,manual,0.2,3.12
OK.QUOK.HHZ.--,0.627091,100.394,Pg,2016-07-02 11:29:53.590,manual,0.4,2.01
OK.BCOK.HHZ.--,0.6392,190.201,Pg,2016-07-02 11:29:53.470,manual,0.1,1.99
OK.GORE.HHZ.--,0.628394,322.473,Pg,2016-07-02 11:29:53.000,manual,-0.2,2.01
GS.OK033.HHZ.00,0.494065,119.211,Pg,2016-07-02 11:29:50.700,manual,0.1,2.29
OK.CROK.HHZ.--,0.467439,297.821,Pg,2016-07-02 11:29:50.430,manual,0.3,2.36
GS.OK025.HHZ.00,0.712757,171.291,Pg,2016-07-02 11:29:54.970,manual,0.2,1.87
OK.CHOK.HHZ.--,0.796993,155.265,Pg,2016-07-02 11:29:56.050,manual,-0.4,1.74
OK.GC02.EHZ.--,0.644517,331.021,Pg,2016-07-02 11:29:53.580,manual,0.1,1.98
OK.OKCFA.HHZ.--,0.870184,178.984,Pg,2016-07-02 11:29:57.240,manual,-0.6,1.65
OK.OKCSW.EHZ.--,0.880217,178.282,Pg,2016-07-02 11:29:57.640,manual,-0.4,1.64
GS.KAN17.HHZ.01,0.79167,342.684,Pg,2016-07-02 11:29:56.480,manual,0.2,1.75
OK.BLOK.HHZ.--,0.51528,23.4461,Pg,2016-07-02 11:29:51.600,manual,0.6,2.24
OK.CCOK.HHZ.--,0.940615,189.292,Pg,2016-07-02 11:29:59.010,manual,-0.1,1.56
