#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10005zgq
#time = 2016-07-02 12:10:14.700000
#location = 10km E of Medford, Oklahoma
#latitude = 36.8177
#longitude = -97.6184
#depth = 6.1
#magnitude = 3.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10005zgq
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GORE.HHZ.--,0.265763,263.174,Pg,2016-07-02 12:10:20.300,manual,0.4,3.01
OK.BLOK.HHZ.--,0.328816,99.8599,Pg,2016-07-02 12:10:21.400,manual,0.3,2.77
OK.GC02.EHZ.--,0.196429,279.962,Pg,2016-07-02 12:10:19.030,manual,0.4,3.32
GS.KAN17.HHZ.01,0.25461,332.609,Pg,2016-07-02 12:10:20.210,manual,0.5,3.05
GS.KAN13.HHZ.01,0.225074,30.0016,Pg,2016-07-02 12:10:19.770,manual,0.6,3.18
OK.CROK.HHZ.--,0.428632,223.322,Pg,2016-07-02 12:10:23.270,manual,0.3,2.46
GS.KS20.HHZ.00,0.414418,7.09181,Pg,2016-07-02 12:10:23.250,manual,0.5,2.5
GS.KAN10.HHZ.01,0.488792,308.785,Pg,2016-07-02 12:10:24.590,manual,0.5,2.3
GS.KS21.HNZ.20,0.469287,355.653,Pg,2016-07-02 12:10:24.250,manual,0.5,2.35
GS.KAN06.HHZ.01,0.470548,335.963,Pg,2016-07-02 12:10:24.320,manual,0.5,2.35
GS.KAN16.HHZ.01,0.541616,318.873,Pg,2016-07-02 12:10:25.740,manual,0.6,2.18
GS.KAN08.HHZ.01,0.496235,325.459,Pg,2016-07-02 12:10:25.040,manual,0.8,2.29
GS.KAN12.HHZ.01,0.566986,327.731,Pg,2016-07-02 12:10:26.250,manual,0.6,2.13
GS.OK038.HHZ.00,0.965219,249.785,Pg,2016-07-02 12:10:32.980,manual,-0.2,1.54
OK.QUOK.HHZ.--,0.976844,131.052,Pg,2016-07-02 12:10:33.270,manual,-0.2,1.53
GS.OK029.HHZ.00,1.02755,172.567,Pg,2016-07-02 12:10:34.160,manual,-0.3,1.47
GS.OK031.HHZ.00,1.06769,143.684,Pg,2016-07-02 12:10:35.270,manual,0.1,1.44
GS.OK033.HHZ.00,0.946843,144.393,Pg,2016-07-02 12:10:33.330,manual,0.5,1.56
OK.BCOK.HHZ.--,1.15865,179.633,Pg,2016-07-02 12:10:36.470,manual,-0.5,1.35
GS.OK040.HHZ.00,0.912387,248.832,Pg,2016-07-02 12:10:31.970,manual,-0.2,1.6
GS.OK032.HHZ.00,0.47531,268.505,Pg,2016-07-02 12:10:24.120,manual,0.2,2.34
OK.CHOK.HHZ.--,1.33253,160.068,Pn,2016-07-02 12:10:39.270,manual,-0.5,1.23
OK.NOKA.HHZ.--,1.07097,260.574,Pg,2016-07-02 12:10:34.760,manual,-0.5,1.43
OK.DEOK.HHZ.--,1.32847,136.758,Pn,2016-07-02 12:10:39.220,manual,-0.5,1.23
GS.OK025.HHZ.00,1.25475,169.499,Pn,2016-07-02 12:10:38.270,manual,-0.4,1.24
OK.CCOK.HHZ.--,1.45819,181.211,Pn,2016-07-02 12:10:41.780,manual,0.3,1.21
OK.OKCSW.EHZ.--,1.41683,174.029,Pn,2016-07-02 12:10:40.990,manual,0.1,1.21
OK.OKCFA.HHZ.--,1.40602,174.432,Pn,2016-07-02 12:10:40.870,manual,0.1,1.22
OK.FNO.HHZ.01,1.56696,173.485,Pn,2016-07-02 12:10:43.370,manual,0.4,1.19
US.WMOK.BHZ.10,2.28036,204.826,Pn,2016-07-02 12:10:53.340,manual,0.5,1.1
OK.RLOK.HHZ.--,2.18678,106.485,Pn,2016-07-02 12:10:52.840,manual,1.3,1.11
AG.HHAR.HHZ.00,3.00968,99.1327,Pn,2016-07-02 12:11:03.910,manual,1.1,1.02
TA.TUL1.BHZ.--,1.73009,121.014,Pn,2016-07-02 12:10:45.970,manual,0.7,1.17
N4.U38B.BHZ.--,2.62763,97.2943,Pn,2016-07-02 12:10:58.650,manual,1.1,1.06
N4.S39B.BHZ.--,3.53638,74.4386,Pn,2016-07-02 12:11:12.520,manual,2.5,0.97
AG.WHAR.HHZ.00,4.57899,107.861,Pn,2016-07-02 12:11:25.770,manual,1.5,0.88
N4.R32B.BHZ.--,1.82186,331.892,Pn,2016-07-02 12:10:47.820,manual,1.3,1.16
US.ECSD.BHZ.10,6.95068,6.02533,Pn,2016-07-02 12:11:56.320,manual,-0.5,0.86
N4.L34B.BHZ.--,5.23122,10.2122,Pn,2016-07-02 12:11:33.310,manual,0.0,0.84
GS.KAN01.HHZ.01,0.35348,341.47,Pg,2016-07-02 12:10:22.160,manual,0.6,2.68
GS.OK043.HHZ.00,0.984634,247.412,Pg,2016-07-02 12:10:33.560,manual,0.0,1.52
GS.OK035.HHZ.00,0.883142,263.218,Pg,2016-07-02 12:10:30.840,manual,-0.8,1.63
GS.KAN05.HHZ.01,0.354488,325.069,Pg,2016-07-02 12:10:22.350,manual,0.8,2.68
GS.OK030.HHZ.00,1.11464,142.574,Pg,2016-07-02 12:10:35.550,manual,-0.5,1.39
OK.ELIS.HHZ.--,1.63386,243.177,Pn,2016-07-02 12:10:44.490,manual,0.5,1.18
N4.T35B.BHZ.--,0.892791,83.3462,Pg,2016-07-02 12:10:31.830,manual,0.0,1.62
OK.X34A.HHZ.--,2.21877,184.569,Pn,2016-07-02 12:10:54.160,manual,2.2,1.11
OK.X37A.BHZ.--,2.87898,139.903,Pn,2016-07-02 12:11:02.720,manual,1.7,1.04
OK.LOOK.HHZ.--,2.84166,172.632,Pn,2016-07-02 12:11:02.010,manual,1.5,1.04
NM.MGMO.BHZ.--,4.29617,83.9126,Pn,2016-07-02 12:11:21.330,manual,0.9,0.91
US.AMTX.BHZ.00,3.82262,240.884,Pn,2016-07-02 12:11:15.680,manual,1.7,0.95
NM.UALR.BHZ.--,4.74747,113.859,Pn,2016-07-02 12:11:29.230,manual,2.6,0.87
N4.Z35B.BHZ.--,3.49167,174.97,Pn,2016-07-02 12:11:10.060,manual,0.7,0.98
TA.KSCO.BHZ.--,4.5256,300.455,Pn,2016-07-02 12:11:24.630,manual,0.9,0.89
IU.CCM.BHZ.10,5.22063,74.3857,Pn,2016-07-02 12:11:35.070,manual,2.0,0.84
ZW.AZDA.EHZ.01,3.83627,179.207,Pn,2016-07-02 12:11:16.460,manual,2.3,0.94
