#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100061hn
#time = 2016-07-07 03:21:04.300000
#location = 13km NW of Chandler, Oklahoma
#latitude = 35.7896
#longitude = -96.9915
#depth = 5.6
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100061hn
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK031.HHZ.00,0.20479,37.1415,Pg,2016-07-07 03:21:08.860,manual,0.6,3.28
GS.OK033.HHZ.00,0.257915,9.64118,Pg,2016-07-07 03:21:09.760,manual,0.6,3.04
OK.CHOK.HHZ.--,0.234981,194.016,Pg,2016-07-07 03:21:09.420,manual,0.6,3.14
GS.OK034.HHZ.00,0.315456,45.6656,Pg,2016-07-07 03:21:10.900,manual,0.7,2.82
OK.DEOK.HHZ.--,0.404341,82.3257,Pg,2016-07-07 03:21:12.530,manual,0.7,2.53
OK.QUOK.HHZ.--,0.445008,31.029,Pg,2016-07-07 03:21:13.240,manual,0.7,2.42
N4.T35B.BHZ.--,1.18912,18.8596,Pg,2016-07-07 03:21:26.340,manual,0.7,1.93
GS.OK031.HH2.00,0.20479,37.1415,Sg,2016-07-07 03:21:11.990,manual,0.9,1.32
GS.OK005.HNN.01,0.210821,230.448,Sg,2016-07-07 03:21:12.200,manual,0.9,1.32
GS.OK005.HNZ.01,0.210821,230.448,Pg,2016-07-07 03:21:08.880,manual,0.5,3.25
GS.OK030.HH2.00,0.21791,50.6782,Sg,2016-07-07 03:21:12.400,manual,0.9,1.31
GS.OK030.HHZ.00,0.21791,50.6782,Pg,2016-07-07 03:21:09.100,manual,0.6,3.22
OK.CHOK.HHN.--,0.234981,194.016,Sg,2016-07-07 03:21:12.980,manual,0.9,1.3
GS.OK033.HH2.00,0.257915,9.64118,Sg,2016-07-07 03:21:13.580,manual,0.8,1.29
GS.OK034.HH2.00,0.315456,45.6656,Sg,2016-07-07 03:21:15.460,manual,0.9,1.26
GS.OK025.HH2.00,0.350437,233.682,Sg,2016-07-07 03:21:16.670,manual,1.0,1.25
GS.OK025.HHZ.00,0.350437,233.682,Pg,2016-07-07 03:21:11.590,manual,0.7,2.69
GS.OK029.HH1.00,0.376806,271.198,Sg,2016-07-07 03:21:17.380,manual,0.9,1.23
GS.OK029.HHZ.00,0.376806,271.198,Pg,2016-07-07 03:21:11.850,manual,0.5,2.61
OK.DEOK.HHN.--,0.404341,82.3257,Sg,2016-07-07 03:21:18.420,manual,1.1,1.22
OK.QUOK.HHN.--,0.445008,31.029,Sg,2016-07-07 03:21:19.380,manual,0.8,1.2
OK.BCOK.HHN.--,0.519899,255.402,Sg,2016-07-07 03:21:21.860,manual,0.9,1.17
OK.BCOK.HHZ.--,0.519899,255.402,Pg,2016-07-07 03:21:14.470,manual,0.5,2.23
OK.OKCSW.EHZ.--,0.528491,223.644,Pg,2016-07-07 03:21:14.570,manual,0.5,2.21
OK.OKCSW.EHN.--,0.528491,223.644,Sg,2016-07-07 03:21:22.220,manual,1.0,1.16
OK.OKCFA.HHZ.--,0.529104,225.233,Pg,2016-07-07 03:21:14.480,manual,0.4,2.21
OK.OKCFA.HHE.--,0.529104,225.233,Sg,2016-07-07 03:21:22.150,manual,0.9,1.16
OK.FNO.HHN.01,0.627438,212.303,Sg,2016-07-07 03:21:25.330,manual,1.0,1.12
OK.FNO.HHZ.01,0.627438,212.303,Pg,2016-07-07 03:21:16.260,manual,0.4,2.01
ZD.KNG1.EHN.--,0.6657,301.118,Sg,2016-07-07 03:21:26.330,manual,0.8,1.11
ZD.KNG1.EHZ.--,0.6657,301.118,Pg,2016-07-07 03:21:17.120,manual,0.5,1.94
OK.CCOK.HHN.--,0.692841,231.636,Sg,2016-07-07 03:21:27.490,manual,1.1,1.1
OK.CCOK.HHZ.--,0.692841,231.636,Pg,2016-07-07 03:21:17.630,manual,0.5,1.9
TA.TUL1.BHN.--,0.981993,82.5979,Sg,2016-07-07 03:21:35.990,manual,0.9,1.15
TA.TUL1.BHZ.--,0.981993,82.5979,Pg,2016-07-07 03:21:22.500,manual,0.4,2.12
OK.BLOK.HHN.--,0.985712,349.509,Sg,2016-07-07 03:21:36.240,manual,1.0,1.15
OK.BLOK.HHZ.--,0.985712,349.509,Pg,2016-07-07 03:21:22.660,manual,0.5,2.12
OK.CROK.HHN.--,1.07414,311.925,Sg,2016-07-07 03:21:38.990,manual,1.1,1.13
OK.CROK.HHZ.--,1.07414,311.925,Pg,2016-07-07 03:21:24.580,manual,0.9,2.03
OK.HTCH.HHN.--,1.11229,282.17,Sg,2016-07-07 03:21:40.320,manual,1.3,1.12
OK.HTCH.HHZ.--,1.11229,282.17,Pg,2016-07-07 03:21:24.860,manual,0.5,2.0
N4.T35B.BHN.--,1.18912,18.8596,Sg,2016-07-07 03:21:42.130,manual,0.8,1.11
OK.GORE.HHZ.--,1.25859,322.444,Pg,2016-07-07 03:21:27.750,manual,0.9,1.87
OK.GC02.EHZ.--,1.27065,326.77,Pg,2016-07-07 03:21:28.050,manual,1.0,1.86
GS.KAN13.HHZ.01,1.28233,342.329,Pg,2016-07-07 03:21:29.160,manual,1.9,1.85
OK.X34A.HHZ.--,1.37144,210.395,Pg,2016-07-07 03:21:29.700,manual,0.9,1.79
GS.KAN17.HHZ.01,1.39875,333.746,Pg,2016-07-07 03:21:30.140,manual,0.8,1.77
GS.KAN01.HHZ.01,1.49507,335.784,Pg,2016-07-07 03:21:31.770,manual,0.8,1.7
GS.OK043.HHZ.00,1.55896,294.852,Pg,2016-07-07 03:21:32.290,manual,0.2,1.66
OK.RLOK.HHZ.--,1.63758,76.1071,Pn,2016-07-07 03:21:33.520,manual,0.1,1.18
OK.X37A.BHZ.--,1.78754,131.597,Pn,2016-07-07 03:21:36.040,manual,0.6,1.16
OK.NOKA.HHZ.--,1.78146,298.826,Pn,2016-07-07 03:21:35.700,manual,0.3,1.17
US.WMOK.BHZ.10,1.80128,234.891,Pn,2016-07-07 03:21:36.560,manual,0.9,1.16
OK.ELIS.HHZ.--,1.98848,278.663,Pn,2016-07-07 03:21:38.820,manual,0.6,1.14
N4.U38B.BHZ.--,2.20728,72.1511,Pn,2016-07-07 03:21:41.440,manual,0.3,1.11
N4.R40B.BHZ.--,4.52841,55.1437,Pn,2016-07-07 03:22:12.470,manual,-0.1,0.89
OK.LOOK.HHZ.--,1.79968,184.993,Pn,2016-07-07 03:21:36.350,manual,0.7,1.16
