#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us1000629l
#time = 2016-07-09 22:30:40.200000
#location = 32km NW of Fairview, Oklahoma
#latitude = 36.4801
#longitude = -98.7372
#depth = 7.7
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us1000629l
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.607936,87.4613,Pg,2016-07-09 22:30:51.810,manual,-0.1,2.05
OK.GC02.EHZ.--,0.797066,62.0247,Pg,2016-07-09 22:30:55.200,manual,-0.3,1.74
GS.OK034.HHZ.00,1.702,105.393,Pn,2016-07-09 22:31:09.890,manual,-0.3,1.17
OK.FNO.HHZ.01,1.6328,137.958,Pn,2016-07-09 22:31:09.220,manual,0.0,1.18
N4.U38B.BHZ.--,3.50802,89.3697,Pn,2016-07-09 22:31:35.950,manual,1.0,0.97
OK.GORE.HHZ.--,0.704899,64.1352,Pg,2016-07-09 22:30:53.290,manual,-0.5,1.88
ZD.KNG1.EHZ.--,0.910205,112.107,Pg,2016-07-09 22:30:57.340,manual,-0.3,1.6
GS.OK032.HHZ.00,0.532815,52.5175,Pg,2016-07-09 22:30:50.410,manual,-0.1,2.2
GS.OK040.HHZ.00,0.0509283,86.8358,Pg,2016-07-09 22:30:42.220,manual,0.3,4.25
GS.OK043.HHZ.00,0.0471075,188.366,Pg,2016-07-09 22:30:42.130,manual,0.2,4.28
GS.OK038.HHZ.00,0.00445716,244.827,Pg,2016-07-09 22:30:41.890,manual,0.3,4.67
GS.OK035.HHZ.00,0.228725,5.54372,Pg,2016-07-09 22:30:45.240,manual,0.4,3.17
OK.NOKA.HHZ.--,0.219963,314.603,Pg,2016-07-09 22:30:45.050,manual,0.4,3.21
OK.U32A.BHZ.--,0.235545,244.85,Pg,2016-07-09 22:30:45.260,manual,0.3,3.14
GS.OK038.HH2.00,0.00445716,244.827,Sg,2016-07-09 22:30:43.200,manual,0.6,1.44
GS.OK040.HH2.00,0.0509283,86.8358,Sg,2016-07-09 22:30:43.640,manual,0.5,1.41
GS.OK043.HH2.00,0.0471075,188.366,Sg,2016-07-09 22:30:43.460,manual,0.4,1.41
GS.OK035.HH2.00,0.228725,5.54372,Sg,2016-07-09 22:30:48.740,manual,0.8,1.31
OK.NOKA.HHN.--,0.219963,314.603,Sg,2016-07-09 22:30:48.570,manual,0.9,1.31
OK.U32A.BHN.--,0.235545,244.85,Sg,2016-07-09 22:30:49.080,manual,1.0,1.3
GS.OK032.HH2.00,0.532815,52.5175,Sg,2016-07-09 22:30:57.870,manual,0.4,1.16
OK.HTCH.HHZ.--,0.566041,144.595,Pg,2016-07-09 22:30:51.150,manual,0.0,2.13
OK.HTCH.HHN.--,0.566041,144.595,Sg,2016-07-09 22:30:59.070,manual,0.5,1.15
GS.KAN14.HHZ.01,0.783154,52.3591,Pg,2016-07-09 22:30:54.730,manual,-0.5,1.76
GS.KAN10.HHZ.01,0.823396,38.5566,Pg,2016-07-09 22:30:55.790,manual,-0.2,1.71
NQ.OK916.HNZ.01,0.860297,67.3967,Pg,2016-07-09 22:30:56.520,manual,-0.2,1.66
GS.KAN16.HHZ.01,0.919031,35.7386,Pg,2016-07-09 22:30:57.630,manual,-0.2,1.59
GS.KAN05.HHZ.01,0.935677,47.6424,Pg,2016-07-09 22:30:57.970,manual,-0.2,1.57
GS.KAN08.HHZ.01,0.965954,39.2875,Pg,2016-07-09 22:30:58.410,manual,-0.3,1.54
GS.KAN01.HHZ.01,1.03333,49.1412,Pg,2016-07-09 22:30:59.590,manual,-0.5,1.47
