#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us100062c5
#time = 2016-07-10 06:59:12.200000
#location = 9km SSE of Blanchard, Oklahoma
#latitude = 35.0579
#longitude = -97.6095
#depth = 5.0
#magnitude = 2.4
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us100062c5
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CCOK.HHZ.--,0.300654,352.722,Pg,2016-07-10 06:59:18.620,manual,0.6,2.87
OK.FNO.HHZ.01,0.262202,40.552,Pg,2016-07-10 06:59:17.780,manual,0.5,3.02
OK.OKCFA.HHZ.--,0.379349,19.9017,Pg,2016-07-10 06:59:19.910,manual,0.4,2.6
OK.X34A.HHZ.--,0.491386,201.996,Pg,2016-07-10 06:59:22.620,manual,1.0,2.3
GS.OK025.HHZ.00,0.567311,22.9696,Pg,2016-07-10 06:59:23.370,manual,0.3,2.13
OK.OKCSW.EHZ.--,0.37415,21.989,Pg,2016-07-10 06:59:19.890,manual,0.5,2.62
OK.BCOK.HHZ.--,0.597462,0.0154917,Pg,2016-07-10 06:59:23.920,manual,0.2,2.07
GS.OK029.HHZ.00,0.747795,9.67537,Pg,2016-07-10 06:59:26.520,manual,0.0,1.81
OK.CHOK.HHZ.--,0.673119,41.6067,Pg,2016-07-10 06:59:25.230,manual,0.1,1.93
US.WMOK.BHZ.10,1.01424,251.989,Pg,2016-07-10 06:59:31.220,manual,-0.4,1.49
GS.OK033.HHZ.00,1.1263,28.8842,Pg,2016-07-10 06:59:32.910,manual,-0.9,1.38
GS.OK031.HHZ.00,1.09221,34.9108,Pg,2016-07-10 06:59:32.460,manual,-0.7,1.41
OK.QUOK.HHZ.--,1.33191,33.2073,Pn,2016-07-10 06:59:36.460,manual,-0.9,1.23
OK.HTCH.HHZ.--,1.12424,328.565,Pg,2016-07-10 06:59:33.860,manual,0.1,1.38
GS.OK034.HHZ.00,1.19886,37.3125,Pg,2016-07-10 06:59:34.140,manual,-1.0,1.32
OK.LOOK.HHZ.--,1.12051,161.428,Pg,2016-07-10 06:59:33.700,manual,0.0,1.39
OK.CROK.HHZ.--,1.47536,348.217,Pn,2016-07-10 06:59:39.250,manual,-0.1,1.21
GS.OK030.HHZ.00,1.0988,37.5822,Pg,2016-07-10 06:59:32.580,manual,-0.7,1.41
GS.OK032.HHZ.00,1.80918,344.537,Pn,2016-07-10 06:59:44.770,manual,0.8,1.16
GS.OK043.HHZ.00,1.6547,326.374,Pn,2016-07-10 06:59:41.380,manual,-0.5,1.18
OK.GORE.HHZ.--,1.74569,351.068,Pn,2016-07-10 06:59:42.080,manual,-1.0,1.17
GS.OK038.HHZ.00,1.69028,327.307,Pn,2016-07-10 06:59:42.410,manual,0.1,1.18
OK.BLOK.HHZ.--,1.72902,10.559,Pn,2016-07-10 06:59:42.400,manual,-0.5,1.17
OK.X37A.BHZ.--,1.89977,103.608,Pn,2016-07-10 06:59:45.610,manual,0.4,1.15
GS.KAN13.HHZ.01,1.95384,3.09322,Pn,2016-07-10 06:59:46.720,manual,0.8,1.14
GS.KAN17.HHZ.01,1.98606,356.412,Pn,2016-07-10 06:59:46.070,manual,-0.3,1.14
OK.GC02.EHZ.--,1.80129,353.605,Pn,2016-07-10 06:59:44.180,manual,0.3,1.16
US.MIAR.BHZ.00,3.35775,97.6032,Pn,2016-07-10 07:00:06.710,manual,1.5,0.0
