#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006ehi
#time = 2016-08-17 15:13:44.700000
#location = 9km E of Luther, Oklahoma
#latitude = 35.6715
#longitude = -97.0859
#depth = 5.5
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006ehi
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CHOK.HHZ.--,0.111969,169.682,Pg,2016-08-17 15:13:47.420,manual,0.4,3.8
GS.OK005.HNZ.01,0.0872535,259.086,Pg,2016-08-17 15:13:46.690,manual,0.0,3.97
GS.OK025.HHZ.00,0.224241,246.354,Pg,2016-08-17 15:13:49.300,manual,0.2,3.19
ZD.RH07.EHZ.--,0.256517,352.07,Pg,2016-08-17 15:13:49.910,manual,0.2,3.04
GS.OK029.HHZ.00,0.325135,292.685,Pg,2016-08-17 15:13:51.110,manual,0.1,2.78
GS.OK031.HHZ.00,0.345249,35.4497,Pg,2016-08-17 15:13:51.770,manual,0.4,2.71
GS.OK030.HHZ.00,0.35457,43.7501,Pg,2016-08-17 15:13:51.760,manual,0.2,2.68
NQ.OK914.HNZ.01,0.376013,37.3308,Pg,2016-08-17 15:13:51.940,manual,0.0,2.61
OK.BCOK.HHZ.--,0.426458,268.168,Pg,2016-08-17 15:13:53.040,manual,0.1,2.47
OK.FNO.HHZ.01,0.486792,212.011,Pg,2016-08-17 15:13:54.090,manual,0.0,2.31
OK.DEOK.HHZ.--,0.507542,70.1593,Pg,2016-08-17 15:13:54.630,manual,0.2,2.26
ZD.RH04.EHZ.--,0.572355,129.737,Pg,2016-08-17 15:13:55.820,manual,0.1,2.12
OK.QUOK.HHZ.--,0.585601,31.4764,Pg,2016-08-17 15:13:56.070,manual,0.1,2.09
ZD.RH11.EHZ.--,0.599587,348.405,Pg,2016-08-17 15:13:56.380,manual,0.2,2.07
