#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006iy6
#time = 2016-08-31 03:24:22.900000
#location = 14km N of Enid, Oklahoma
#latitude = 36.5266
#longitude = -97.8801
#depth = 6.1
#magnitude = 3.3
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006iy6
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.CROK.HHZ.--,0.0860424,255.315,Pg,2016-08-31 03:24:25.080,manual,0.2,3.98
OK.GC02.EHZ.--,0.32469,2.90291,Pg,2016-08-31 03:24:29.720,manual,0.5,2.78
GS.OK032.HHZ.00,0.383504,316.269,Pg,2016-08-31 03:24:30.720,manual,0.4,2.59
OK.BLOK.HHZ.--,0.583683,66.2159,Pg,2016-08-31 03:24:34.360,manual,0.2,2.1
GS.KAN14.HHZ.01,0.434502,351.209,Pg,2016-08-31 03:24:31.720,manual,0.4,2.44
OK.HTCH.HHZ.--,0.626345,215.863,Pg,2016-08-31 03:24:34.990,manual,0.0,2.01
GS.KAN17.HHZ.01,0.524737,10.1252,Pg,2016-08-31 03:24:33.390,manual,0.4,2.22
GS.KAN09.HHZ.01,0.643578,18.9702,Pg,2016-08-31 03:24:35.500,manual,0.2,1.98
GS.KAN10.HHZ.01,0.620236,343.915,Pg,2016-08-31 03:24:35.040,manual,0.2,2.03
ZD.RH11.EHZ.--,0.584561,116.883,Pg,2016-08-31 03:24:34.300,manual,0.1,2.09
GS.OK035.HHZ.00,0.691625,285.439,Pg,2016-08-31 03:24:36.170,manual,0.0,1.9
GS.KAN01.HHZ.01,0.633103,8.79029,Pg,2016-08-31 03:24:35.380,manual,0.3,2.0
GS.OK038.HHZ.00,0.696306,266.279,Pg,2016-08-31 03:24:35.360,manual,-0.9,1.89
GS.KS20.HHZ.00,0.74881,20.3206,Pg,2016-08-31 03:24:37.380,manual,0.1,1.81
