#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006j5a
#time = 2016-08-31 21:29:40.500000
#location = 4km NE of Medford, Oklahoma
#latitude = 36.8287
#longitude = -97.6961
#depth = 5.4
#magnitude = 2.5
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006j5a
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.GC02.EHZ.--,0.133124,279.892,Pg,2016-08-31 21:29:43.740,manual,0.6,3.67
GS.KAN17.HHZ.01,0.22193,345.659,Pg,2016-08-31 21:29:45.440,manual,0.7,3.2
GS.KAN09.HHZ.01,0.313084,11.4537,Pg,2016-08-31 21:29:47.110,manual,0.7,2.82
OK.BLOK.HHZ.--,0.392121,99.8379,Pg,2016-08-31 21:29:48.370,manual,0.5,2.56
GS.KAN01.HHZ.01,0.327982,351.186,Pg,2016-08-31 21:29:47.380,manual,0.7,2.77
GS.OK032.HHZ.00,0.41347,266.708,Pg,2016-08-31 21:29:48.830,manual,0.6,2.5
GS.OK030.HHZ.00,1.16206,140.416,Pg,2016-08-31 21:30:02.440,manual,1.0,1.96
ZD.RH09.EHZ.--,0.903913,195.201,Pg,2016-08-31 21:29:57.700,manual,0.8,2.21
ZD.RH11.EHZ.--,0.678252,146.669,Pg,2016-08-31 21:29:53.490,manual,0.5,1.92
N4.T35B.BHZ.--,0.95361,84.3904,Pg,2016-08-31 21:29:58.510,manual,0.7,2.16
NQ.OK916.HNN.01,0.0465194,242.683,Sg,2016-08-31 21:29:43.190,manual,0.4,1.41
NQ.OK916.HNZ.01,0.0465194,242.683,Pg,2016-08-31 21:29:42.170,manual,0.4,4.29
OK.GC02.EHN.--,0.133124,279.892,Sg,2016-08-31 21:29:45.890,manual,0.8,1.36
GS.KAN17.HNE.01,0.22193,345.659,Sg,2016-08-31 21:29:48.670,manual,0.8,1.31
