#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006k08
#time = 2016-09-03 15:25:00.500000
#location = 9km NNW of Pawnee, Oklahoma
#latitude = 36.4133
#longitude = -96.8579
#depth = 8.0
#magnitude = 2.9
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006k08
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
OK.QUOK.HHZ.--,0.270085,153.315,Pg,2016-09-03 15:25:06.210,manual,0.3,2.99
GS.OK034.HHZ.00,0.418949,163.738,Pg,2016-09-03 15:25:08.920,manual,0.3,2.49
ZD.RH11.EHZ.--,0.34076,243.434,Pg,2016-09-03 15:25:07.050,manual,-0.1,2.73
GS.OK031.HHZ.00,0.459508,178.098,Pg,2016-09-03 15:25:09.580,manual,0.2,2.38
OK.BLOK.HHZ.--,0.450278,320.441,Pg,2016-09-03 15:25:09.270,manual,0.0,2.4
GS.OK030.HHZ.00,0.488198,172.923,Pg,2016-09-03 15:25:09.770,manual,-0.2,2.31
ZD.RH07.EHZ.--,0.533557,204.404,Pg,2016-09-03 15:25:10.850,manual,0.0,2.2
GS.OK029.HHZ.00,0.782606,218.328,Pg,2016-09-03 15:25:15.440,manual,-0.1,1.76
OK.DEOK.HHZ.--,0.639526,152.815,Pg,2016-09-03 15:25:13.030,manual,0.2,1.99
ZD.KNG1.EHZ.--,0.732652,247.744,Pg,2016-09-03 15:25:14.440,manual,-0.2,1.84
GS.KAN13.HHZ.01,0.778621,320.412,Pg,2016-09-03 15:25:15.310,manual,-0.2,1.77
OK.BCOK.HHZ.--,0.97003,219.113,Pg,2016-09-03 15:25:18.770,manual,-0.4,1.53
GS.OK025.HHZ.00,0.917145,205.254,Pg,2016-09-03 15:25:17.670,manual,-0.5,1.59
OK.CROK.HHZ.--,0.911925,276.075,Pg,2016-09-03 15:25:17.660,manual,-0.4,1.6
GS.KAN17.HHZ.01,0.962919,311.101,Pg,2016-09-03 15:25:18.640,manual,-0.4,1.54
OK.CHOK.HHZ.--,0.866264,191.038,Pg,2016-09-03 15:25:16.720,manual,-0.4,1.65
OK.GC02.EHZ.--,0.916788,298.79,Pg,2016-09-03 15:25:17.710,manual,-0.4,1.59
GS.KAN14.HHZ.01,1.04084,301.739,Pg,2016-09-03 15:25:19.960,manual,-0.5,1.46
ZD.RH09.EHZ.--,1.02272,243.727,Pg,2016-09-03 15:25:19.810,manual,-0.3,1.48
GS.KS21.HNZ.20,1.08472,323.703,Pg,2016-09-03 15:25:20.910,manual,-0.4,1.42
