#%This file contains information about either a preferred
#%solution for a given earthquake, or a solution from 
#%a particular catalog/network.
#%The header information will consist of the following fields:
#%--------------------------------------------------------------
#%id: The ID for the event from the preferred or specific network.
#%time: The time of the event, always in UTC.
#%location: A string describing the earthquake location.
#%latitude: Earthquake latitude in decimal degrees.
#%longitude: Earthquake longitude in decimal degrees.
#%depth: Earthquake depth in kilometers.
#%magnitude: Earthquake magnitude
#%magtype: Magnitude type (mw,mww,mb,etc.)
#%url:  The ComCat URL where all of the data for this earthquake can be found.
#%*_mrr,mtt,mpp,mrt,mrp,mtp: Moment tensor components (if available) from preferred source (N m).
#%*_np1_strike,dip,rake: Two sets of nodal plane angles for focal mechanism.
#%--------------------------------------------------------------
#%The remaining rows/columns contain the phase data for the event,
#%with the following columns:
#%--------------------------------------------------------------
#%Channel: Network.Station.Channel.Location (NSCL) style station description.
#%         ("--" indicates missing information)
#%Distance: Distance (kilometers) from epicenter to station.
#%Azimuth: Azimuth (degrees) from epicenter to station.
#%Phase: Name of the phase (Pn,Pg, etc.)
#%Arrival Time: Pick arrival time (UTC).
#%Status: "manual" or "automatic".
#%Residual: Arrival time residual.
#%Weight: Arrival weight.
#%--------------------------------------------------------------
#id = us10006k9e
#time = 2016-09-04 06:16:00
#location = 1km SE of Luther, Oklahoma
#latitude = 35.6551
#longitude = -97.1863
#depth = 4.0
#magnitude = 2.8
#magtype = ml
#url = https://earthquake.usgs.gov/earthquakes/eventpage/us10006k9e
Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
GS.OK025.HHZ.00,0.143904,239.172,Pg,2016-09-04 06:16:03.120,manual,0.3,3.61
OK.CHOK.HHZ.--,0.138466,132.604,Pg,2016-09-04 06:16:03.360,manual,0.6,3.64
GS.OK029.HHZ.00,0.260194,302.943,Pg,2016-09-04 06:16:05.310,manual,0.3,3.03
GS.OK030.HHZ.00,0.425595,50.1373,Pg,2016-09-04 06:16:08.620,manual,0.4,2.47
OK.OKCSW.EHZ.--,0.322763,219.572,Pg,2016-09-04 06:16:06.500,manual,0.3,2.79
GS.OK034.HHZ.00,0.522826,47.1942,Pg,2016-09-04 06:16:10.310,manual,0.3,2.23
OK.BCOK.HHZ.--,0.344484,270.389,Pg,2016-09-04 06:16:06.830,manual,0.2,2.71
OK.QUOK.HHZ.--,0.645127,36.8624,Pg,2016-09-04 06:16:12.340,manual,0.0,2.16
OK.FNO.HHZ.01,0.433873,203.913,Pg,2016-09-04 06:16:08.580,manual,0.2,2.45
GS.OK031.HHZ.00,0.409971,43.4032,Pg,2016-09-04 06:16:08.330,manual,0.4,2.51
OK.DEOK.HHZ.--,0.590125,71.3047,Pg,2016-09-04 06:16:11.400,manual,0.1,2.08
ZD.KNG1.EHZ.--,0.630634,319.183,Pg,2016-09-04 06:16:12.140,manual,0.0,2.16
ZD.RH03.EHZ.--,0.32642,90.2513,Pg,2016-09-04 06:16:06.860,manual,0.6,2.78
ZD.RH09.EHZ.--,0.716957,294.843,Pg,2016-09-04 06:16:13.760,manual,0.0,1.86
